Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.14745586708203504,0.3211621668397368,0.19128893459931345,0.183021806853582,0.42129506008010675,0.24340435692827128,0.20664589823468274,0.48055679177174515,0.27666271077486043,0.41900311526479744,0.7158119658119657,0.8043248945147679,0.6997635933806147,0.5679752015032389,0.7966880341880342,0.8669680530440024,0.8055555555555556,"[390, 316, 282, 237]"
123,0.17133956386292792,0.3732798051723285,0.22177504911149787,0.2074247144340596,0.4740431686693369,0.275600801068091,0.2271547248182759,0.5312045690550364,0.305576571230777,0.46105919003115253,0.7386269644334164,0.8431372549019601,0.6901776384535006,0.5917086980171092,0.8255169561621176,0.9139775910364146,0.8294148380355276,"[403, 340, 319, 274]"
47899,0.15784008307372763,0.34422377985462094,0.20461760461760467,0.18795430944963595,0.4294095831479008,0.24900942723922392,0.21884735202492175,0.5052180685358256,0.29244177421747525,0.4480789200415368,0.7002518891687655,0.8064182194616978,0.7093425605536333,0.5860072689511944,0.7979944279062666,0.8695134575569359,0.8380046136101499,"[397, 322, 289, 250]"
2025,0.16199376947040456,0.359165924936953,0.21257737589513304,0.19003115264797438,0.4490950897492953,0.2566337608393685,0.22326064382139127,0.5275441329179646,0.30180611185284095,0.43977154724818257,0.704433497536946,0.8104477611940294,0.7403740374037406,0.5997237056816497,0.8164144968332161,0.8692039800995025,0.8404840484048405,"[406, 335, 303, 263]"
1,0.17237798546209723,0.36457282549572273,0.2195263541180906,0.20664589823468282,0.47184950304109186,0.2736609266570786,0.23468328141225328,0.5342178460169115,0.31239317968289965,0.4672897196261681,0.6896690879741728,0.8328402366863908,0.7153439153439153,0.6026770261583346,0.8040758676351897,0.9088616511693435,0.827142857142857,"[413, 338, 315, 271]"
20,0.14953271028037354,0.33097710527617075,0.19573258171389013,0.1760124610591895,0.4103684542352767,0.23589217071755195,0.1973001038421592,0.4741173416407061,0.26900254470347934,0.4179646936656281,0.690972222222222,0.799254526091587,0.7453051643192486,0.557644760915789,0.7934244791666666,0.8813745626045945,0.8403755868544601,"[384, 313, 284, 247]"
99,0.15784008307372766,0.3519377688770212,0.20707745006810432,0.1947040498442361,0.45367897937991397,0.26167853434208604,0.22585669781931456,0.5249999999999999,0.3044404885526384,0.45794392523364497,0.6978653530377668,0.7901606425702813,0.7212931995540693,0.5958166444147751,0.8067733990147782,0.8691767068273092,0.838963210702341,"[406, 332, 299, 257]"
1020,0.14537902388369667,0.305867756335046,0.18430792122380912,0.18665628245067456,0.4210813070626154,0.245318535230575,0.21599169262720627,0.49219144043910384,0.28682721743469425,0.4309449636552436,0.7066151202749142,0.8127637130801685,0.6792237442922375,0.5645908349179377,0.7949905907380135,0.8931886678722121,0.7643264840182649,"[388, 316, 292, 233]"
345,0.15264797507788128,0.3481048805815161,0.20145918463675475,0.18899273104880518,0.4417964693665628,0.2534692721608611,0.21391484942886765,0.5069889482272661,0.2893946136936792,0.440809968847352,0.6816976127320952,0.8572204125950055,0.6875706214689269,0.5553089304257528,0.8041240368826577,0.9326818675352878,0.8358757062146892,"[377, 307, 295, 251]"
78,0.15109034267912752,0.3412309004598723,0.1979113565562165,0.18380062305295902,0.43474076546506457,0.24758106206704342,0.21573208722741394,0.49576843198338527,0.28825515951684183,0.47300103842159885,0.6742424242424244,0.8057291666666666,0.685682326621924,0.5799658804331701,0.7915193602693604,0.9089583333333332,0.8210290827740492,"[396, 320, 298, 252]"
