Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.11914148050810314,0.3169857956323133,0.16926577583607808,0.1898817345597895,0.5004818221638195,0.26811526187347484,0.24353920280333025,0.6286934484700581,0.34219072648770427,0.5015330705212442,0.7413793103448278,0.6859386152748034,0.5796150481189853,0.6870971778987547,0.8395644283121597,0.7996431120628124,0.6762904636920384,"[551, 467, 381, 265]"
123,0.07139728427507679,0.1847897503285151,0.10029523695752339,0.11695137976346888,0.3080585278351376,0.16500219010074468,0.1629434954007876,0.44142731994243173,0.23326137288029541,0.3180026281208938,0.6991290577988917,0.6539245667686036,0.569620253164557,0.5198282335273137,0.7626682501979415,0.6992864424057085,0.6561181434599156,"[421, 327, 237, 158]"
47899,0.06088480070083232,0.1475502158813591,0.08273802413092819,0.1055628558913709,0.2680422585153203,0.14645971636773217,0.14410862899693322,0.38229459983730674,0.2047556473312059,0.24704336399474414,0.7021720969089389,0.7059483726150393,0.5204545454545455,0.4933514798823602,0.7297410192147034,0.7126262626262626,0.5806818181818182,"[399, 297, 220, 129]"
2025,0.09242225142356561,0.23827201051248356,0.12962694335887506,0.14126149802890872,0.3731743945935799,0.2003410299730931,0.18506351292159395,0.4929259745948313,0.2634910205869471,0.3736311870346034,0.7081589958158997,0.6816578483245149,0.6080773606370875,0.5905747450096989,0.7713563458856345,0.754188712522046,0.6848691695108078,"[478, 378, 293, 205]"
1,0.06876916338151569,0.17769538827357484,0.09611015353459504,0.11782742006132253,0.30791512838161983,0.1654936828392808,0.15987735435829964,0.43141230210875414,0.22814175166343376,0.31844064826982105,0.6786570743405275,0.6723251028806585,0.5523415977961433,0.5143482885927038,0.7610311750599521,0.7163065843621399,0.628099173553719,"[417, 324, 242, 156]"
20,0.03416557161629432,0.08635723671860333,0.04716026417734696,0.05387647831800264,0.1352350708132574,0.07345920249993837,0.0893561103810777,0.23447218572054312,0.12593600734205201,0.17696014016644743,0.5586527293844367,0.634920634920635,0.581081081081081,0.3561109025300878,0.57077318732371,0.6200396825396824,0.6651651651651651,"[287, 168, 111, 76]"
99,0.12045554095488364,0.3218587697891246,0.1719052738763646,0.181559351730179,0.4815822956427425,0.2576269547360219,0.224266316250548,0.591108190976785,0.318386606822875,0.44984669294787527,0.7452290076335877,0.7063492063492065,0.6145833333333333,0.6537977389817075,0.8231234096692112,0.8110355253212397,0.723731884057971,"[524, 441, 368, 271]"
1020,0.07840560665790648,0.20203679369250985,0.10969503558202635,0.1270258431887863,0.33833927789249735,0.18058546797048772,0.17958826106000822,0.4794568550153306,0.2558235821704942,0.37056504599211576,0.7203453453453452,0.6452513966480448,0.5389105058365756,0.5564383747366665,0.7905405405405406,0.6971601489757915,0.6536964980544747,"[444, 358, 257, 173]"
345,0.05431449846692951,0.13830486202365308,0.07599023840810962,0.08716600963644346,0.2280364182466679,0.12226014604464011,0.11257117827420043,0.30317564607971964,0.1605448136328557,0.2728865527814286,0.5273972602739727,0.7421524663677131,0.5805555555555556,0.4464259641657801,0.602054794520548,0.7877428998505233,0.6611111111111111,"[365, 223, 180, 120]"
78,0.06438896189224712,0.16502409110819097,0.09010302006359826,0.09811651335961459,0.25917965083536704,0.13920593204430262,0.14673674989049434,0.3956636005256242,0.20969171724756486,0.28821725799386827,0.6762261014131338,0.6264172335600907,0.6013071895424836,0.49198944580022114,0.7229842061512884,0.6717687074829932,0.6862745098039216,"[401, 294, 204, 142]"
