#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
31,128,64,2,3,128,128,0.0,1e-05,0.001,0.5020746887966803,0.6870860927152317,0.7453102453102453,0.489482200647249,0.619640387275242,0.7632450331125827,0.8831168831168831,0.720873786407767,"[302, 231, 206, 151]"
21,64,128,3,4,32,128,0.0,0.0001,0.001,0.45712309820193625,0.7298065984072811,0.7068965517241379,0.4647266313932981,0.5956085753803596,0.7901023890784983,0.8081896551724138,0.7037037037037037,"[293, 232, 189, 134]"
35,64,32,2,4,128,128,0.0,1e-05,0.001,0.4910096818810512,0.6270396270396271,0.6953748006379588,0.38499025341130616,0.581777316735823,0.7290209790209791,0.8086124401913876,0.6111111111111112,"[286, 209, 171, 106]"
38,64,128,2,3,128,64,0.0,0.0001,0.001,0.48686030428769,0.7072368421052629,0.7133891213389121,0.48922056384742935,0.6232710926694329,0.7817982456140351,0.8284518828451883,0.7114427860696517,"[304, 239, 201, 145]"
28,128,32,4,4,32,128,0.0,1e-05,0.001,0.4674965421853389,0.688626126126126,0.7214814814814815,0.49823633156966485,0.6018326417704012,0.7584459459459459,0.8311111111111111,0.746031746031746,"[296, 225, 189, 142]"
39,128,32,4,3,64,128,0.2,1e-05,0.001,0.5069156293222681,0.6638888888888885,0.6919642857142859,0.4483065953654187,0.6115145228215768,0.7433333333333333,0.828125,0.7058823529411765,"[300, 224, 187, 133]"
55,64,64,4,4,128,128,0.2,1e-05,0.001,0.4571230982019366,0.5812121212121211,0.697974217311234,0.4304635761589405,0.5558437067773166,0.6581818181818182,0.8232044198895028,0.695364238410596,"[275, 181, 151, 106]"
25,128,128,2,3,64,128,0.1,0.0001,0.001,0.47925311203319504,0.7353567625133122,0.767052767052767,0.6246438746438745,0.6381396957123098,0.8226837060702875,0.8938223938223938,0.8226495726495726,"[313, 259, 234, 193]"
74,32,128,3,4,64,64,0.1,1e-05,0.001,0.4661134163208851,0.6973244147157188,0.7359943977591037,0.5424679487179487,0.610131396957123,0.794314381270903,0.8697478991596639,0.7019230769230769,"[299, 238, 208, 147]"
34,64,64,2,3,128,128,0.2,0.0001,0.001,0.5006915629322267,0.6721311475409835,0.7424892703862663,0.4891666666666664,0.6248271092669432,0.7622950819672131,0.8476394849785408,0.72,"[305, 233, 200, 146]"
25,32,128,2,3,128,128,0.0,0.0001,0.001,0.5110650069156294,0.6856540084388183,0.7393689986282579,0.507974481658692,0.6417704011065006,0.7658227848101266,0.845679012345679,0.7751196172248804,"[316, 243, 209, 164]"
26,32,32,4,2,32,64,0.2,0.0001,0.001,0.479253112033195,0.6848591549295775,0.7322775263951735,0.5084602368866327,0.5803941908713693,0.7764084507042254,0.8823529411764706,0.7208121827411168,"[284, 221, 197, 144]"
46,32,128,4,4,32,64,0.1,1e-05,0.001,0.42254495159059474,0.6906432748538013,0.7222222222222223,0.5074074074074074,0.5807399723374826,0.7426900584795322,0.8286384976525821,0.6555555555555556,"[285, 213, 180, 119]"
40,64,64,4,4,32,128,0.2,1e-05,0.001,0.48755186721991717,0.7083333333333335,0.7308228730822872,0.5333333333333332,0.6225795297372062,0.7861842105263158,0.8493723849372385,0.748780487804878,"[304, 239, 205, 155]"
60,64,64,4,3,128,64,0.1,1e-05,0.001,0.4564315352697096,0.567272727272727,0.6086142322097379,0.3795620437956204,0.5589557399723374,0.6442424242424243,0.7556179775280899,0.5875912408759124,"[275, 178, 137, 83]"
17,128,64,4,2,64,128,0.0,0.0001,0.001,0.5497925311203319,0.7294238683127572,0.7272727272727275,0.5295815295815292,0.6666666666666667,0.8117283950617284,0.8598484848484849,0.79004329004329,"[324, 264, 231, 184]"
23,64,64,2,2,128,128,0.1,1e-05,0.001,0.5121023513139692,0.7473460721868365,0.7528517110266161,0.5677731673582294,0.6438450899031812,0.8343949044585988,0.8992395437262357,0.7946058091286307,"[314, 263, 241, 193]"
63,128,32,4,4,128,128,0.2,1e-05,0.001,0.45850622406638974,0.6107055961070557,0.6785109983079527,0.45454545454545464,0.5599930843706776,0.7171532846715328,0.7715736040609137,0.6493506493506493,"[274, 197, 154, 102]"
18,64,64,3,2,32,128,0.1,1e-05,0.001,0.510719225449516,0.7459595959595957,0.8068592057761735,0.5888456549935149,0.6780774550484094,0.8363636363636363,0.9151624548736462,0.791828793774319,"[330, 277, 257, 205]"
