#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
18,64,64,3,2,32,128,0.0,1e-05,0.001,0.5331950207468876,0.7362362362362361,0.770906949352179,0.5993464052287582,0.6754840940525587,0.8458458458458459,0.8939929328621908,0.8366013071895424,"[333, 283, 255, 215]",0.5959642243049893
24,128,64,2,2,64,128,0.2,0.0001,0.001,0.5207468879668049,0.7402862985685073,0.7677304964539007,0.6023622047244095,0.664073305670816,0.8568507157464214,0.8953900709219859,0.8221784776902887,"[326, 282, 254, 211]",0.583741075931854
24,128,64,3,2,64,128,0.2,1e-05,0.001,0.5262793914246194,0.7476340694006307,0.7164821648216482,0.5601659751037343,0.6429806362378976,0.852260778128286,0.8837638376383764,0.7856154910096818,"[317, 271, 241, 191]",0.5788061678864882
29,32,64,3,2,128,128,0.0,0.0001,0.001,0.5345781466113415,0.7577706323687028,0.6966794380587481,0.54312865497076,0.6291493775933609,0.832261521972133,0.867816091954023,0.8282163742690057,"[311, 261, 228, 191]",0.5780210594320819
41,128,32,3,3,32,128,0.2,0.0001,0.001,0.5269709543568465,0.7140575079872201,0.7286079182630908,0.5606694560669455,0.632088520055325,0.832800851970181,0.9067688378033204,0.7615062761506276,"[313, 261, 239, 184]",0.5747630695491143
28,64,32,3,3,64,128,0.0,1e-05,0.001,0.5228215767634854,0.7170418006430866,0.6865079365079363,0.5296803652968033,0.628457814661134,0.8054662379421221,0.8657407407407407,0.769406392694064,"[311, 252, 219, 170]",0.5707933418036549
59,128,64,3,2,128,64,0.1,0.0001,0.001,0.5138312586445367,0.6931818181818182,0.7156084656084659,0.5192012288786481,0.6232710926694328,0.8165584415584416,0.8531746031746031,0.7127496159754225,"[308, 252, 217, 155]",0.5632846852405519
40,128,128,3,2,128,64,0.0,0.0001,0.001,0.5138312586445366,0.7165570175438594,0.6397849462365591,0.5190476190476189,0.6160096818810511,0.8114035087719299,0.8413978494623655,0.7166666666666667,"[304, 248, 210, 151]",0.5603001605357257
37,128,64,2,3,128,128,0.0,1e-05,0.001,0.5013831258644535,0.7099567099567099,0.7148437499999999,0.5293209876543208,0.626210235131397,0.8241341991341992,0.8365885416666666,0.7476851851851852,"[308, 256, 216, 163]",0.5568873602824442
35,32,64,2,2,32,64,0.1,0.0001,0.001,0.4930843706777313,0.7367303609341825,0.7425925925925929,0.5972818311874104,0.6376210235131397,0.8556263269639065,0.8611111111111112,0.7889842632331902,"[314, 270, 233, 186]",0.5561147275411235
38,64,128,2,2,32,64,0.2,0.0001,0.001,0.4778699861687414,0.7257053291536051,0.7748427672955976,0.6400560224089635,0.6481673582295988,0.8296760710553814,0.8905660377358491,0.8074229691876752,"[319, 265, 238, 194]",0.5501411264076804
51,128,64,2,4,128,128,0.0,0.0001,0.001,0.5034578146611342,0.694630872483221,0.6944444444444443,0.5276422764227642,0.6056362378976486,0.8003355704697986,0.8493055555555554,0.7585365853658537,"[298, 240, 205, 156]",0.549840288311131
45,128,128,3,4,64,128,0.1,0.0001,0.001,0.4986168741355464,0.7419175027870681,0.6778215223097115,0.5679012345679011,0.6094398340248961,0.8394648829431438,0.8464566929133859,0.7816358024691357,"[299, 254, 216, 170]",0.5484863414972073
43,64,128,3,4,64,128,0.1,1e-05,0.001,0.4917012448132781,0.7236842105263156,0.7313333333333335,0.5984848484848483,0.618430152143845,0.818530701754386,0.8746666666666666,0.7931818181818182,"[304, 250, 220, 176]",0.5478322232353513
24,64,128,2,2,32,64,0.0,0.0001,0.001,0.4764868603042877,0.7276550998948477,0.7763480392156863,0.5934449093444906,0.6419432918395573,0.8580441640378549,0.8768382352941176,0.7733612273361227,"[317, 272, 239, 187]",0.5469765689626898
23,32,32,3,3,32,128,0.0,0.0001,0.001,0.5027662517289071,0.7502844141069396,0.7096774193548386,0.5568720379146918,0.595954356846473,0.8424345847554039,0.844758064516129,0.8278041074249606,"[293, 248, 211, 176]",0.5454084247709028
51,64,64,2,3,64,64,0.1,0.0001,0.001,0.4917012448132781,0.7357859531772577,0.6565040650406504,0.5689102564102563,0.6084024896265559,0.8166109253065775,0.8394308943089431,0.7443910256410255,"[299, 246, 208, 156]",0.5438619143479256
