#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
27,64,256,3,3,4,0.0,1e-05,0.0001,0.5762594893029674,0.7575301204819277,0.7645314353499406,0.5200803212851401,0.6627846790890269,0.8413654618473897,0.8754448398576512,0.8273092369477911,"[332, 281, 249, 209]"
23,64,128,4,3,4,0.1,0.0001,0.0001,0.533471359558316,0.7313596491228068,0.64524765729585,0.44796747967479666,0.6058488612836439,0.8152412280701755,0.7998661311914324,0.6780487804878049,"[304, 249, 205, 141]"
15,128,256,4,3,4,0.0,0.0001,0.0001,0.5452035886818495,0.7371601208459214,0.77475845410628,0.5505464480874315,0.6626121463077985,0.8274420946626384,0.8707729468599034,0.8333333333333334,"[331, 276, 244, 206]"
20,64,256,4,3,4,0.0,0.0001,0.0001,0.5524499654934436,0.7167182662538697,0.733830845771144,0.5746887966804978,0.6484644582470669,0.8174922600619196,0.8777985074626865,0.8091286307053942,"[323, 268, 241, 199]"
15,128,128,3,4,2,0.0,0.0001,0.0001,0.5113871635610764,0.7594291539245664,0.8150118203309689,0.575875486381323,0.6570048309178743,0.8539755351681957,0.8927304964539006,0.8203631647211415,"[327, 282, 257, 215]"
18,128,256,3,4,2,0.0,1e-05,0.001,0.5507246376811594,0.7391084093211749,0.7314148681055155,0.5969945355191255,0.6638198757763976,0.8355116514690982,0.8594124700239809,0.8401639344262295,"[329, 278, 244, 209]"
17,128,128,4,3,4,0.0,1e-05,0.0001,0.5293305728088337,0.7672764227642276,0.7340425531914894,0.6031420765027321,0.6608868184955141,0.8492378048780488,0.8528368794326242,0.8483606557377049,"[328, 282, 244, 210]"
23,128,128,4,3,4,0.0,1e-05,0.001,0.4844720496894411,0.7345491388044577,0.7415458937198067,0.6256944444444446,0.660369220151829,0.8293819655521784,0.8544685990338164,0.7826388888888889,"[329, 276, 240, 191]"
24,64,256,3,3,4,0.0,0.0001,0.0001,0.5507246376811594,0.7731906218144748,0.728587962962963,0.5569105691056909,0.6603692201518289,0.8701834862385321,0.8431712962962963,0.820460704607046,"[327, 288, 246, 206]"
28,64,128,3,4,2,0.1,0.0001,0.0001,0.5334713595583159,0.7576252723311546,0.6993464052287581,0.46559633027522923,0.6110248447204969,0.8278867102396514,0.8359477124183006,0.7110091743119266,"[306, 255, 218, 158]"
23,64,256,4,4,4,0.1,1e-05,0.001,0.49896480331262966,0.7729166666666665,0.7882562277580071,0.6030789825970547,0.6430296756383713,0.8666666666666666,0.872182680901542,0.8172690763052208,"[320, 281, 249, 207]"
14,64,256,3,3,2,0.0,1e-05,0.001,0.5369220151828846,0.7512291052114058,0.7631278538812787,0.6132812500000002,0.6800379572118703,0.8526548672566372,0.8675799086757991,0.8151041666666667,"[339, 292, 256, 214]"
