#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
28,64,128,4,3,2,0.0,1e-05,0.0001,0.5548654244306417,0.7042532146389714,0.7884160756501182,0.5264550264550262,0.679089026915114,0.8249258160237388,0.8865248226950354,0.7705026455026456,"[337, 282, 252, 198]",0.6107243597760084
26,128,256,4,4,2,0.1,0.0001,0.001,0.5424430641821946,0.7318840579710146,0.7704728950403691,0.6337209302325583,0.6977225672877848,0.8268115942028985,0.8852364475201846,0.8468992248062015,"[345, 289, 258, 222]",0.6103616448393976
17,128,256,3,4,4,0.0,1e-05,0.0001,0.5307108350586611,0.74975845410628,0.7759197324414715,0.6335830212234709,0.6951345755693583,0.8594202898550725,0.8851727982162766,0.850187265917603,"[345, 299, 267, 229]",0.6018955536808855
27,64,128,4,4,2,0.0,0.0001,0.0001,0.5396825396825393,0.7448071216617209,0.7837370242214532,0.5648508430609598,0.6780538302277433,0.8511374876360039,0.884083044982699,0.8099870298313879,"[337, 289, 257, 211]",0.6010066253761349
19,128,128,3,4,4,0.0,1e-05,0.001,0.5265700483091786,0.7468599033816425,0.7361581920903956,0.6397435897435899,0.6978951000690131,0.8478260869565217,0.8717514124293784,0.8102564102564104,"[345, 295, 260, 212]",0.6002468213077716
20,128,256,3,4,2,0.0,0.0001,0.001,0.5175983436853003,0.7231718898385564,0.7858757062146895,0.6329588014981277,0.7122153209109732,0.8278727445394112,0.8966101694915254,0.8071161048689138,"[351, 295, 267, 217]",0.5995078458846576
16,64,256,4,3,4,0.0,0.0001,0.001,0.5244996549344374,0.7317784256559768,0.8082191780821918,0.6444444444444447,0.6951345755693583,0.8445092322643342,0.9178082191780822,0.8290123456790123,"[343, 292, 270, 227]",0.5978806365061108
28,128,128,4,3,4,0.1,0.0001,0.001,0.5362318840579706,0.7398373983739837,0.7632850241545894,0.5925196850393701,0.6666666666666667,0.836890243902439,0.9130434782608696,0.8116797900262468,"[328, 276, 254, 210]",0.5943775100401605
21,64,256,4,3,2,0.0,0.0001,0.001,0.5231193926846098,0.736559139784946,0.8026620370370371,0.6218434343434346,0.6865079365079366,0.8387096774193549,0.9103009259259258,0.8188131313131314,"[341, 288, 264, 218]",0.5937789369539476
19,64,128,4,3,2,0.1,1e-05,0.001,0.5327812284334023,0.7659574468085104,0.7720848056537101,0.5575635876840696,0.6658040027605245,0.8495440729483282,0.8663133097762074,0.8152610441767069,"[329, 283, 249, 205]",0.591910971793436
14,128,128,3,3,2,0.0,1e-05,0.0001,0.5362318840579708,0.7431610942249238,0.7575757575757577,0.5579999999999999,0.6587301587301587,0.8634751773049645,0.8694638694638694,0.7866666666666667,"[329, 286, 250, 200]",0.5912022331311964
