learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
0.005,16,glorot_uniform,0.2946058091286305,0.501953125,0.4515765765765766,0.3568627450980392,0.5131396957123098,0.5693359375000001,0.5664414414414414,0.4235294117647059,"[256, 148, 85, 36]",0.3743108054339792
0.005,16,he_uniform,0.2932226832641769,0.4961089494163425,0.4212328767123288,0.3135964912280701,0.5162517289073306,0.5599870298313878,0.5171232876712328,0.3815789473684211,"[257, 146, 76, 29]",0.3740123589179122
0.001,64,he_uniform,0.2849239280774548,0.4747474747474747,0.4920091324200913,0.3130081300813008,0.5329356846473029,0.5373737373737374,0.5582191780821918,0.4024390243902439,"[264, 146, 82, 33]",0.3713256561880371
0.005,32,glorot_uniform,0.2800829875518671,0.4897039897039897,0.4648526077097505,0.4358974358974359,0.5144363762102352,0.5585585585585586,0.5306122448979592,0.5256410256410257,"[259, 147, 78, 41]",0.36269695548278996
0.005,32,he_uniform,0.2828492392807747,0.4684139784946236,0.4661835748792269,0.4675324675324673,0.4980982019363762,0.5530913978494625,0.5543478260869565,0.577922077922078,"[248, 138, 77, 45]",0.3608096782678379
0.001,64,glorot_uniform,0.2821576763485476,0.4673469387755101,0.538095238095238,0.4026217228464419,0.4941217150760719,0.5622448979591836,0.625,0.4606741573033708,"[245, 140, 89, 41]",0.3592011755029617
0.001,16,he_uniform,0.2773167358229595,0.4662698412698413,0.504566210045662,0.3453815261044176,0.5089038727524205,0.5734126984126984,0.5616438356164384,0.3855421686746988,"[252, 146, 83, 32]",0.35900244613298815
0.005,64,glorot_uniform,0.2745504840940524,0.4878048780487805,0.5689655172413792,0.3173758865248226,0.4970608575380359,0.5799457994579945,0.6344827586206897,0.3971631205673758,"[246, 145, 94, 38]",0.3537228957071032
0.001,32,he_uniform,0.2717842323651451,0.49,0.5442890442890443,0.2880434782608695,0.5034578146611342,0.5626666666666666,0.6293706293706294,0.3478260869565217,"[250, 143, 92, 32]",0.3530043196464329
0.001,32,glorot_uniform,0.2738589211618257,0.4785615491009682,0.5070921985815603,0.3432539682539682,0.4783886583679115,0.5729598893499309,0.5851063829787234,0.3928571428571428,"[241, 141, 84, 33]",0.3483188392805202
0.001,16,glorot_uniform,0.262793914246196,0.4471218206157965,0.5396825396825397,0.3417721518987341,0.4998271092669433,0.4966532797858098,0.6177248677248678,0.4050632911392405,"[249, 126, 79, 33]",0.3444739089030846
0.0001,16,glorot_uniform,0.258644536652835,0.4173177083333333,0.4698162729658792,0.3799019607843137,0.5094225449515907,0.48828125,0.531496062992126,0.4264705882352941,"[256, 127, 68, 29]",0.34309336060667583
0.005,64,he_uniform,0.2627939142461961,0.4707112970711297,0.5318066157760813,0.3916666666666666,0.4757952973720609,0.5425383542538353,0.6068702290076335,0.45625,"[239, 131, 80, 37]",0.33858092322356365
0.0001,32,he_uniform,0.2503457814661132,0.4238095238095238,0.5109289617486339,0.3550724637681159,0.495850622406639,0.4897959183673469,0.5601092896174864,0.4347826086956521,"[245, 122, 69, 30]",0.33271163171678075
0.0001,32,glorot_uniform,0.2489626556016594,0.4602194787379972,0.5025839793281652,0.304054054054054,0.4835753803596127,0.5229766803840877,0.5697674418604651,0.4189189189189189,"[243, 129, 74, 31]",0.3286988660457124
0.0001,16,he_uniform,0.2475795297372056,0.4818688981868899,0.505089058524173,0.2972972972972973,0.4796853388658368,0.5431360828850368,0.5610687022900763,0.3648648648648648,"[239, 131, 74, 27]",0.32659427327035656
0.0001,64,glorot_uniform,0.2233748271092668,0.3616071428571429,0.4494949494949495,0.2884615384615384,0.4519363762102351,0.4267113095238095,0.5176767676767676,0.3269230769230769,"[224, 99, 52, 17]",0.2989768551273034
0.0001,64,he_uniform,0.2164591977869984,0.4360841423948219,0.4891975308641975,0.2896174863387978,0.4093188105117566,0.5210355987055016,0.5540123456790123,0.3333333333333333,"[206, 108, 61, 21]",0.2831701344167531
