n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
50,None,5,2,None,0.37136929460580914,0.4884488448844885,0.5837789661319074,0.4871794871794872,0.6137621023513139,0.6079207920792079,0.67825311942959,0.5884615384615385,"[303, 187, 130, 77]"
100,None,5,1,None,0.3623789764868604,0.5215946843853818,0.6301020408163265,0.5697399527186761,0.6044260027662517,0.637984496124031,0.7040816326530611,0.6843971631205674,"[301, 196, 141, 97]"
50,None,2,2,None,0.35615491009681893,0.5044004400440044,0.6155913978494624,0.5426065162907269,0.6096127247579529,0.6062706270627062,0.7007168458781361,0.6804511278195489,"[303, 186, 133, 91]"
100,40,2,1,None,0.39211618257261427,0.5637254901960783,0.6976744186046512,0.560693641618497,0.6172199170124482,0.6983660130718954,0.7875968992248061,0.7052023121387283,"[306, 215, 173, 123]"
50,None,2,1,None,0.40110650069156284,0.5444096133751304,0.6304675716440421,0.7044989775051125,0.6441908713692946,0.6824451410658307,0.7322775263951734,0.8220858895705522,"[319, 221, 163, 135]"
500,40,2,1,None,0.39349930843706815,0.5408704883227176,0.6720930232558141,0.6242603550295858,0.6358921161825726,0.6773885350318471,0.7705426356589147,0.7337278106508875,"[314, 215, 169, 126]"
100,40,5,1,balanced,0.32365145228215764,0.5289598108747045,0.593632958801498,0.5551075268817205,0.5695020746887967,0.624822695035461,0.6807116104868913,0.6612903225806451,"[282, 178, 124, 82]"
50,40,2,2,None,0.3782849239280775,0.49947916666666686,0.6018998272884284,0.5611510791366906,0.644536652835408,0.5959375,0.7046632124352331,0.6906474820143885,"[320, 193, 139, 97]"
100,20,5,2,None,0.3692946058091287,0.5111111111111112,0.5686274509803921,0.4752604166666667,0.6078838174273858,0.614,0.6746880570409982,0.5859375,"[300, 187, 128, 76]"
50,20,2,2,balanced,0.28146611341632055,0.44194756554307124,0.5186480186480186,0.4090909090909091,0.5376901798063625,0.5225967540574282,0.6002331002331002,0.4715909090909091,"[267, 143, 88, 42]"
500,20,2,1,None,0.3872752420470262,0.5766666666666668,0.5942028985507246,0.5761589403973509,0.6044260027662517,0.6773333333333333,0.7246376811594203,0.7185430463576159,"[300, 207, 151, 109]"
500,None,5,2,balanced,0.30221300138312573,0.48375451263537905,0.6298568507157464,0.5178571428571429,0.5622406639004149,0.5801444043321299,0.6748466257668712,0.6294642857142857,"[277, 163, 112, 71]"
100,40,5,1,None,0.36998616874135587,0.5272331154684096,0.6077943615257049,0.5655172413793104,0.6151452282157676,0.6493464052287581,0.7081260364842453,0.6758620689655173,"[306, 201, 145, 99]"
500,None,5,1,None,0.36237897648686024,0.5235042735042734,0.6040609137055838,0.5785024154589372,0.6310511756569847,0.6219017094017094,0.6920473773265651,0.678743961352657,"[312, 197, 138, 95]"
100,None,2,2,None,0.3782849239280775,0.5181623931623931,0.5912106135986733,0.5497685185185185,0.6282849239280774,0.6352564102564102,0.697346600331675,0.6631944444444444,"[312, 201, 144, 96]"
500,40,2,2,None,0.36237897648686024,0.4794444444444444,0.6022099447513813,0.5393700787401575,0.6037344398340247,0.594,0.6878453038674033,0.6692913385826772,"[300, 181, 127, 86]"
100,20,5,2,balanced,0.2413554633471644,0.4218967921896792,0.5743801652892562,0.35064935064935066,0.4795988934993084,0.502092050209205,0.6046831955922866,0.38961038961038963,"[239, 121, 77, 30]"
100,40,5,2,None,0.356154910096819,0.5239651416122004,0.6354166666666666,0.5531914893617021,0.6168741355463346,0.6161220043572985,0.7161458333333331,0.6666666666666666,"[306, 192, 141, 94]"
500,20,5,2,None,0.3526970954356845,0.5105908584169453,0.6153846153846153,0.5127226463104325,0.6071922544951591,0.5954292084726868,0.7087912087912088,0.648854961832061,"[299, 182, 131, 86]"
100,20,2,2,None,0.35200553250345784,0.5187713310580205,0.6131578947368421,0.48774509803921573,0.5899031811894883,0.6389078498293514,0.7078947368421052,0.6102941176470589,"[293, 190, 136, 84]"
