n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
500,20,2,1,None,0.3914246196403875,0.555026455026455,0.6012461059190032,0.5726495726495726,0.6438450899031811,0.6714285714285714,0.7266355140186916,0.6912393162393163,"[315, 214, 156, 109]",0.48686215215123674
500,40,5,1,None,0.3838174273858924,0.5275181723779855,0.5938511326860841,0.5296803652968037,0.651625172890733,0.6344755970924195,0.7063106796116505,0.6221461187214613,"[321, 206, 146, 92]",0.4830882898037829
50,40,2,1,None,0.3793222683264176,0.5455486542443064,0.6651305683563749,0.5670859538784067,0.6523167358229598,0.672360248447205,0.728110599078341,0.7064989517819706,"[322, 217, 159, 113]",0.4796993190533177
500,20,5,2,None,0.3769017980636239,0.4528985507246378,0.5688405797101449,0.5041322314049587,0.6545643153526971,0.5683229813664596,0.6512681159420289,0.6074380165289256,"[322, 184, 121, 74]",0.4783607802443446
500,None,2,2,None,0.3755186721991706,0.5258799171842651,0.6192733017377569,0.509009009009009,0.6556016597510373,0.6490683229813664,0.7014218009478673,0.6137387387387389,"[322, 211, 148, 92]",0.4775207260158465
50,None,2,2,None,0.3789764868603043,0.4910052910052911,0.5803418803418803,0.4987654320987655,0.6390041493775933,0.6126984126984127,0.6923076923076923,0.5888888888888889,"[315, 195, 135, 80]",0.4757802633952733
500,40,2,1,None,0.3741355463347167,0.550882658359294,0.6594551282051282,0.5853909465020577,0.6507607192254494,0.6375908618899274,0.7724358974358976,0.7098765432098766,"[321, 208, 162, 115]",0.47511680040616505
500,40,5,2,None,0.3706777316735825,0.4933333333333334,0.5828970331588134,0.494949494949495,0.6583679114799447,0.5851282051282052,0.6884816753926701,0.6010101010101011,"[325, 191, 132, 80]",0.4743080652597453
100,20,2,1,None,0.3789764868603043,0.5401929260450161,0.5833333333333334,0.6181015452538631,0.6324343015214384,0.6521972132904609,0.7361111111111112,0.6986754966887417,"[311, 204, 151, 106]",0.4739473466444421
50,20,5,2,None,0.3789764868603041,0.476038338658147,0.6026315789473684,0.513888888888889,0.6303596127247579,0.6054313099041534,0.6947368421052632,0.6161616161616162,"[313, 190, 132, 82]",0.4733635735158167
50,20,2,1,None,0.377593360995851,0.5219721329046088,0.6175972927241964,0.5782312925170068,0.6307053941908712,0.6291532690246516,0.7411167512690355,0.7335600907029478,"[311, 197, 147, 109]",0.47238017178081754
100,None,5,1,None,0.3713692946058093,0.479035639412998,0.6385869565217392,0.538647342995169,0.6481673582295989,0.5744234800838575,0.75,0.6594202898550725,"[318, 184, 138, 91]",0.47219382244435437
100,40,5,1,None,0.3720608575380362,0.4921383647798743,0.5850340136054422,0.5530864197530865,0.6443637621023512,0.6116352201257862,0.6836734693877551,0.6617283950617284,"[318, 196, 135, 90]",0.4717369675265387
100,40,2,1,balanced,0.3634163208852007,0.5541535226077813,0.5943396226415095,0.6043083900226758,0.6466113416320884,0.6656151419558359,0.6878930817610062,0.6938775510204082,"[317, 212, 147, 102]",0.4653122355736565
50,40,2,2,None,0.363762102351314,0.4815400843881855,0.5811518324607331,0.5963541666666667,0.6433264177040111,0.595464135021097,0.6675392670157068,0.67578125,"[316, 191, 128, 87]",0.464741212995447
500,40,2,2,None,0.3637621023513139,0.4892125134843582,0.6375227686703095,0.5360696517412935,0.62551867219917,0.587378640776699,0.73224043715847,0.6330845771144279,"[309, 183, 134, 86]",0.4600109354446186
50,None,5,1,None,0.364453665283541,0.4757975797579757,0.6564245810055866,0.5754257907542579,0.6153181189488243,0.5891089108910891,0.7588454376163872,0.6970802919708029,"[303, 179, 137, 96]",0.45776975286540394
500,40,2,1,balanced,0.3582295988934996,0.4946236559139785,0.6487455197132618,0.580335731414868,0.628457814661134,0.5967741935483871,0.7473118279569892,0.6906474820143885,"[310, 186, 139, 96]",0.4563394399782269
50,None,5,2,None,0.3589211618257262,0.4913419913419913,0.553763440860215,0.6013333333333334,0.6256915629322268,0.5936147186147186,0.6720430107526881,0.688,"[308, 186, 125, 86]",0.4561670534318887
50,20,2,2,None,0.3630705394190873,0.5126512651265126,0.5643738977072311,0.4470284237726099,0.6127247579529737,0.6171617161716172,0.6763668430335097,0.5581395348837209,"[303, 189, 129, 72]",0.45596101761206415
500,None,5,1,None,0.3547717842323653,0.467948717948718,0.6741573033707865,0.630952380952381,0.6329529737206085,0.5689102564102564,0.7771535580524344,0.7285714285714285,"[312, 178, 140, 102]",0.45468913078056683
50,40,5,1,balanced,0.3575380359612724,0.506514657980456,0.5815602836879434,0.5219638242894058,0.6218879668049793,0.6042345276872965,0.6799645390070922,0.627906976744186,"[307, 188, 129, 81]",0.4540385932401402
100,40,2,1,None,0.3582295988934995,0.5551876379690949,0.667483660130719,0.5583864118895966,0.6156639004149378,0.6710816777041942,0.7606209150326798,0.6624203821656051,"[302, 204, 157, 104]",0.4529222800141138
500,None,2,1,balanced,0.3540802213001386,0.5563063063063061,0.6224999999999999,0.6145124716553287,0.6049446749654218,0.6655405405405405,0.735,0.7210884353741497,"[296, 200, 147, 107]",0.4467015303151919
50,40,5,1,None,0.3502766251728906,0.5220750551876381,0.6157894736842107,0.5182481751824818,0.6153181189488243,0.6236203090507726,0.7210526315789474,0.6204379562043796,"[302, 190, 137, 85]",0.44642238459814426
100,None,2,1,balanced,0.3450899031811901,0.503267973856209,0.601410934744268,0.6119592875318065,0.620850622406639,0.6100217864923748,0.6895943562610228,0.7022900763358778,"[306, 189, 131, 92]",0.4436076041967614
100,20,5,1,None,0.3450899031811897,0.4938684503901897,0.6101851851851852,0.5223097112860892,0.6084024896265559,0.5958751393534002,0.700925925925926,0.6496062992125984,"[299, 180, 127, 83]",0.44038852920928606
50,None,2,1,balanced,0.3409405255878286,0.5419463087248322,0.5943877551020408,0.6106965174129353,0.6035615491009682,0.6504474272930648,0.6802721088435373,0.7014925373134329,"[298, 196, 134, 94]",0.4357398406835473
100,40,2,2,balanced,0.3291839557399724,0.5093509350935094,0.5634920634920635,0.4243697478991596,0.6163554633471645,0.6133113311331133,0.6296296296296297,0.5378151260504201,"[303, 189, 119, 64]",0.4291610174485286
50,40,5,2,balanced,0.3312586445366531,0.4694915254237289,0.5668549905838041,0.4955357142857143,0.6016597510373444,0.5923728813559322,0.6261770244821092,0.5848214285714286,"[295, 177, 112, 66]",0.4272720841317837
50,None,2,2,balanced,0.3305670816044261,0.4943502824858757,0.6077348066298341,0.5232558139534884,0.6014868603042878,0.6005649717514125,0.7016574585635359,0.5891472868217055,"[295, 181, 129, 76]",0.42665289441728743
500,40,5,1,balanced,0.3264177040110649,0.5067114093959731,0.5659340659340659,0.5013774104683196,0.6059820193637621,0.6029082774049217,0.6648351648351648,0.5853994490358128,"[298, 182, 121, 72]",0.4242885416498359
500,None,5,1,balanced,0.3222683264177044,0.4834983498349837,0.5536723163841808,0.5405797101449276,0.6132434301521438,0.5781078107810782,0.6450094161958569,0.6217391304347826,"[303, 177, 115, 72]",0.42250443681522715
