#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
24,64,256,2,2,2,0.1,0.0001,0.001,0.3706777316735821,0.6472868217054264,0.752577319587629,0.5131313131313131,0.5169432918395573,0.7437984496124032,0.8427835051546392,0.6878787878787879,"[258, 194, 165, 115]",0.43175941476587876
26,64,64,2,2,2,0.1,0.0001,0.001,0.3374827109266942,0.5985732814526589,0.7396449704142012,0.5023148148148149,0.5197095435684648,0.6443579766536964,0.8362919132149901,0.6388888888888888,"[257, 169, 144, 93]",0.40922671603293387
24,128,128,2,4,4,0.0,0.0001,0.0001,0.330567081604426,0.630758807588076,0.7314814814814813,0.5068493150684932,0.491701244813278,0.724390243902439,0.8037037037037037,0.6506849315068494,"[246, 180, 146, 96]",0.3953459966707265
34,128,256,4,4,2,0.0,0.0001,0.001,0.3160442600276623,0.5952380952380952,0.7009259259259258,0.538369304556355,0.5200553250345782,0.686100386100386,0.7666666666666667,0.6654676258992805,"[259, 180, 139, 93]",0.39316010511298943
45,128,128,2,2,4,0.1,0.0001,0.0001,0.3284923928077454,0.6132208157524613,0.6973415132924334,0.4656488549618322,0.4764868603042877,0.6839662447257384,0.7965235173824131,0.5992366412213741,"[237, 163, 131, 79]",0.38888532413150617
13,128,256,2,3,4,0.0,0.0001,0.001,0.3201936376210236,0.6241134751773052,0.7670565302144251,0.5769230769230769,0.473374827109267,0.7158865248226951,0.8265107212475632,0.7156177156177156,"[235, 171, 143, 103]",0.38200007834699895
43,64,128,4,3,2,0.1,0.0001,0.001,0.3056708160442601,0.6015736766809727,0.629746835443038,0.4886039886039886,0.4688796680497925,0.6675250357653791,0.7341772151898734,0.5754985754985755,"[233, 158, 117, 68]",0.3700800237107291
34,128,256,2,2,4,0.1,1e-05,0.0001,0.3098201936376208,0.603244837758112,0.741561181434599,0.4938725490196078,0.4526279391424619,0.6907079646017699,0.8396624472573839,0.6127450980392156,"[226, 158, 136, 84]",0.3678500076840324
14,128,64,2,3,4,0.2,0.0001,0.001,0.3195020746887966,0.585648148148148,0.704225352112676,0.5084745762711866,0.4315352697095436,0.6507716049382716,0.8204225352112676,0.6624293785310734,"[216, 142, 118, 79]",0.36716260516723587
23,64,256,2,3,2,0.2,0.0001,0.001,0.3098201936376211,0.6334841628959276,0.6710816777041942,0.5071225071225072,0.4426002766251729,0.6773755656108597,0.7538631346578366,0.6581196581196581,"[221, 151, 117, 77]",0.3644943454560248
14,64,256,2,3,2,0.0,1e-05,0.001,0.3042876901798064,0.6279761904761905,0.7222222222222221,0.5076335877862596,0.4533195020746888,0.7040178571428571,0.8165618448637315,0.6335877862595419,"[224, 159, 131, 83]",0.364145286924442
28,128,64,2,3,2,0.0,1e-05,0.0001,0.3008298755186721,0.6255506607929515,0.7658486707566461,0.5060827250608274,0.4560857538035961,0.7110132158590309,0.8312883435582822,0.6253041362530414,"[227, 163, 137, 87]",0.36253504413807996
19,64,64,2,3,4,0.1,1e-05,0.001,0.3098201936376209,0.5813953488372093,0.7344827586206897,0.5579096045197741,0.4308437067773167,0.6646511627906977,0.7988505747126436,0.7161016949152542,"[215, 145, 118, 85]",0.3604444082842911
17,64,128,2,4,4,0.1,0.0001,0.001,0.3056708160442599,0.5852713178294573,0.6787439613526568,0.484567901234568,0.437759336099585,0.628062015503876,0.7717391304347826,0.6882716049382716,"[215, 138, 108, 75]",0.3599807005693331
19,128,128,4,2,4,0.0,1e-05,0.0001,0.3070539419087138,0.5848909657320872,0.7167832167832167,0.4344729344729346,0.4336099585062241,0.664018691588785,0.81002331002331,0.5968660968660968,"[214, 143, 117, 71]",0.35951974150656124
11,64,64,2,3,2,0.0,1e-05,0.001,0.2946058091286308,0.6081081081081081,0.6870967741935484,0.5316804407713499,0.4484785615491009,0.6887387387387388,0.7709677419354839,0.6487603305785122,"[222, 155, 121, 80]",0.35561073470435933
27,64,256,4,4,2,0.0,1e-05,0.001,0.298063623789765,0.5734848484848485,0.7398648648648649,0.4875,0.4387966804979253,0.6668181818181818,0.8074324324324325,0.6,"[220, 148, 120, 73]",0.35499083865716724
29,128,256,4,4,2,0.2,1e-05,0.0001,0.3035961272475793,0.530595813204509,0.6629072681704261,0.3350877192982455,0.4156293222683264,0.6367149758454107,0.7017543859649122,0.4736842105263157,"[207, 133, 95, 45]",0.35088706245345236
29,128,256,4,2,2,0.1,0.0001,0.001,0.2939142461964038,0.592248062015504,0.6677631578947367,0.4613095238095238,0.4349930843706777,0.6925581395348838,0.7335526315789473,0.5252976190476191,"[215, 152, 112, 60]",0.35080087449248193
52,64,256,2,4,4,0.1,1e-05,0.0001,0.2842323651452281,0.5837037037037036,0.6793981481481481,0.4684684684684685,0.452627939142462,0.6364444444444444,0.7638888888888888,0.5840840840840842,"[225, 144, 111, 66]",0.34918833033796687
13,64,64,2,3,2,0.0,0.0001,0.001,0.2894190871369293,0.572429906542056,0.7529137529137528,0.5413223140495869,0.4294605809128631,0.6658878504672897,0.8403263403263403,0.6694214876033058,"[214, 143, 121, 81]",0.34579942878698056
21,128,128,4,4,4,0.0,1e-05,0.001,0.2876901798063623,0.529595015576324,0.6250000000000001,0.4880952380952381,0.4263485477178423,0.6504672897196261,0.6892857142857143,0.5850340136054422,"[214, 140, 98, 58]",0.3435564084273557
23,64,64,2,4,4,0.2,1e-05,0.001,0.2918395573997233,0.591869918699187,0.648418491484185,0.425,0.4059474412171507,0.6639024390243902,0.7177615571776156,0.58,"[205, 137, 100, 58]",0.33956356827281975
21,128,64,4,4,4,0.0,1e-05,0.001,0.2883817427385893,0.5362318840579713,0.7335858585858587,0.397196261682243,0.4125172890733057,0.6328502415458938,0.7992424242424242,0.5233644859813084,"[207, 132, 107, 56]",0.3394567529226808
26,64,128,4,2,2,0.0,0.0001,0.001,0.2690179806362379,0.5998498498498499,0.6438356164383563,0.4006116207951071,0.448478561549101,0.649099099099099,0.7271689497716894,0.4908256880733945,"[222, 146, 109, 54]",0.33630488760019334
41,128,128,2,4,2,0.2,1e-05,0.0001,0.2800829875518672,0.5805687203791469,0.730392156862745,0.3958333333333333,0.4180497925311204,0.6407582938388625,0.8137254901960784,0.5044642857142857,"[211, 136, 112, 57]",0.3354337116891605
38,64,128,4,2,2,0.1,1e-05,0.001,0.2752420470262793,0.5773524720893142,0.7769953051643192,0.4096045197740113,0.4249654218533886,0.6770334928229665,0.8227699530516431,0.5155367231638418,"[209, 142, 118, 62]",0.33409627239041706
20,128,128,4,3,4,0.1,0.0001,0.0001,0.2738589211618258,0.5334967320261438,0.6861111111111112,0.243445692883895,0.4090594744121715,0.5813725490196078,0.7333333333333333,0.4082397003745319,"[204, 120, 89, 37]",0.3280760544146227
14,128,256,2,4,2,0.0,1e-05,0.001,0.2780082987551867,0.5499153976311337,0.6770025839793281,0.4587458745874588,0.394536652835408,0.649746192893401,0.7829457364341085,0.6039603960396039,"[197, 129, 101, 62]",0.3261773458916895
21,128,128,4,2,4,0.1,1e-05,0.0001,0.2759336099585063,0.5246598639455783,0.614406779661017,0.2916666666666666,0.3914246196403873,0.5903061224489796,0.7415254237288136,0.4356060606060606,"[196, 118, 88, 39]",0.32368585126738764
59,64,64,2,4,4,0.2,0.0001,0.0001,0.2614107883817428,0.5091210613598671,0.6508620689655173,0.2911646586345381,0.4004149377593361,0.5706467661691542,0.7083333333333334,0.3614457831325301,"[201, 116, 83, 31]",0.31631524863746935
48,64,128,2,2,4,0.2,1e-05,0.0001,0.2704011065006916,0.5215889464594128,0.6100917431192661,0.2662037037037037,0.3807053941908713,0.5549222797927461,0.6483180428134557,0.4027777777777778,"[193, 109, 72, 30]",0.3162098972461619
27,64,128,4,2,4,0.2,1e-05,0.001,0.2544951590594746,0.5024875621890548,0.6082621082621081,0.377906976744186,0.4024896265560165,0.5706467661691542,0.7222222222222222,0.4418604651162791,"[201, 117, 86, 38]",0.3118235422581351
33,64,128,4,3,2,0.1,1e-05,0.0001,0.2593360995850623,0.5025906735751297,0.5499999999999999,0.2445887445887446,0.3890041493775933,0.5652849740932642,0.696969696969697,0.3181818181818182,"[193, 110, 77, 25]",0.31120331950207475
36,128,128,4,4,2,0.0,0.0001,0.001,0.2455048409405255,0.5809294871794873,0.6050724637681159,0.425531914893617,0.4190871369294606,0.6586538461538461,0.6630434782608695,0.5159574468085106,"[208, 138, 94, 49]",0.3096273332153142
13,128,64,4,2,4,0.2,1e-05,0.001,0.2634854771784234,0.4816849816849818,0.542042042042042,0.3695652173913043,0.3689488243430152,0.6038461538461539,0.6171171171171171,0.4975845410628018,"[182, 111, 69, 35]",0.30742373335087775
