#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
26,128,128,2,3,2,0.0,1e-05,0.0001,0.35269709543568484,0.6276729559748427,0.7504363001745201,0.5267489711934156,0.5352697095435685,0.7135220125786164,0.8350785340314136,0.661522633744856,"[265, 191, 162, 108]"
38,64,128,2,4,4,0.0,1e-05,0.0001,0.35131396957123123,0.5797385620915033,0.6847389558232932,0.5374677002583979,0.5148686030428768,0.6486928104575163,0.7740963855421686,0.6834625322997415,"[255, 166, 129, 90]"
23,128,64,2,4,4,0.0,1e-05,0.0001,0.3582295988934993,0.5881226053639846,0.7828014184397164,0.5781893004115226,0.5245504840940525,0.7142401021711366,0.8537234042553191,0.6944444444444444,"[261, 188, 162, 113]"
14,128,64,2,4,2,0.2,0.0001,0.001,0.31673582295988945,0.5951219512195123,0.6595238095238097,0.47640117994100295,0.40957814661134156,0.6723577235772357,0.7928571428571428,0.6460176991150443,"[205, 140, 113, 74]"
37,128,128,2,4,2,0.2,0.0001,0.0001,0.32572614107883824,0.5358187134502924,0.6794871794871794,0.4864864864864865,0.46144536652835405,0.6162280701754386,0.7692307692307693,0.6396396396396397,"[228, 143, 111, 72]"
20,128,128,2,2,2,0.1,1e-05,0.001,0.3395573997233747,0.609001406469761,0.7311507936507935,0.4878345498783457,0.47579529737206083,0.7063994374120957,0.808531746031746,0.6605839416058394,"[237, 168, 137, 91]"
28,128,128,4,4,4,0.1,0.0001,0.0001,0.34508990318118965,0.6038135593220341,0.7304526748971195,0.45273631840796036,0.4757952973720609,0.6818502824858758,0.8240740740740741,0.6243781094527363,"[236, 162, 134, 84]"
12,64,256,2,2,2,0.0,1e-05,0.001,0.35200553250345795,0.544871794871795,0.7471655328798187,0.47333333333333333,0.4733748271092669,0.6214387464387465,0.8435374149659864,0.6293333333333334,"[234, 147, 125, 80]"
14,128,128,2,3,4,0.1,1e-05,0.001,0.3347164591977871,0.6235875706214689,0.679718875502008,0.47916666666666663,0.4770055325034578,0.6942090395480225,0.7620481927710844,0.6796875,"[236, 166, 128, 87]"
11,64,128,2,4,4,0.0,0.0001,0.001,0.3686030428769016,0.5966277561608301,0.713747645951036,0.5326576576576576,0.5174619640387275,0.6783398184176394,0.8305084745762712,0.6824324324324325,"[257, 177, 148, 102]"
51,64,128,4,3,4,0.1,1e-05,0.0001,0.35408022130013833,0.5929899856938483,0.703476482617587,0.4424019607843139,0.47060857538035955,0.6949213161659513,0.8220858895705522,0.5490196078431373,"[233, 163, 136, 76]"
48,64,128,4,3,4,0.2,0.0001,0.0001,0.33125864453665294,0.5014814814814813,0.6300813008130082,0.37912087912087905,0.45314661134163203,0.5414814814814816,0.7317073170731707,0.5494505494505495,"[225, 123, 91, 51]"
13,128,256,2,2,4,0.1,0.0001,0.001,0.3395573997233752,0.5270092226613967,0.6644591611479029,0.5168067226890757,0.5117565698478561,0.5899209486166008,0.7781456953642384,0.6274509803921569,"[253, 151, 119, 75]"
19,64,256,4,4,2,0.1,0.0001,0.001,0.1507607192254496,0.4230769230769231,0.3333333333333333,0.4090909090909091,0.31569847856154915,0.4198717948717949,0.3333333333333333,0.5454545454545454,"[156, 66, 22, 12]"
34,128,256,2,4,4,0.1,0.0001,0.0001,0.35615491009681877,0.5768175582990399,0.7367886178861789,0.4854014598540146,0.49221991701244816,0.6659807956104251,0.8262195121951219,0.6496350364963503,"[243, 164, 137, 90]"
21,64,256,2,3,4,0.0,0.0001,0.001,0.34993084370677746,0.6497289972899726,0.7591623036649214,0.5705882352941176,0.49740663900414933,0.7649051490514904,0.8821989528795812,0.6911764705882353,"[246, 191, 170, 118]"
25,128,128,4,4,2,0.0,1e-05,0.001,0.2531120331950208,0.39411764705882346,0.5220883534136547,0.2966101694915254,0.34439834024896265,0.48823529411764705,0.7108433734939759,0.3728813559322034,"[170, 83, 59, 22]"
31,64,128,4,3,2,0.2,1e-05,0.001,0.2330567081604427,0.45426829268292684,0.5354609929078012,0.3644067796610169,0.3260719225449516,0.5701219512195121,0.6276595744680851,0.4745762711864407,"[164, 94, 59, 28]"
49,64,256,2,2,4,0.0,1e-05,0.0001,0.351313969571231,0.553784860557769,0.7421568627450978,0.4914841849148419,0.5044951590594744,0.6689907038512616,0.8,0.6435523114355232,"[251, 170, 137, 89]"
20,64,128,4,4,2,0.0,1e-05,0.001,0.3278008298755189,0.5420110192837465,0.7426303854875285,0.476775956284153,0.4870331950207469,0.6026170798898071,0.8197278911564626,0.6065573770491803,"[242, 147, 122, 75]"
46,64,128,4,3,2,0.0,0.0001,0.0001,0.34094052558782834,0.5943526170798898,0.7837301587301587,0.5093896713615024,0.4885892116182572,0.6876721763085399,0.8363095238095238,0.6772300469483569,"[242, 168, 142, 98]"
26,128,128,4,4,4,0.0,0.0001,0.0001,0.3561549100968189,0.6305449936628645,0.7981099656357389,0.5486111111111109,0.5276625172890733,0.7297211660329531,0.8634020618556701,0.7033730158730159,"[263, 194, 168, 120]"
48,64,64,4,4,2,0.2,0.0001,0.0001,0.29806362378976475,0.511965811965812,0.5789473684210527,0.2888888888888889,0.3921161825726141,0.5820512820512821,0.6535087719298246,0.48,"[195, 114, 75, 36]"
18,64,256,2,4,4,0.2,1e-05,0.001,0.3540802213001381,0.5595744680851065,0.7251655629139077,0.4825268817204301,0.46922544951590595,0.6379432624113476,0.8145695364238411,0.6344086021505376,"[235, 151, 124, 79]"
41,64,256,4,2,2,0.0,1e-05,0.001,0.30843706777316726,0.5258620689655171,0.6608391608391609,0.4750778816199378,0.46905255878284924,0.6163793103448276,0.7412587412587412,0.5887850467289719,"[232, 143, 107, 63]"
92,64,256,2,4,4,0.1,0.0001,0.0001,0.35615491009681877,0.6085568326947638,0.7768670309653916,0.6010752688172042,0.5240318118948825,0.6909323116219668,0.8442622950819673,0.7354838709677419,"[261, 183, 155, 115]"
16,128,64,4,2,2,0.2,1e-05,0.001,0.19156293222683257,0.347145488029466,0.5223880597014925,0.28205128205128205,0.3639349930843707,0.3627992633517495,0.5746268656716418,0.41025641025641024,"[181, 67, 39, 16]"
44,64,128,4,3,2,0.2,0.0001,0.001,0.23513139695712312,0.4602763385146806,0.5383333333333332,0.3844086021505377,0.3902143845089903,0.5138169257340242,0.61,0.5241935483870968,"[193, 100, 62, 33]"
36,128,128,2,3,4,0.1,1e-05,0.0001,0.3395573997233748,0.6124828532235936,0.7703488372093024,0.5068965517241378,0.48737897648686024,0.7030178326474622,0.8372093023255814,0.6793103448275862,"[243, 172, 145, 100]"
58,64,256,4,3,4,0.1,0.0001,0.001,0.2690179806362379,0.453038674033149,0.6263157894736843,0.32432432432432434,0.36739280774550487,0.5248618784530387,0.7631578947368421,0.47297297297297297,"[181, 95, 74, 35]"
45,128,128,4,4,4,0.2,0.0001,0.0001,0.347856154910097,0.5614814814814814,0.7290249433106576,0.4435483870967743,0.4503803596127247,0.645925925925926,0.8367346938775511,0.592741935483871,"[225, 147, 124, 74]"
22,128,256,2,2,4,0.0,0.0001,0.0001,0.35338865836791133,0.559774964838256,0.7505241090146751,0.49396135265700497,0.47752420470262796,0.6642053445850915,0.8616352201257862,0.6533816425120773,"[237, 159, 138, 91]"
24,64,128,2,2,4,0.2,0.0001,0.001,0.2918395573997233,0.6401326699834163,0.7581018518518519,0.4733893557422971,0.4031811894882434,0.7085406301824213,0.8194444444444444,0.6652661064425771,"[201, 144, 119, 80]"
72,64,64,2,2,2,0.1,0.0001,0.0001,0.3381742738589213,0.575968992248062,0.6805555555555557,0.4351032448377583,0.43239972337482707,0.6643410852713177,0.7708333333333334,0.6327433628318584,"[215, 144, 113, 72]"
59,64,64,4,3,2,0.0,1e-05,0.0001,0.36030428769017986,0.5728291316526611,0.7708333333333334,0.45892018779342736,0.4775242047026279,0.6971288515406163,0.8392857142857143,0.6279342723004695,"[238, 168, 142, 90]"
32,64,128,4,2,2,0.2,1e-05,0.0001,0.2773167358229598,0.5205992509363297,0.5688073394495412,0.2828282828282829,0.36099585062240663,0.6067415730337079,0.6009174311926605,0.42424242424242425,"[178, 109, 66, 28]"
12,64,128,2,3,4,0.0,0.0001,0.001,0.3485477178423237,0.5883134130146083,0.719921104536489,0.48406862745098045,0.5036307053941909,0.6706507304116865,0.7928994082840237,0.6433823529411765,"[251, 169, 136, 88]"
21,128,256,4,4,2,0.0,0.0001,0.001,0.11272475795297376,0.4067796610169492,0.20833333333333334,0.35,0.23392116182572614,0.4067796610169492,0.20833333333333334,0.6,"[118, 48, 10, 6]"
29,128,64,4,3,2,0.2,1e-05,0.0001,0.29391424619640383,0.49732620320855614,0.566358024691358,0.3530701754385965,0.37240663900414933,0.5775401069518716,0.6990740740740741,0.5,"[187, 108, 76, 38]"
37,128,256,4,3,2,0.2,0.0001,0.0001,0.36030428769017975,0.5764462809917357,0.6719077568134172,0.4370078740157481,0.4846127247579529,0.6522038567493114,0.7924528301886793,0.5787401574803149,"[242, 159, 127, 75]"
14,64,64,2,3,2,0.1,1e-05,0.001,0.346473029045643,0.5606694560669456,0.7261146496815287,0.4870801033591732,0.4794260027662517,0.6520223152022314,0.8152866242038217,0.5968992248062015,"[239, 157, 129, 78]"
48,64,128,4,3,4,0.0,0.0001,0.0001,0.38312586445366537,0.6092171717171716,0.7638146167557931,0.489451476793249,0.5328492392807745,0.6985479797979798,0.8386809269162211,0.6613924050632911,"[264, 187, 158, 105]"
25,128,64,4,2,2,0.0,1e-05,0.0001,0.36307053941908723,0.5985815602836877,0.698170731707317,0.5211442786069653,0.47406639004149376,0.6918439716312056,0.8079268292682927,0.6990049751243781,"[235, 164, 134, 95]"
