#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
20,128,128,2,2,128,128,0.0,1e-05,0.001,0.4481327800829875,0.6712643678160922,0.7836879432624112,0.6666666666666666,0.5862724757952974,0.8079310344827587,0.898936170212766,0.8093023255813954,"[290, 235, 215, 175]"
52,32,128,4,2,64,64,0.0,0.0001,0.001,0.3872752420470261,0.5842627013630733,0.80718954248366,0.6086556169429097,0.5470262793914246,0.7526641883519207,0.8688725490196079,0.7265193370165746,"[269, 204, 181, 132]"
66,32,64,3,3,128,128,0.0,0.0001,0.001,0.33471645919778686,0.5695006747638326,0.7163742690058478,0.6007194244604317,0.49775242047026286,0.6894736842105263,0.804093567251462,0.6654676258992805,"[247, 171, 139, 94]"
33,128,128,2,3,64,64,0.0,1e-05,0.001,0.2648686030428766,0.6287262872628726,0.73125,0.5813648293963255,0.4970262793914247,0.6449864498644987,0.790625,0.6968503937007874,"[246, 160, 127, 89]"
47,32,128,3,3,64,64,0.1,1e-05,0.001,0.29944674965421836,0.6492921492921495,0.702127659574468,0.6713615023474178,0.5243775933609959,0.7218790218790219,0.7460106382978723,0.75,"[259, 188, 142, 107]"
32,64,128,2,2,64,128,0.0,0.0001,0.001,0.36376210235131395,0.5923172242874846,0.7897435897435897,0.5877712031558185,0.5437413554633471,0.7204460966542752,0.8474358974358974,0.7041420118343196,"[269, 195, 169, 120]"
33,128,64,3,2,64,64,0.2,1e-05,0.001,0.35338865836791145,0.6398252184769038,0.7655228758169935,0.6509803921568627,0.5380013831258644,0.7621722846441947,0.8186274509803921,0.7588235294117647,"[267, 204, 170, 130]"
24,32,128,3,2,64,128,0.0,1e-05,0.001,0.33402489626556037,0.6543665436654368,0.7630331753554502,0.6302681992337165,0.5501728907330566,0.775830258302583,0.8175355450236966,0.710727969348659,"[271, 211, 174, 125]"
42,32,64,4,3,64,128,0.1,1e-05,0.001,0.35822959889349953,0.6421568627450984,0.7853773584905662,0.7038043478260869,0.5534232365145229,0.7756127450980392,0.847877358490566,0.7853260869565217,"[272, 212, 184, 145]"
47,64,64,2,3,128,64,0.2,1e-05,0.001,0.28492392807745504,0.6053719008264462,0.7157996146435451,0.6691729323308271,0.4878630705394191,0.7128099173553719,0.7630057803468208,0.706766917293233,"[242, 173, 133, 95]"
54,32,128,3,3,128,128,0.2,0.0001,0.001,0.1687413554633472,0.34965034965034963,0.36,0.4722222222222222,0.2918395573997234,0.34965034965034963,0.36,0.7222222222222222,"[143, 50, 18, 13]"
31,64,128,2,3,128,128,0.0,1e-05,0.001,0.35477178423236544,0.6530732860520095,0.780821917808219,0.6539855072463766,0.5714038727524204,0.7687943262411348,0.8230593607305936,0.7717391304347826,"[282, 219, 184, 142]"
47,64,64,4,3,128,64,0.1,1e-05,0.001,0.3070539419087139,0.6117724867724869,0.7270270270270269,0.6701149425287357,0.5065352697095435,0.7261904761904762,0.772972972972973,0.7482758620689656,"[252, 185, 145, 109]"
31,32,128,4,2,128,64,0.2,1e-05,0.001,0.3443983402489628,0.6602809706257984,0.7388059701492539,0.6686746987951806,0.5290456431535269,0.7630906768837803,0.8159203980099502,0.7740963855421686,"[261, 201, 166, 129]"
43,128,64,3,2,128,128,0.2,0.0001,0.001,0.4100968188105119,0.6610169491525425,0.8291839557399726,0.7033639143730884,0.5979426002766252,0.8152542372881356,0.8914246196403873,0.8394495412844036,"[295, 241, 218, 183]"
63,32,128,2,3,128,128,0.1,0.0001,0.001,0.3022130013831257,0.6522366522366522,0.7173112338858194,0.6261574074074076,0.4677040110650069,0.7770562770562771,0.7808471454880295,0.7083333333333334,"[231, 181, 144, 103]"
