#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
34,128,64,3,2,128,128,0.1,0.0001,0.001,0.4204702627939141,0.6867612293144207,0.7770562770562772,0.6524288107202679,0.5672544951590596,0.817966903073286,0.8492063492063492,0.8324958123953098,"[282, 231, 199, 167]",0.4829556913099361,0.7315445435487268,0.6072501174293314
27,32,64,4,2,64,128,0.1,1e-05,0.001,0.3665283540802211,0.6585820895522391,0.6953488372093023,0.7093253968253966,0.5373443983402489,0.8013059701492538,0.7713178294573643,0.8115079365079365,"[268, 215, 168, 137]",0.4357957629997427,0.7569839198997711,0.5963898414497569
23,128,64,4,2,128,128,0.0,1e-05,0.001,0.4135546334716459,0.7273262661955241,0.8438818565400845,0.623123123123123,0.5715767634854771,0.833922261484099,0.9247538677918424,0.8010510510510511,"[283, 237, 222, 180]",0.4798917579000566,0.7009724537399815,0.590432105820019
24,32,64,4,2,128,128,0.0,1e-05,0.001,0.4045643153526971,0.6297662976629766,0.7782874617737003,0.6551418439716311,0.5499654218533887,0.8031980319803198,0.8470948012232415,0.7854609929078014,"[271, 218, 188, 149]",0.4661905767567214,0.714406983087834,0.5902987799222776
54,32,64,3,2,128,64,0.0,0.0001,0.001,0.3886583679114798,0.6210986267166044,0.7474489795918365,0.6569200779727095,0.5368257261410788,0.7322097378277154,0.863095238095238,0.7933723196881093,"[267, 196, 171, 138]",0.4508814617467382,0.7187270745561635,0.5848042681514508
32,64,128,4,2,64,128,0.0,0.0001,0.001,0.3651452282157676,0.6394052044609665,0.7689210950080515,0.6564245810055864,0.5465076071922544,0.7657992565055762,0.8478260869565217,0.7849162011173184,"[269, 207, 179, 141]",0.4377864845021966,0.7149430514053093,0.5763647679537529
67,32,128,2,3,64,128,0.2,0.0001,0.001,0.350622406639004,0.5892857142857142,0.7948028673835122,0.6780538302277433,0.5084716459197787,0.7341269841269841,0.8530465949820788,0.8064182194616976,"[252, 186, 161, 131]",0.4150454811532746,0.7366861000661257,0.5758657906097001
26,128,64,3,2,64,64,0.0,1e-05,0.001,0.3485477178423236,0.6826666666666668,0.7668393782383418,0.6696969696969698,0.5008644536652835,0.7686666666666666,0.844559585492228,0.8232323232323233,"[250, 193, 165, 137]",0.4110493541987427,0.7385697297740601,0.5748095419864014
28,128,64,4,3,64,128,0.0,1e-05,0.001,0.3665283540802214,0.6329723225030084,0.7523809523809524,0.6450980392156862,0.5603388658367912,0.7527075812274369,0.7968253968253968,0.7745098039215685,"[277, 210, 170, 134]",0.4431704516224575,0.7039053190336907,0.5735378853280741
25,128,128,3,2,128,64,0.1,1e-05,0.001,0.3547717842323652,0.6870882740447959,0.7783251231527092,0.659217877094972,0.5081258644536653,0.8010540184453228,0.8628899835796388,0.8026070763500931,"[253, 203, 179, 145]",0.4178217887633425,0.7238800128100202,0.5708509007866813
33,64,64,3,2,64,64,0.1,1e-05,0.001,0.3907330567081602,0.6586419753086419,0.770334928229665,0.6189138576779025,0.5428769017980637,0.7731481481481481,0.8405103668261562,0.7724719101123596,"[270, 209, 178, 140]",0.4544080733568976,0.6872192901537949,0.5708136817553462
47,32,64,2,2,64,128,0.2,0.0001,0.001,0.3360995850622406,0.6100746268656714,0.7560763888888888,0.664516129032258,0.5418395573997234,0.7136194029850746,0.7934027777777778,0.7978494623655913,"[268, 192, 155, 125]",0.4148625835309422,0.7251043643263756,0.5699834739286589
28,32,128,2,2,64,128,0.1,1e-05,0.001,0.3686030428769018,0.6310386473429951,0.7571428571428571,0.6447619047619046,0.5553250345781466,0.7581521739130435,0.8182539682539681,0.7533333333333334,"[276, 210, 175, 134]",0.443096172799629,0.6948319709355132,0.568964071867571
30,128,128,4,2,64,64,0.0,1e-05,0.001,0.3644536652835407,0.6583969465648856,0.7500000000000001,0.6463178294573642,0.5283540802213001,0.7700381679389313,0.8374587458745875,0.7790697674418605,"[262, 202, 172, 136]",0.4313595666562743,0.7065119440975131,0.5689357553768937
27,32,128,2,2,128,128,0.0,1e-05,0.001,0.3509681881051177,0.6280566280566279,0.7619047619047615,0.6587771203155818,0.5191908713692945,0.7786357786357786,0.8226600985221675,0.7712031558185404,"[259, 203, 169, 132]",0.4188187835802377,0.7105706318438413,0.5646947077120394
36,32,128,3,3,128,128,0.1,1e-05,0.001,0.3409405255878284,0.6271753681392235,0.7482993197278912,0.6787878787878788,0.5010373443983402,0.7871485943775101,0.8222789115646258,0.7656565656565657,"[249, 196, 165, 128]",0.405768231274549,0.7196100868828141,0.5626891590786816
64,64,64,2,2,128,64,0.2,0.0001,0.001,0.3706777316735823,0.6051964512040557,0.7290598290598291,0.6268343815513626,0.5342323651452282,0.7395437262357415,0.8072649572649572,0.759958071278826,"[263, 195, 159, 123]",0.4376745093127128,0.6870066917985455,0.5623406005556291
