#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
28,128,64,2,3,128,128,0.1,0.0001,0.001,0.5082987551867216,0.7044025157232703,0.7111553784860559,0.525581395348837,0.6507607192254495,0.7877358490566038,0.8466135458167331,0.7232558139534884,"[318, 251, 215, 157]",0.10857538035961292,0.3170816044260028,0.1610650069156293
41,64,64,3,4,32,64,0.2,1e-05,0.001,0.43360995850622375,0.6441605839416059,0.7029702970297032,0.43660531697341515,0.5575726141078838,0.7372262773722628,0.7920792079207921,0.6257668711656442,"[274, 202, 163, 103]",0.07123098201936369,0.2071230982019364,0.10546334716459196
39,64,128,2,3,64,64,0.1,1e-05,0.001,0.4163208852005534,0.7250280583613914,0.7557471264367818,0.5366666666666666,0.6097856154910096,0.7794612794612794,0.8469827586206896,0.725,"[297, 232, 200, 146]",0.1009681881051177,0.29114799446749656,0.14903181189488243
42,64,64,3,3,64,64,0.1,0.0001,0.001,0.47441217150760745,0.7273224043715849,0.7362784471218206,0.4684044233807267,0.6262102351313971,0.8131147540983606,0.8373493975903614,0.6682464454976303,"[305, 249, 211, 142]",0.09820193637621036,0.2869986168741355,0.14571230982019362
21,64,128,2,3,64,128,0.1,0.0001,0.001,0.49308437067773153,0.7406798245614034,0.7142857142857144,0.5451713395638628,0.6211964038727524,0.8240131578947368,0.8432539682539683,0.7593457943925234,"[304, 252, 214, 164]",0.11341632088520079,0.33160442600276624,0.16832641770401108
30,128,64,2,3,64,64,0.1,0.0001,0.001,0.42185338865836763,0.6905594405594406,0.7339449541284405,0.500910746812386,0.5873098201936375,0.7593240093240093,0.8348623853211009,0.6857923497267759,"[286, 218, 183, 127]",0.08921161825726148,0.2548409405255878,0.1309820193637621
53,128,64,4,2,128,64,0.2,0.0001,0.001,0.49170124481327776,0.6740614334470989,0.6899399399399401,0.4293478260869564,0.5964730290456431,0.7525597269624573,0.8175675675675675,0.6603260869565217,"[293, 222, 184, 123]",0.08506224066390045,0.245850622406639,0.12551867219917012
24,64,64,2,2,32,64,0.2,0.0001,0.001,0.48789764868603014,0.7231450719822812,0.7578875171467766,0.5558139534883719,0.614280774550484,0.8039867109634552,0.8724279835390947,0.7767441860465116,"[301, 243, 215, 168]",0.11721991701244841,0.3374827109266943,0.17289073305670813
29,128,128,2,2,64,64,0.2,0.0001,0.001,0.4892807745504839,0.7354838709677421,0.7839262187088277,0.5360750360750358,0.6317427385892116,0.8145161290322581,0.9071146245059288,0.7445887445887446,"[310, 253, 231, 175]",0.12171507607192285,0.3502766251728907,0.1795297372060858
51,128,64,4,3,128,128,0.1,0.0001,0.001,0.4930843706777318,0.6216216216216215,0.7473604826546001,0.46945898778359507,0.6042531120331949,0.7466216216216216,0.8552036199095022,0.6649214659685864,"[296, 221, 191, 128]",0.09059474412171516,0.25899031811894885,0.13326417704011062
