#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
18,64,64,4,2,32,128,0.2,1e-05,0.001,0.5027662517289073,0.7685459940652817,0.7691867124856816,0.6204427083333335,0.6859439834024896,0.8546488625123639,0.8602520045819015,0.818359375,"[337, 291, 256, 211]",0.1500691562932227,0.419692254495159,0.2184270086759713,0.580241467161498,0.7057886736425341,0.6430150704020161
20,64,64,4,2,32,128,0.1,0.0001,0.001,0.5331950207468881,0.7425149700598801,0.7541371158392434,0.5931972789115646,0.6817946058091287,0.8352794411177645,0.8522458628841608,0.8142857142857143,"[334, 282, 245, 202]",0.1428077455048411,0.398945366528354,0.2077077832264554,0.598407560103978,0.6863771318097078,0.6423923459568429
22,64,128,3,2,128,128,0.1,1e-05,0.001,0.5069156293222684,0.7403343782654126,0.7268694550063374,0.5754310344827585,0.6475622406639004,0.81760710553814,0.867553865652725,0.7952586206896551,"[319, 263, 232, 187]",0.1320885200553253,0.3686894882434302,0.1919105099603024,0.5686716554478641,0.6677171437865971,0.6181943996172305
34,64,128,3,3,64,128,0.2,0.0001,0.001,0.5179806362378974,0.7421281216069489,0.6902035623409669,0.5701357466063345,0.6212828492392809,0.8493485342019544,0.8288804071246819,0.8144796380090498,"[307, 262, 221, 184]",0.1272475795297375,0.3634163208852005,0.1870677731673582,0.5649483014859655,0.6707479371839231,0.6178481193349443
36,64,128,2,3,128,128,0.2,0.0001,0.001,0.5200553250345783,0.7213541666666666,0.7049808429118773,0.5573394495412841,0.6485995850622407,0.8088020833333334,0.8192848020434228,0.7958715596330275,"[320, 261, 218, 176]",0.1230982019363765,0.3477697095435685,0.179837797057714,0.5772579486255552,0.6555823355621208,0.616420142093838
22,128,64,4,2,64,128,0.2,0.0001,0.001,0.5214384508990317,0.7541928721174004,0.7179974651457544,0.555797101449275,0.6434128630705395,0.8201781970649895,0.8561470215462612,0.7934782608695652,"[318, 263, 230, 184]",0.1300138312586448,0.3660961272475795,0.189657990695335,0.5760395384106113,0.6537033577733149,0.614871448091963
33,128,128,4,2,128,128,0.2,0.0001,0.001,0.5283540802213,0.7054507337526206,0.7222222222222221,0.5339652448657184,0.6444502074688797,0.7761530398322851,0.821954484605087,0.8270142180094787,"[318, 249, 211, 177]",0.1237897648686033,0.3453492392807745,0.1799069533509367,0.5806559546030503,0.6489397694421443,0.6147978620225973
28,128,128,4,2,32,64,0.1,1e-05,0.001,0.4681881051175655,0.7452229299363055,0.7601781170483457,0.5913043478260869,0.6392634854771784,0.8269108280254777,0.8600508905852418,0.7913043478260869,"[314, 262, 230, 184]",0.1286307053941912,0.3665283540802213,0.1889349930843706,0.5405122218943715,0.6768389390210554,0.6086755804577135
28,64,128,4,2,32,64,0.1,0.0001,0.001,0.4847856154910095,0.7021505376344087,0.7584635416666666,0.5900900900900898,0.6299273858921162,0.8198387096774193,0.8489583333333334,0.7680180180180181,"[310, 256, 222, 173]",0.1203319502074691,0.3419778699861687,0.176417704011065,0.5479073718624253,0.6673987420256076,0.6076530569440164
36,64,64,4,3,32,128,0.2,1e-05,0.001,0.5159059474412173,0.7177848775292862,0.7512919896640825,0.5519480519480516,0.6361514522821576,0.8162406815761449,0.8753229974160207,0.7748917748917749,"[313, 258, 231, 181]",0.1272475795297375,0.358143153526971,0.1854394568087514,0.5697534129541408,0.6446897311497636,0.6072215720519523
