#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
19,128,256,3,4,4,0.0,0.0001,0.001,0.49377593360995814,0.7393292682926825,0.7619904076738608,0.6029810298102979,0.6656293222683264,0.8409552845528456,0.8794964028776978,0.796070460704607,"[328, 278, 246, 199]",0.13900414937759362,0.3893499308437068,0.202627939142462
12,64,256,3,4,2,0.0,1e-05,0.001,0.4751037344398339,0.7533748701973001,0.7680097680097682,0.5997210599721058,0.6476486860304287,0.8463136033229491,0.86996336996337,0.7900976290097628,"[321, 273, 239, 191]",0.13278008298755223,0.379149377593361,0.1949911084765857
22,128,256,3,4,4,0.1,0.0001,0.001,0.5048409405255877,0.7319958847736626,0.758852258852259,0.6292517006802719,0.657503457814661,0.8384773662551441,0.8937728937728938,0.8034013605442176,"[324, 273, 245, 199]",0.13969571230982045,0.3940179806362379,0.2040505828887572
22,128,256,4,3,2,0.1,0.0001,0.0001,0.5594744121715077,0.770964360587002,0.77797833935018,0.5489060489060488,0.6440179806362378,0.8679245283018868,0.9283995186522261,0.8281853281853282,"[318, 277, 259, 216]",0.15076071922544962,0.43032503457814664,0.22127049990120531
18,64,256,3,3,4,0.1,1e-05,0.001,0.5200553250345781,0.7453987730061347,0.7777777777777778,0.5967320261437911,0.6633817427385892,0.8701431492842536,0.8912280701754386,0.8084967320261439,"[326, 285, 255, 209]",0.14661134163208864,0.4133817427385893,0.21407824540604628
31,64,128,3,4,2,0.0,0.0001,0.0001,0.5463347164591974,0.7021276595744682,0.764775413711584,0.5843373493975905,0.6673582295988935,0.8556231003039514,0.8812056737588653,0.8012048192771084,"[329, 282, 249, 200]",0.14107883817427405,0.4023167358229599,0.20695514720410987
13,128,256,4,3,4,0.0,1e-05,0.0001,0.562240663900415,0.7557213930348259,0.7889647326507391,0.55089058524173,0.6796334716459197,0.8721393034825872,0.8896473265073946,0.8225190839694656,"[335, 293, 262, 217]",0.1535269709543569,0.4332641770401106,0.22434301521438457
24,64,256,4,4,2,0.1,1e-05,0.001,0.5034578146611343,0.7502596053997925,0.8009592326139089,0.5736278447121818,0.6536998616874136,0.8618899273104881,0.8938848920863309,0.7971887550200804,"[321, 278, 249, 199]",0.14177040110650085,0.4000691562932227,0.20733056708160447
26,64,256,3,3,2,0.1,1e-05,0.0001,0.5280082987551867,0.7310231023102313,0.6673280423280424,0.5154320987654318,0.6173928077455048,0.8272827282728272,0.8439153439153438,0.7291666666666666,"[303, 252, 216, 159]",0.11030428769018001,0.31604426002766256,0.16224066390041494
28,64,128,4,4,4,0.1,0.0001,0.0001,0.4896265560165974,0.7212543554006967,0.7070707070707068,0.5107260726072607,0.5828146611341631,0.7996515679442509,0.870851370851371,0.7301980198019802,"[287, 231, 202, 149]",0.10304287690179822,0.29771784232365145,0.15207468879668049
