#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
60,64,128,2,4,128,64,0.1,0.0001,0.001,0.4868603042876901,0.6952054794520547,0.6048034934497819,0.5549450549450549,0.5911134163208851,0.7812785388127854,0.7816593886462883,0.7664835164835165,"[292, 229, 182, 141]",0.09820193637621034,0.28067081604426003,0.14385990910887175
27,64,128,3,3,32,128,0.1,1e-05,0.001,0.461964038727524,0.7386831275720163,0.762254901960784,0.7047619047619047,0.6585408022130014,0.8308641975308639,0.8915441176470589,0.8469387755102041,"[324, 272, 245, 210]",0.14868603042876913,0.4153699861687413,0.21571015429936594
20,128,128,3,2,32,128,0.2,0.0001,0.001,0.4792531120331947,0.7556584362139918,0.8108747044917258,0.6886304909560723,0.6585408022130014,0.868724279835391,0.901595744680851,0.8565891472868217,"[324, 282, 258, 223]",0.15905947441217144,0.44483056708160434,0.23075164807529958
47,128,128,3,3,64,64,0.1,1e-05,0.001,0.4253112033195021,0.7102206736353079,0.6473214285714286,0.5494505494505495,0.5807053941908713,0.775842044134727,0.8013392857142857,0.6978021978021978,"[287, 224, 182, 128]",0.08852005532503464,0.25535961272475793,0.13053744319304483
30,64,128,2,2,32,64,0.2,0.0001,0.001,0.4426002766251727,0.7459546925566343,0.8152454780361755,0.6430615164520742,0.628457814661134,0.8316073354908308,0.8914728682170543,0.8497854077253219,"[309, 258, 233, 200]",0.14073305670816066,0.3999654218533887,0.2061005730092867
27,128,64,4,3,32,128,0.1,1e-05,0.001,0.5089903181189487,0.7004287245444802,0.704780361757106,0.6248131539611358,0.6326071922544951,0.8267952840300107,0.8468992248062015,0.8094170403587444,"[311, 258, 223, 182]",0.12793914246196433,0.36175656984785615,0.1866380162023315
47,128,128,2,3,32,64,0.2,1e-05,0.001,0.37551867219917023,0.7273730684326712,0.8106995884773663,0.6527777777777778,0.6137275242047026,0.7974613686534215,0.8724279835390947,0.7754629629629629,"[302, 243, 216, 169]",0.11825726141078863,0.33808782849239283,0.17341614125846488
19,128,64,2,2,64,128,0.1,1e-05,0.001,0.5283540802213,0.7204142011834319,0.7424789410348975,0.6263661202185791,0.6875864453665284,0.8164694280078897,0.8691335740072202,0.840846994535519,"[338, 277, 244, 207]",0.1479944674965423,0.4120504840940526,0.2143171489644519
34,64,64,4,2,32,64,0.2,0.0001,0.001,0.5165975103734438,0.7199582027168234,0.7232824427480918,0.5662299854439592,0.6494640387275242,0.81901776384535,0.8568702290076335,0.759825327510917,"[319, 262, 229, 176]",0.12517289073305696,0.35207468879668047,0.18220213396561943
38,64,128,4,2,128,64,0.1,1e-05,0.001,0.40594744121715093,0.5463709677419354,0.5778508771929826,0.37339743589743585,0.5022130013831259,0.6068548387096774,0.6776315789473685,0.5769230769230769,"[248, 152, 104, 60]",0.04218533886583678,0.1184301521438451,0.06145030626358427
43,128,64,3,4,32,64,0.2,0.0001,0.001,0.40318118948824355,0.674488567990373,0.655993431855501,0.48312236286919835,0.559872060857538,0.7292418772563177,0.7684729064039408,0.6962025316455697,"[277, 203, 158, 111]",0.0767634854771784,0.21766943291839558,0.11234933807547914
20,64,128,3,2,128,128,0.2,0.0001,0.001,0.5034578146611342,0.7715231788079466,0.732075471698113,0.5355072463768112,0.6158367911479944,0.8740618101545254,0.85,0.8137681159420289,"[302, 265, 230, 189]",0.13485477178423264,0.3741182572614108,0.19502748289055344
34,128,64,3,4,32,128,0.2,1e-05,0.001,0.4398340248962653,0.7444051825677269,0.6731601731601732,0.5833333333333333,0.5704183955739971,0.806831566548881,0.8484848484848485,0.7474747474747475,"[283, 231, 198, 149]",0.10442600276625189,0.2937413554633471,0.1523216755581901
32,128,128,4,4,128,64,0.1,1e-05,0.001,0.2973720608575382,0.4239766081871345,0.30526315789473685,0.23529411764705882,0.344484785615491,0.5555555555555556,0.35789473684210527,0.3235294117647059,"[171, 95, 34, 11]",0.00760719225449516,0.020228215767634856,0.010758743331357437
30,64,128,3,3,64,128,0.1,1e-05,0.001,0.4861687413554632,0.7430555555555557,0.7452471482889733,0.606060606060606,0.6353734439834026,0.8380341880341882,0.8678707224334601,0.7994227994227994,"[312, 263, 231, 186]",0.13208852005532534,0.37228561549100975,0.1921278583104309
30,64,128,4,4,32,128,0.1,0.0001,0.001,0.48132780082987536,0.7757062146892655,0.7173333333333334,0.5453834115805944,0.5990318118948824,0.8446327683615819,0.84,0.7934272300469484,"[295, 250, 213, 170]",0.1196403872752423,0.3385200553250346,0.174975301323849
