#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
21,64,64,3,2,32,128,0.2,0.0001,0.001,0.4910096818810509,0.772256728778468,0.768953068592058,0.6176870748299318,0.6460235131396957,0.8574016563146999,0.8794223826714801,0.8374149659863946,"[322, 277, 245, 207]",0.1455739972337484,0.4077916090364223,0.2118948824343016,0.5579499368417526
20,128,128,2,2,32,128,0.2,0.0001,0.001,0.4190871369294603,0.7415611814345991,0.7859848484848485,0.7174535050071531,0.636572153065929,0.8299050632911392,0.8787878787878788,0.8669527896995708,"[316, 264, 233, 204]",0.1431535269709545,0.3999538958045182,0.2083679114799446,0.5054267103140587
20,64,64,2,2,32,128,0.1,0.0001,0.001,0.4640387275242045,0.7068783068783069,0.7871794871794873,0.675141242937853,0.6315006915629322,0.8203703703703703,0.903846153846154,0.8389830508474576,"[315, 260, 236, 200]",0.1414246196403875,0.3969571230982019,0.2064315352697095,0.5349707591310513
19,64,128,2,2,64,128,0.1,1e-05,0.001,0.4591977869986166,0.7208067940552019,0.7750000000000002,0.6788268955650929,0.6310972798524666,0.8214968152866242,0.8852564102564103,0.8626609442060086,"[314, 260, 233, 202]",0.1410788381742741,0.3976486860304288,0.2063623789764869,0.5315964147688492
17,128,128,4,2,32,128,0.1,1e-05,0.001,0.4412171507607191,0.7306451612903228,0.8250950570342205,0.6370523415977961,0.6228561549100967,0.8438172043010754,0.914828897338403,0.794077134986226,"[310, 263, 242, 194]",0.1376210235131399,0.3828953434762563,0.1997233748271092,0.5165336195140438
19,64,64,4,2,64,128,0.1,1e-05,0.001,0.4910096818810511,0.7539936102236423,0.7459119496855345,0.598124098124098,0.630232826187183,0.8436102236421725,0.8641509433962264,0.8354978354978355,"[313, 265, 231, 195]",0.1369294605809131,0.3843937298294144,0.1996542185338866,0.5519776806006228
16,64,128,2,2,32,128,0.2,0.0001,0.001,0.4377593360995848,0.7413600891861764,0.7918340026773761,0.6390134529147982,0.6010719225449517,0.830267558528428,0.8882195448460508,0.8408071748878924,"[299, 249, 223, 189]",0.1320885200553254,0.3700553250345781,0.1925656984785616,0.5065786066251096
26,128,64,2,2,128,128,0.2,0.0001,0.001,0.5179806362378977,0.7186836518046711,0.6934640522875818,0.61036036036036,0.6307514983863532,0.8082802547770701,0.8653594771241829,0.8355855855855856,"[314, 255, 222, 188]",0.1313969571230985,0.3702166897187644,0.191908713692946,0.5688307179620067
26,64,64,2,2,128,128,0.2,1e-05,0.001,0.4882434301521439,0.7462365591397849,0.7241602067183458,0.5484848484848482,0.6208967266021208,0.8298387096774194,0.8507751937984496,0.7954545454545454,"[310, 258, 220, 175]",0.1237897648686033,0.3502766251728907,0.1813969571230981,0.5466374032540261
21,64,128,3,2,128,128,0.2,1e-05,0.001,0.4709543568464728,0.7048260381593715,0.771448663853727,0.5829420970266038,0.5960004610419548,0.7964646464646465,0.8945147679324894,0.8098591549295775,"[297, 237, 213, 174]",0.1237897648686033,0.3434762563393269,0.1793914246196404,0.5261497658649066
