#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
34,64,64,3,3,64,64,0.1,0.0001,0.001,0.4585062240663898,0.6881720430107525,0.6689922480620155,0.4224137931034483,0.5641424619640387,0.7646356033452808,0.7976744186046512,0.6695402298850575,"[279, 215, 174, 117]",0.08229598893499311,0.22942600276625172,0.11954159257063819
57,128,64,3,3,64,64,0.2,1e-05,0.001,0.4806362378976489,0.6761744966442951,0.715339233038348,0.5264957264957263,0.6011410788381742,0.7516778523489932,0.8561946902654868,0.7025641025641025,"[298, 226, 195, 139]",0.09889349930843723,0.27299446749654216,0.1429855759731278
26,64,64,2,2,128,128,0.1,0.0001,0.001,0.5359612724757954,0.7399380804953558,0.7246913580246911,0.5787623066104077,0.6545643153526971,0.8284313725490198,0.8685185185185185,0.8192686357243321,"[323, 270, 237, 198]",0.14004149377593383,0.391597510373444,0.20363564512942106
72,128,64,4,4,32,64,0.1,1e-05,0.001,0.49861687413554634,0.6094609460946091,0.7481644640234948,0.5722789115646256,0.6099585062240662,0.7444994499449945,0.856093979441997,0.7678571428571429,"[303, 227, 196, 152]",0.10788381742738609,0.30238589211618255,0.1567575577949022
31,128,128,2,3,128,128,0.1,1e-05,0.001,0.5048409405255879,0.7310126582278478,0.7442307692307691,0.5946142649199416,0.6431535269709545,0.8135548523206753,0.8711538461538462,0.8180494905385736,"[316, 260, 229, 189]",0.13520055325034605,0.3777662517289074,0.19665085951393005
61,128,64,4,3,64,64,0.2,1e-05,0.001,0.4868603042876903,0.6572222222222224,0.7382039573820394,0.49407783417935686,0.6063278008298754,0.7249999999999999,0.8858447488584474,0.7030456852791879,"[300, 219, 197, 140]",0.09820193637621036,0.27610650069156295,0.1429855759731278
64,128,64,3,3,64,64,0.1,1e-05,0.001,0.5076071922544951,0.7035830618892508,0.7083333333333334,0.5392628205128203,0.6173928077455048,0.7866449511400652,0.8483606557377049,0.7836538461538461,"[307, 244, 208, 164]",0.11687413554633498,0.32762793914246197,0.17023315550286502
20,128,128,4,2,64,128,0.1,0.0001,0.001,0.5214384508990316,0.7319277108433732,0.7682481751824817,0.6027777777777776,0.6744467496542185,0.8177710843373494,0.864963503649635,0.85625,"[332, 274, 240, 208]",0.14591977869986186,0.41044260027662527,0.21266548113021141
65,64,128,4,3,64,64,0.1,1e-05,0.001,0.4840940525587827,0.639455782312925,0.7579185520361991,0.5478632478632476,0.5956085753803596,0.7431972789115645,0.8733031674208145,0.7666666666666667,"[294, 221, 195, 151]",0.10719225449515925,0.2989280774550484,0.15564117763287885
72,64,128,3,2,128,64,0.2,1e-05,0.001,0.5152143845089902,0.6922290388548058,0.7313725490196079,0.5666666666666663,0.6614799446749655,0.7732617586912066,0.8549019607843137,0.8143939393939393,"[326, 255, 220, 180]",0.12932226832641802,0.3596127247579529,0.18756174669037742
41,128,64,4,2,64,64,0.2,0.0001,0.001,0.5280082987551868,0.7139852786540479,0.7228682170542634,0.5593093093093088,0.6419432918395573,0.805993690851735,0.8488372093023255,0.8130630630630631,"[317, 258, 222, 182]",0.12863070539419122,0.3601313969571231,0.18717644734242245
29,128,128,2,2,64,64,0.2,0.0001,0.001,0.5006915629322267,0.7499999999999999,0.7855392156862744,0.5304287690179804,0.6575034578146612,0.8287037037037037,0.8725490196078431,0.7800829875518672,"[324, 272, 241, 189]",0.13416320885200586,0.3734439834024897,0.19475400118553646
46,64,64,3,4,128,128,0.1,1e-05,0.001,0.4647302904564318,0.605392156862745,0.6984126984126984,0.39502164502164516,0.5510027662517288,0.6893382352941175,0.8077601410934744,0.6103896103896104,"[272, 189, 154, 96]",0.06777316735822951,0.18793222683264177,0.09796482908516103
34,64,64,3,2,64,64,0.1,1e-05,0.001,0.5089903181189489,0.704806687565308,0.7356091030789826,0.5525114155251137,0.6462655601659751,0.7729885057471265,0.8775100401606426,0.7884322678843226,"[319, 249, 219, 176]",0.12586445366528387,0.3502766251728907,0.18258249357834425
30,128,128,3,4,32,128,0.1,1e-05,0.001,0.51521438450899,0.7206498951781969,0.7366013071895423,0.5692640692640691,0.6419432918395573,0.7971698113207547,0.8980392156862745,0.7712842712842712,"[318, 255, 231, 180]",0.12724757952973753,0.3578838174273859,0.1852104327208062
46,128,64,2,3,128,128,0.1,1e-05,0.001,0.5269709543568463,0.7198364008179957,0.7481751824817515,0.5819559228650137,0.6613070539419088,0.8338445807770961,0.8637469586374696,0.8119834710743802,"[326, 274, 242, 197]",0.14073305670816066,0.38900414937759337,0.20360600671803994
26,64,128,2,2,128,64,0.1,0.0001,0.001,0.5138312586445364,0.7211538461538459,0.7336010709504684,0.4753086419753083,0.6355463347164592,0.7919337606837608,0.857429718875502,0.7299382716049382,"[312, 249, 216, 160]",0.1141078838174276,0.3163900414937759,0.16529342027267338
25,64,128,4,2,64,128,0.2,1e-05,0.001,0.5058782849239281,0.7515151515151515,0.7636469221835074,0.6339869281045754,0.6699515905947441,0.8590909090909091,0.8751451800232287,0.8294117647058824,"[330, 287, 255, 214]",0.1497233748271094,0.4239280774550484,0.21882039122703026
57,64,64,4,4,32,64,0.1,1e-05,0.001,0.45919778699861685,0.676056338028169,0.738095238095238,0.5254385964912279,0.5762448132780082,0.783450704225352,0.8415178571428571,0.7710526315789473,"[284, 224, 190, 148]",0.10580912863070559,0.29564315352697096,0.15394190871369295
43,128,128,3,3,64,64,0.1,0.0001,0.001,0.4813278008298755,0.6872909698996656,0.7321937321937322,0.5779967159277501,0.6052904564315351,0.7775919732441471,0.8554131054131053,0.8300492610837439,"[299, 234, 203, 169]",0.11964038727524232,0.33506224066390033,0.1737996443390634
52,128,64,4,3,64,64,0.1,1e-05,0.001,0.47441217150760717,0.623826291079812,0.7108333333333333,0.4151515151515152,0.5741701244813278,0.6971830985915491,0.8125,0.6606060606060606,"[284, 200, 165, 110]",0.07607192254495156,0.21455739972337481,0.1108970559178028
43,128,64,4,2,64,64,0.1,1e-05,0.001,0.498616874135546,0.6933333333333335,0.7672064777327934,0.5814132104454679,0.608402489626556,0.8166666666666667,0.8704453441295547,0.8064516129032258,"[300, 247, 217, 177]",0.1244813278008302,0.3552904564315353,0.18254297569650263
70,64,128,4,4,64,64,0.2,0.0001,0.001,0.4847856154910094,0.6771929824561402,0.7075757575757575,0.4834205933682371,0.5783195020746889,0.7614035087719297,0.853030303030303,0.7172774869109948,"[285, 220, 191, 139]",0.09820193637621037,0.2697095435684647,0.14164196799051568
37,64,128,2,2,64,64,0.2,1e-05,0.001,0.5089903181189491,0.7068089430894309,0.7760814249363864,0.6151129943502823,0.6668395573997234,0.7911585365853658,0.893765903307888,0.8305084745762712,"[328, 262, 236, 199]",0.14038727524204728,0.39643845089903185,0.20501877099387475
40,64,64,2,2,64,64,0.2,1e-05,0.001,0.4989626556016594,0.7445141065830722,0.7760814249363868,0.6008403361344538,0.6452282157676349,0.812173458725183,0.898854961832061,0.8396358543417366,"[319, 262, 238, 201]",0.14488243430152165,0.40110650069156295,0.20969176052163604
59,64,64,3,4,128,64,0.1,0.0001,0.001,0.35961272475795303,0.48245614035087736,0.5989583333333333,0.3865979381443298,0.4631742738589211,0.5562865497076023,0.7421875,0.5412371134020618,"[228, 128, 97, 53]",0.03665283540802214,0.1037344398340249,0.05352697095435686
30,64,64,3,3,64,128,0.1,0.0001,0.001,0.5062240663900415,0.7499999999999998,0.751596424010217,0.5385735080058218,0.619640387275242,0.8428030303030304,0.867816091954023,0.7896652110625909,"[308, 261, 229, 183]",0.13070539419087174,0.36272475795297376,0.1892214977277218
28,64,128,2,4,32,128,0.1,0.0001,0.001,0.4408713692946059,0.6909282700421939,0.7804878048780487,0.6139534883720928,0.6367565698478561,0.7737341772151899,0.8624661246612466,0.7813953488372093,"[316, 246, 215, 171]",0.11929460580912891,0.3381742738589212,0.17461964038727523
