#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
43,64,32,2,4,64,64,0.1,0.0001,0.001,0.39142461964038744,0.7294776119402984,0.6858974358974357,0.398635477582846,0.5383817427385892,0.7742537313432836,0.8108974358974359,0.6042884990253411,"[268, 208, 171, 104]"
28,64,128,3,2,64,64,0.0,0.0001,0.001,0.47164591977870013,0.7424242424242424,0.7496732026143789,0.5721966205837172,0.5987206085753805,0.8585858585858586,0.8392156862745098,0.7864823348694318,"[297, 255, 217, 171]"
34,32,128,2,3,128,128,0.2,0.0001,0.001,0.4913554633471646,0.7315436241610739,0.7269647696476963,0.5313455657492353,0.5978561549100968,0.8238255033557047,0.8773712737127372,0.7331804281345566,"[298, 246, 218, 161]"
46,32,64,3,3,64,64,0.1,0.0001,0.001,0.48547717842323646,0.7573696145124719,0.6542483660130717,0.5108877721943046,0.5902489626556016,0.8656462585034014,0.7705882352941177,0.7587939698492462,"[294, 255, 199, 153]"
43,64,32,4,2,64,64,0.2,1e-05,0.001,0.4626556016597512,0.6864197530864194,0.6682769726247985,0.48115079365079355,0.5433955739972338,0.7648148148148148,0.8075684380032205,0.7232142857142856,"[270, 207, 168, 123]"
42,64,128,4,4,32,64,0.2,1e-05,0.001,0.3941908713692946,0.7129629629629629,0.6443850267379679,0.4079254079254081,0.4704356846473029,0.7948717948717948,0.7495543672014261,0.6538461538461539,"[234, 187, 143, 94]"
39,32,32,4,2,64,64,0.0,1e-05,0.001,0.47856154910096804,0.6654804270462634,0.6958525345622117,0.48399246704331444,0.5662171507607192,0.7686832740213523,0.8026113671274961,0.7165725047080979,"[281, 217, 177, 128]"
33,64,64,3,3,128,128,0.0,1e-05,0.001,0.45919778699861674,0.6636363636363637,0.6586921850079744,0.47676767676767673,0.5492738589211619,0.7587878787878788,0.7783094098883572,0.695959595959596,"[275, 209, 165, 116]"
36,128,128,3,4,64,128,0.2,1e-05,0.001,0.4336099585062242,0.7298245614035088,0.7160766961651917,0.5569948186528497,0.573478561549101,0.7894736842105263,0.8436578171091444,0.7806563039723663,"[285, 226, 193, 152]"
30,32,128,2,2,128,64,0.0,1e-05,0.001,0.45850622406638974,0.7386621315192743,0.7380952380952381,0.5949074074074071,0.5935338865836792,0.8316326530612245,0.8666666666666666,0.8171296296296297,"[294, 245, 216, 177]"
21,32,64,4,3,32,128,0.0,0.0001,0.001,0.4699170124481325,0.7480091012514221,0.7177419354838708,0.5552884615384615,0.5897302904564314,0.8447098976109215,0.8272849462365592,0.7748397435897435,"[293, 248, 208, 163]"
23,128,64,4,3,32,128,0.0,0.0001,0.001,0.4889349930843704,0.7779700115340255,0.689424364123159,0.521505376344086,0.5821230982019363,0.8615916955017301,0.857429718875502,0.7427035330261136,"[289, 249, 217, 162]"
26,64,32,3,3,32,128,0.2,1e-05,0.001,0.4930843706777314,0.7538888888888889,0.6830708661417318,0.5323854660347552,0.6063278008298755,0.845,0.8202099737532809,0.7480252764612954,"[300, 254, 211, 160]"
22,32,64,2,2,32,64,0.0,1e-05,0.001,0.47717842323651466,0.7069160997732423,0.7165963431786214,0.5705128205128202,0.5886929460580913,0.8061224489795918,0.8621659634317861,0.7900641025641026,"[294, 237, 208, 166]"
27,32,128,3,2,32,64,0.1,0.0001,0.001,0.47994467496542154,0.7524115755627011,0.7619047619047619,0.5953420669577872,0.6263831258644537,0.8536977491961415,0.8527568922305764,0.8347889374090248,"[311, 266, 229, 193]"
41,128,128,3,3,128,128,0.2,1e-05,0.001,0.4460580912863069,0.6423076923076924,0.7024432809773122,0.4664502164502165,0.5202282157676349,0.7326923076923076,0.7966841186736475,0.7207792207792209,"[260, 191, 154, 113]"
45,64,64,3,4,64,64,0.2,0.0001,0.001,0.38520055325034563,0.6844262295081966,0.6169429097605893,0.3901234567901235,0.4948132780082988,0.735655737704918,0.731123388581952,0.5728395061728395,"[244, 181, 135, 79]"
