#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
18,64,128,2,2,64,128,0.1,1e-05,0.001,0.5048409405255878,0.7556207233626591,0.7732426303854876,0.6323155216284988,0.6856846473029046,0.8572825024437927,0.8849206349206348,0.8206106870229007,"[341, 294, 262, 216]",0.5815274964056002
23,128,64,2,2,64,128,0.2,1e-05,0.001,0.5069156293222683,0.7637637637637633,0.7710557532621588,0.5915032679738562,0.6683955739972338,0.8343343343343342,0.900355871886121,0.7967320261437908,"[333, 281, 255, 205]",0.576562466301821
19,64,64,3,2,64,128,0.0,0.0001,0.001,0.5248962655601659,0.7307692307692307,0.7051767676767675,0.5897435897435898,0.6260373443983402,0.8408119658119657,0.8806818181818182,0.7799145299145299,"[312, 264, 234, 184]",0.5710227963326907
37,128,32,4,3,64,128,0.0,0.0001,0.001,0.5027662517289073,0.6829533116178067,0.6762295081967215,0.611111111111111,0.6161825726141079,0.7877307274701412,0.8326502732240438,0.8104575163398692,"[307, 244, 204, 167]",0.5537264898522329
21,32,64,4,3,32,128,0.1,0.0001,0.001,0.5027662517289071,0.7144408251900107,0.6955645161290321,0.5841121495327101,0.6130705394190872,0.8023887079261672,0.8588709677419355,0.8123052959501557,"[307, 248, 214, 175]",0.5524664173011171
21,128,128,4,2,32,128,0.2,0.0001,0.001,0.4723374827109268,0.770392749244713,0.7541371158392433,0.6178045515394912,0.6640733056708161,0.8469284994964753,0.875886524822695,0.8012048192771083,"[331, 282, 249, 201]",0.5520305099932055
33,32,128,3,3,64,128,0.2,0.0001,0.001,0.4889349930843707,0.7277070063694268,0.7519841269841268,0.576754385964912,0.6322614107883817,0.7956475583864119,0.8988095238095238,0.7850877192982456,"[314, 252, 228, 181]",0.5514372458626194
34,128,128,2,3,32,128,0.2,0.0001,0.001,0.4695712309820193,0.7275541795665635,0.7952029520295201,0.6205234159779617,0.6564661134163209,0.8328173374613003,0.879458794587946,0.7892561983471075,"[323, 271, 242, 194]",0.5475086639148556
30,64,128,2,3,64,128,0.2,1e-05,0.001,0.4764868603042877,0.7063740856844307,0.7700922266139656,0.6257309941520466,0.641597510373444,0.787878787878788,0.8932806324110671,0.8238304093567251,"[319, 253, 228, 189]",0.5468510093054622
28,64,128,2,4,64,128,0.1,1e-05,0.001,0.4958506224066387,0.684326710816777,0.6973500697350067,0.5354267310789049,0.6092669432918396,0.7842163355408389,0.8535564853556487,0.7222222222222222,"[302, 239, 207, 150]",0.5467389215772827
40,64,32,2,2,128,64,0.1,0.0001,0.001,0.499308437067773,0.6811594202898549,0.6652542372881358,0.5466321243523315,0.5985477178423236,0.782051282051282,0.8100282485875707,0.7772020725388601,"[299, 236, 193, 152]",0.5444427745287025
26,128,64,3,2,128,128,0.0,1e-05,0.001,0.4993084370677733,0.732884399551066,0.6577503429355283,0.5758333333333332,0.5982019363762103,0.8097643097643098,0.8134430727023321,0.7875,"[297, 243, 200, 158]",0.5442996824998412
32,128,64,2,4,32,128,0.2,1e-05,0.001,0.4806362378976488,0.713897937024973,0.6745406824146983,0.5892575039494469,0.6206777316735823,0.8203040173724213,0.8267716535433071,0.7654028436018957,"[307, 254, 211, 163]",0.541753247740207
41,128,32,2,4,64,128,0.1,0.0001,0.001,0.4965421853388659,0.708193041526375,0.646857923497268,0.5569727891156461,0.5938796680497925,0.8159371492704827,0.7957650273224044,0.7865646258503403,"[297, 244, 196, 156]",0.5408664679368969
22,32,32,4,2,32,64,0.0,0.0001,0.001,0.4937759336099581,0.6971751412429379,0.6379310344827582,0.5212765957446807,0.5938796680497925,0.7762711864406779,0.8024425287356323,0.7322695035460994,"[295, 232, 188, 138]",0.5392212150533163
40,128,64,2,2,128,64,0.1,1e-05,0.001,0.4878976486860303,0.6829954954954953,0.6352765321375187,0.522099447513812,0.5923236514522822,0.7443693693693694,0.8034379671150973,0.7283609576427255,"[296, 223, 181, 134]",0.5350631704220038
53,64,64,3,3,128,128,0.2,0.0001,0.001,0.4820193637621023,0.6661111111111111,0.7207407407407408,0.5768566493955093,0.6006224066390041,0.7466666666666667,0.8481481481481481,0.8013816925734025,"[300, 225, 193, 156]",0.5348244234140989
50,32,128,3,3,128,128,0.1,1e-05,0.001,0.4868603042876903,0.6446327683615816,0.7014492753623187,0.5137457044673537,0.5930152143845091,0.772316384180791,0.8333333333333334,0.7130584192439862,"[295, 230, 194, 140]",0.5347200908443092
36,128,32,3,2,128,64,0.1,0.0001,0.001,0.4965421853388656,0.6375291375291373,0.6820388349514563,0.4470134874759153,0.571749654218534,0.7144522144522145,0.8284789644012945,0.6907514450867052,"[286, 206, 173, 120]",0.5314986266113058
51,64,64,3,2,128,64,0.1,0.0001,0.001,0.480982019363762,0.7050847457627119,0.691595441595442,0.55414551607445,0.590076071922545,0.784180790960452,0.831908831908832,0.7724196277495771,"[295, 234, 197, 153]",0.5299730854200225
35,64,32,3,4,64,128,0.0,0.0001,0.001,0.4944674965421851,0.6346153846153845,0.5979462875197472,0.4577777777777778,0.5705394190871369,0.7301864801864802,0.7030015797788308,0.7066666666666667,"[286, 211, 150, 106]",0.5297866034380555
24,32,128,3,3,32,128,0.1,0.0001,0.001,0.4640387275242049,0.730184581976113,0.7777777777777773,0.6235632183908045,0.6172199170124482,0.8431053203040175,0.8812260536398467,0.7959770114942528,"[307, 261, 232, 187]",0.5297787839019543
43,128,128,4,4,64,128,0.0,1e-05,0.001,0.4840940525587828,0.6521486643437865,0.6820276497695854,0.532051282051282,0.5798755186721992,0.7476771196283392,0.8264208909370199,0.7637362637362637,"[287, 217, 182, 140]",0.5276735301534474
44,64,32,3,4,64,128,0.1,0.0001,0.001,0.4820193637621024,0.7031963470319634,0.6887464387464388,0.5619765494137351,0.5824688796680498,0.795662100456621,0.844017094017094,0.7830820770519262,"[292, 234, 199, 157]",0.5275047057055458
37,128,64,3,3,128,128,0.0,0.0001,0.001,0.4941217150760717,0.6371158392434989,0.6492063492063492,0.4654471544715446,0.5655255878284925,0.7349290780141845,0.7666666666666667,0.7022357723577235,"[282, 210, 164, 117]",0.5274178919934186
29,64,128,4,3,64,128,0.0,0.0001,0.001,0.4792531120331948,0.7262313860252005,0.7058029689608637,0.5984126984126982,0.5841977869986169,0.8413516609392898,0.8461538461538461,0.8079365079365081,"[291, 247, 210, 171]",0.5265473144399824
