#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
19,128,256,4,3,2,0.1,1e-05,0.0001,0.5514147688060732,0.7555555555555555,0.7841435185185182,0.5295275590551176,0.6628709454796412,0.8654545454545455,0.8686342592592592,0.774278215223097,"[330, 288, 254, 199]"
14,128,256,3,4,2,0.1,1e-05,0.001,0.47204968944099385,0.6883333333333332,0.7741496598639456,0.5387045813586094,0.6038647342995169,0.8113333333333334,0.8544217687074829,0.7377567140600315,"[300, 245, 211, 158]"
23,64,128,4,4,2,0.0,0.0001,0.0001,0.505175983436853,0.778138528138528,0.8131127450980392,0.5315860215053759,0.6193926846100759,0.874025974025974,0.9031862745098039,0.7923387096774194,"[308, 272, 248, 199]"
18,64,256,3,3,2,0.0,0.0001,0.001,0.5217391304347825,0.7417417417417413,0.8066893424036279,0.6533586818757923,0.6690821256038648,0.875075075075075,0.8888888888888888,0.8694550063371356,"[333, 294, 263, 232]"
23,128,128,3,4,4,0.1,0.0001,0.0001,0.5465838509316769,0.7489837398373984,0.7448856799037304,0.553523035230352,0.6587301587301587,0.8408536585365854,0.8763537906137183,0.7852303523035231,"[328, 277, 246, 196]"
21,128,128,3,4,2,0.1,1e-05,0.0001,0.538302277432712,0.7836438923395443,0.7789725209080047,0.5020080321285135,0.6514837819185646,0.8546583850931677,0.8829151732377538,0.746318607764391,"[322, 279, 249, 189]"
26,64,128,4,3,4,0.1,0.0001,0.0001,0.5100069013112489,0.7428256070640175,0.7615283267457178,0.4866666666666663,0.6076604554865426,0.833112582781457,0.8735177865612648,0.7207407407407407,"[302, 253, 225, 164]"
14,64,256,4,3,4,0.0,1e-05,0.001,0.5134575569358173,0.7375127420998979,0.7851985559566784,0.6160593792172736,0.6583850931677019,0.8412844036697248,0.8838748495788207,0.8340080971659919,"[327, 277, 247, 208]"
15,64,128,3,3,4,0.0,1e-05,0.001,0.5244996549344372,0.7390219560878245,0.7984633569739951,0.6301460823373174,0.6732229123533472,0.8341317365269462,0.8829787234042553,0.8738379814077024,"[334, 282, 251, 221]"
14,64,256,3,3,2,0.1,1e-05,0.001,0.5369220151828845,0.728909465020576,0.7891791044776119,0.5040983606557374,0.652864044168392,0.8200617283950616,0.9029850746268656,0.7547814207650274,"[324, 268, 244, 186]"
18,128,256,4,4,2,0.0,0.0001,0.0001,0.523809523809524,0.7578520770010128,0.794871794871795,0.6223958333333331,0.6639061421670118,0.860790273556231,0.8869463869463869,0.8515625,"[329, 286, 256, 220]"
9,64,128,4,3,4,0.0,0.0001,0.001,0.48033126293995865,0.6640295358649789,0.7645074224021592,0.5684931506849313,0.6359558316080055,0.7724683544303798,0.8819163292847503,0.7168949771689498,"[316, 247, 219, 160]"
16,128,256,3,3,4,0.0,1e-05,0.0001,0.5479641131815042,0.764094955489614,0.7508591065292096,0.5652454780361755,0.6804692891649414,0.8507418397626112,0.8785796105383735,0.8191214470284238,"[337, 291, 258, 213]"
21,128,128,4,4,2,0.1,0.0001,0.0001,0.5631469979296068,0.7693498452012385,0.7606689734717413,0.48818897637795217,0.6483781918564527,0.8845201238390092,0.8656286043829297,0.7677165354330708,"[323, 289, 254, 196]"
24,128,128,4,3,2,0.0,1e-05,0.001,0.5031055900621118,0.7443125618199801,0.8036130536130536,0.5950520833333331,0.6804692891649413,0.8418397626112759,0.8898601398601398,0.7819010416666666,"[337, 286, 256, 204]"
23,64,256,4,3,4,0.1,0.0001,0.001,0.5438233264320219,0.7637637637637634,0.8109195402298849,0.5540712468193381,0.6690821256038648,0.8657657657657658,0.8988505747126435,0.8174300254452926,"[333, 290, 262, 218]"
27,128,256,4,3,2,0.1,0.0001,0.001,0.5037957211870256,0.7321603128054738,0.7972027972027974,0.6070038910505834,0.6863354037267081,0.8331378299120236,0.8851981351981353,0.7626459143968871,"[341, 286, 257, 198]"
19,128,128,4,3,2,0.1,0.0001,0.001,0.5120772946859901,0.7613038906414298,0.7554347826086957,0.49232914923291476,0.6404416839199448,0.8637223974763407,0.8529589371980675,0.7266387726638772,"[317, 276, 239, 175]"
17,64,256,3,3,4,0.1,0.0001,0.001,0.537612146307798,0.7455867082035306,0.81079478054567,0.5443121693121692,0.6463077984817116,0.8672897196261682,0.8920521945432978,0.8253968253968254,"[321, 281, 252, 210]"
30,64,128,3,3,2,0.1,0.0001,0.0001,0.5479641131815044,0.7446581196581196,0.6692209450830139,0.4841628959276017,0.6256038647342995,0.8307692307692307,0.8326947637292466,0.7013574660633484,"[312, 261, 221, 156]"
19,128,256,3,4,4,0.1,0.0001,0.0001,0.5679779158040024,0.753493013972056,0.7595155709342558,0.5732026143790846,0.6742581090407178,0.8580838323353294,0.8685121107266436,0.8411764705882353,"[334, 289, 255, 217]"
17,128,128,3,4,2,0.0,0.0001,0.0001,0.5279503105590063,0.7607361963190183,0.785300925925926,0.6037613488975355,0.6597653554175293,0.8748466257668711,0.884837962962963,0.8287937743190662,"[326, 288, 257, 215]"
13,64,256,4,4,2,0.0,1e-05,0.001,0.47204968944099357,0.7310606060606061,0.7876447876447876,0.5767543859649119,0.6190476190476192,0.8285714285714285,0.8758043758043759,0.7785087719298246,"[308, 259, 228, 181]"
14,128,256,3,3,2,0.0,0.0001,0.001,0.5314009661835749,0.7497570456754129,0.7549361207897792,0.5816599732262381,0.6908212560386474,0.8268221574344023,0.8612078977932636,0.7978580990629183,"[343, 287, 249, 200]"
14,128,128,4,3,4,0.0,0.0001,0.0001,0.5169082125603865,0.7210031347962383,0.787037037037037,0.5655509065550902,0.6421670117322291,0.8388714733542321,0.8703703703703702,0.806136680613668,"[319, 270, 239, 194]"
19,128,256,3,4,2,0.0,0.0001,0.001,0.5424430641821941,0.7428288822947575,0.7525951557093425,0.6009114583333331,0.6811594202898551,0.8462908011869436,0.8760092272202998,0.814453125,"[337, 289, 256, 209]"
