#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
20,128,128,3,3,2,0.1,1e-05,0.0001,0.5615491009681879,0.7450674974039457,0.738910012674271,0.5215277777777775,0.6497233748271092,0.8117860851505713,0.9074778200253485,0.7861111111111111,"[321, 263, 240, 192]",0.13623789764868632,0.3796680497925311,0.19765856550088914
15,128,128,3,3,2,0.0,0.0001,0.001,0.5380359612724758,0.7232232232232231,0.7683513838748497,0.5959999999999998,0.6742738589211619,0.8200700700700702,0.8935018050541517,0.8306666666666667,"[333, 277, 250, 209]",0.14937759336099596,0.41355463347164595,0.2161924520845683
21,64,256,4,4,2,0.1,1e-05,0.001,0.5200553250345779,0.6894379844961239,0.7648148148148147,0.5967078189300411,0.6974412171507609,0.773498062015504,0.8858024691358024,0.8031550068587107,"[344, 270, 243, 197]",0.13762102351313998,0.38934993084370684,0.20111638016202332
19,64,128,3,4,2,0.1,0.0001,0.001,0.5394190871369297,0.6863636363636364,0.8052434456928838,0.5745257452574524,0.6683955739972338,0.7987373737373739,0.9119850187265918,0.8163956639566395,"[330, 267, 246, 203]",0.14453665283540823,0.40283540802212997,0.2098300731080814
23,64,256,4,4,2,0.1,0.0001,0.001,0.5477178423236513,0.7266260162601622,0.7700729927007297,0.5694444444444442,0.663554633471646,0.8295223577235773,0.8631386861313869,0.8368055555555556,"[328, 274, 240, 203]",0.14246196403872774,0.40024204702627936,0.20757755384311402
27,64,128,3,4,2,0.0,1e-05,0.0001,0.5629322268326418,0.7200791295746786,0.7793764988009589,0.5141700404858296,0.6806708160442599,0.8175074183976261,0.8812949640287769,0.7672064777327935,"[337, 278, 247, 191]",0.1348547717842327,0.37828492392807755,0.19627543963643548
17,64,128,3,3,4,0.0,0.0001,0.001,0.518672199170124,0.7261208576998051,0.8133097762073027,0.6793409378960713,0.6950207468879669,0.8194444444444444,0.9175500588928149,0.8846641318124208,"[342, 283, 263, 234]",0.1673582295988933,0.46680497925311204,0.2430942501481921
26,64,256,3,3,4,0.0,0.0001,0.0001,0.5580912863070537,0.7215508559919434,0.8048484848484847,0.5445736434108525,0.6716804979253111,0.823262839879154,0.9254545454545454,0.8158914728682171,"[331, 275, 258, 212]",0.14937759336099599,0.42323651452282157,0.21840545346769413
24,64,256,4,3,4,0.0,1e-05,0.0001,0.5546334716459197,0.7147147147147145,0.7892512077294683,0.5406666666666666,0.6728907330567082,0.8230730730730732,0.8894927536231884,0.8086666666666668,"[333, 276, 250, 203]",0.14246196403872777,0.40283540802213,0.208170322070737
30,64,128,3,4,2,0.1,0.0001,0.0001,0.5539419087136928,0.7279874213836475,0.7582070707070704,0.48234463276836115,0.6426348547717843,0.8207547169811321,0.8832070707070707,0.777542372881356,"[318, 264, 236, 185]",0.12932226832641802,0.36497233748271096,0.18869788579332147
