#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
15,128,256,3,4,4,0.0,1e-05,0.0001,0.5145228215767634,0.7409046214355948,0.8028735632183907,0.6489226869455007,0.690179806362379,0.8519174041297936,0.8905172413793103,0.8650190114068441,"[339, 290, 263, 231]",0.161134163208852,0.456932918395574,0.2354443965439816,0.5895450929203329,0.741548319531694,0.6655467062260134
19,128,128,3,4,4,0.0,1e-05,0.0001,0.5235131396957122,0.7246588693957116,0.8321917808219178,0.632098765432099,0.696749654218534,0.8463937621832359,0.9058219178082192,0.8462962962962963,"[342, 292, 270, 230]",0.1625172890733055,0.4567600276625173,0.236382946237718,0.5978345007009692,0.723680507229568,0.6607575039652687
16,128,256,3,4,4,0.0,0.0001,0.0001,0.5082987551867217,0.7469696969696968,0.8194444444444441,0.647798742138365,0.670902489626556,0.8645454545454546,0.90625,0.8666666666666666,"[330, 288, 265, 232]",0.1632088520055324,0.4578838174273859,0.2371355822600635,0.5783896545713876,0.7414174972314508,0.6599035759014191
22,128,128,3,3,2,0.0,0.0001,0.0001,0.549792531120332,0.7435158501440923,0.8222222222222223,0.5965227817745805,0.70798755186722,0.8601344860710856,0.9075,0.8267386091127099,"[347, 300, 278, 232]",0.1635546334716458,0.4586618257261411,0.2376672773975678,0.6189416948282501,0.6930117237296938,0.6559767092789719
14,128,256,4,3,2,0.0,1e-05,0.0001,0.5463347164591975,0.7078373015873013,0.811265969802555,0.6003861003861005,0.6808437067773169,0.8505952380952382,0.8867595818815331,0.833976833976834,"[336, 287, 259, 218]",0.15283540802213,0.4332468879668049,0.2232432505254082,0.6062175580209412,0.6981609565728005,0.6521892572968708
15,128,256,3,3,4,0.0,0.0001,0.001,0.5103734439834023,0.723880597014925,0.7869047619047619,0.6334635416666669,0.6824861687413556,0.8312437810945275,0.8941071428571429,0.8151041666666666,"[335, 280, 256, 210]",0.1479944674965422,0.4151798063623789,0.2148376174309784,0.5840130937385264,0.7128955992509365,0.6484543464947314
16,64,256,4,3,2,0.0,0.0001,0.001,0.4737206085753804,0.7089864158829678,0.8152309612983771,0.6673497267759563,0.6475622406639004,0.8310344827586208,0.8960674157303371,0.8360655737704918,"[319, 267, 244, 205]",0.1445366528354081,0.4026452282157676,0.209579942878698,0.5471653810559208,0.7422408592219631,0.6447031201389419
15,128,128,3,4,4,0.0,0.0001,0.001,0.5027662517289073,0.697395833333333,0.7899628252788103,0.6415989159891599,0.6471818810511757,0.8359375,0.8971499380421314,0.823170731707317,"[320, 269, 246, 204]",0.1431535269709545,0.400155601659751,0.2077571805787574,0.5659058860964981,0.7211310665373073,0.6435184763169026
25,64,256,4,4,2,0.0,1e-05,0.0001,0.5193637621023512,0.7413087934560325,0.8106332138590203,0.6108949416342414,0.6618257261410788,0.8521472392638038,0.9094982078853048,0.8268482490272373,"[326, 279, 257, 215]",0.1514522821576764,0.424948132780083,0.2201312173303874,0.5820036537844849,0.7026531804994657,0.6423284171419753
20,64,128,4,4,4,0.0,0.0001,0.001,0.4882434301521435,0.7095808383233532,0.8131672597864767,0.6283602150537635,0.6785442600276625,0.8368263473053892,0.8665480427046264,0.8259408602150536,"[334, 281, 248, 206]",0.1479944674965422,0.4074688796680498,0.2131136498356415,0.5678749952785331,0.7137289318863912,0.6408019635824622
22,128,256,4,3,4,0.1,0.0001,0.001,0.5214384508990318,0.7009063444108762,0.783882783882784,0.596883468834688,0.6702455048409406,0.823262839879154,0.8858363858363858,0.8292682926829268,"[331, 273, 246, 205]",0.1466113416320885,0.4081777316735822,0.2116285857987103,0.5865511171530102,0.6941428654191528,0.6403469912860815
24,128,256,4,3,4,0.0,1e-05,0.001,0.4723374827109263,0.7407991587802314,0.8108614232209738,0.645578231292517,0.6445885200553251,0.8359621451104101,0.9001248439450688,0.8530612244897959,"[317, 267, 245, 209]",0.1493775933609959,0.416753112033195,0.2169450881069138,0.5451808234265119,0.734956969623982,0.640068896525247
17,128,256,3,4,4,0.1,0.0001,0.0001,0.5401106500691563,0.7614770459081837,0.7714958775029446,0.5778210116731516,0.6770401106500692,0.8422155688622754,0.8904593639575972,0.8229571984435797,"[334, 283, 257, 213]",0.1479944674965423,0.4232192254495159,0.216950027842144,0.6008730982019362,0.6789396887159531,0.6399063934589446
18,128,256,3,3,4,0.1,0.0001,0.0001,0.5560165975103735,0.7342342342342343,0.7795321637426899,0.5588235294117648,0.6764868603042878,0.8473473473473472,0.8789473684210526,0.8313725490196079,"[333, 285, 255, 213]",0.1500691562932227,0.4250518672199169,0.2192272457832624,0.6103640844850717,0.668381315854974,0.6393727001700229
22,128,256,3,3,2,0.1,0.0001,0.001,0.5041493775933606,0.7499999999999999,0.8505154639175256,0.6098765432098768,0.6732883817427386,0.8739959839357428,0.9140893470790378,0.8246913580246913,"[332, 291, 270, 224]",0.1590594744121715,0.4450207468879667,0.2307485046074258,0.5765704656657783,0.7012005694736619,0.6388855175697201
13,64,128,3,3,2,0.0,1e-05,0.001,0.5228215767634854,0.6744066047471622,0.7827715355805245,0.607391910739191,0.6544432918395574,0.821671826625387,0.8820224719101124,0.8158995815899581,"[323, 267, 239, 197]",0.1396957123098204,0.3884681881051176,0.2022493757970936,0.5812745846189245,0.69637289129334,0.6388237379561322
23,128,256,3,4,4,0.1,0.0001,0.001,0.540110650069156,0.7764102564102566,0.799884659746251,0.5685534591194966,0.6632088520055326,0.8809230769230769,0.8987889273356401,0.8509433962264151,"[325, 289, 265, 227]",0.1576763485477178,0.4474239280774551,0.2303663487273445,0.5953633487543918,0.6816595748238184,0.6385114617891051
23,64,256,3,4,4,0.0,0.0001,0.0001,0.5573997233748267,0.7106824925816025,0.8037825059101653,0.5647058823529412,0.6847337482710927,0.8304648862512364,0.8953900709219859,0.7986928104575163,"[337, 282, 255, 205]",0.1466113416320885,0.4071576763485476,0.2118984749690144,0.61454008056956,0.6616208899667249,0.6380804852681424
17,64,128,4,3,4,0.0,1e-05,0.001,0.4896265560165977,0.7238955823293174,0.8244047619047616,0.6253229974160206,0.6740145228215768,0.833433734939759,0.9047619047619048,0.810077519379845,"[332, 280, 258, 209]",0.1466113416320886,0.4141597510373444,0.21401088538018,0.567211686689163,0.7058101158953103,0.6365109012922366
23,64,128,4,4,2,0.0,0.0001,0.001,0.4958506224066389,0.6823232323232323,0.8389303482587065,0.6158536585365854,0.6692600276625172,0.8084848484848485,0.9039179104477612,0.8157181571815718,"[330, 268, 246, 203]",0.1452282157676349,0.3994294605809129,0.2090316322681468,0.5696506185891377,0.7018341740445327,0.6357423963168352
19,128,256,3,4,4,0.0,1e-05,0.001,0.4820193637621023,0.7356134636264932,0.7735368956743003,0.6427566807313642,0.624049100968188,0.8478827361563517,0.8902671755725191,0.830520393811533,"[307, 262, 237, 198]",0.1424619640387276,0.3955394190871369,0.2056744085789729,0.5439152461115462,0.7246736419510655,0.6342944440313059
15,64,128,3,3,4,0.0,0.0001,0.001,0.4702627939142462,0.7207931404072883,0.8241082410824108,0.6342975206611569,0.6333852005532503,0.8664523043944267,0.8785977859778598,0.8374655647382919,"[311, 271, 242, 205]",0.1459197786998617,0.4039419087136929,0.2105202888397909,0.5397690124554997,0.721858479292435,0.6308137458739673
