#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
15,128,256,3,3,4,0.0,0.0001,0.0001,0.5873015873015871,0.7695238095238093,0.8035714285714285,0.5342789598108747,0.7130779848171153,0.8702380952380954,0.902056277056277,0.8203309692671394,"[350, 308, 282, 234]",0.6441070612491602
23,128,256,3,3,4,0.1,0.0001,0.0001,0.579710144927536,0.7423371647509577,0.7867564534231201,0.5659340659340659,0.7032436162870944,0.8484195402298851,0.898989898989899,0.8168498168498168,"[348, 297, 273, 225]",0.6355294649609029
18,128,256,4,3,4,0.1,0.0001,0.0001,0.5831608005521047,0.7015732546705997,0.8017857142857142,0.5329457364341083,0.6873706004140788,0.8166175024582105,0.9029761904761904,0.7906976744186046,"[339, 280, 258, 207]",0.630992023193804
21,128,128,3,3,4,0.1,0.0001,0.0001,0.5714285714285711,0.7299516908212559,0.7647392290249432,0.5334595959595958,0.6977225672877847,0.8456521739130435,0.8809523809523809,0.7935606060606061,"[345, 294, 264, 212]",0.6282917734793753
15,128,128,3,4,2,0.0,0.0001,0.0001,0.560386473429952,0.7340930674264007,0.7850877192982458,0.6205035971223022,0.7123878536922016,0.8596866096866097,0.8980263157894737,0.8255395683453237,"[351, 304, 278, 231]",0.6273107628554349
17,128,256,4,3,2,0.1,0.0001,0.0001,0.5762594893029677,0.7502458210422811,0.761261261261261,0.5910780669144984,0.6882332643202209,0.8675024582104229,0.8893581081081081,0.8308550185873605,"[339, 296, 269, 226]",0.6272886076762282
23,128,128,3,3,2,0.1,1e-05,0.0001,0.5700483091787439,0.760932944606414,0.7800453514739227,0.5314465408805029,0.6928916494133884,0.849368318756074,0.8888888888888891,0.8018867924528302,"[343, 294, 265, 215]",0.6254956310551464
23,128,256,4,4,2,0.1,0.0001,0.0001,0.5645272601794341,0.7378875968992245,0.7678160919540228,0.5670426065162907,0.6980676328502415,0.8323643410852715,0.899425287356322,0.806390977443609,"[344, 290, 266, 217]",0.6242353907313447
26,64,256,3,3,2,0.0,1e-05,0.0001,0.5748792270531401,0.7223880597014926,0.7928240740740741,0.5635220125786162,0.6811594202898551,0.8517412935323384,0.9039351851851852,0.8207547169811321,"[335, 288, 265, 220]",0.6235228539576366
19,128,256,4,4,2,0.1,1e-05,0.0001,0.5624568668046929,0.761143410852713,0.7903954802259887,0.5467404674046739,0.6958247066942719,0.8490794573643412,0.902542372881356,0.8062730627306273,"[344, 295, 271, 220]",0.6220728215613125
