Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.0,0.0,0.0,0.09592641261498029,0.136986301369863,0.4,0.0,0.08724422752018021,0.13013698630136986,0.4,0.0,"[73, 10, 4, 0]"
123,0.002628120893561104,0.001314060446780552,0.0017520805957074025,0.09724047306176084,0.16216216216216217,0.5,0.3333333333333333,0.08930135786246168,0.14864864864864866,0.5,0.3333333333333333,"[74, 12, 6, 2]"
47899,0.0,0.0,0.0,0.10643889618922471,0.08641975308641975,0.14285714285714285,0.0,0.09437509125419768,0.08641975308641975,0.14285714285714285,0.0,"[81, 7, 1, 0]"
2025,0.0,0.0,0.0,0.08147174770039421,0.14516129032258066,0.2222222222222222,0.0,0.06924368520951965,0.14516129032258066,0.2222222222222222,0.0,"[62, 9, 2, 0]"
1,0.0,0.0,0.0,0.09592641261498029,0.0684931506849315,0.2,0.0,0.0862169659804351,0.0684931506849315,0.2,0.0,"[73, 5, 1, 0]"
20,0.0,0.0,0.0,0.10512483574244415,0.1875,0.13333333333333333,0.0,0.09321225204930857,0.1875,0.13333333333333333,0.0,"[80, 15, 2, 0]"
99,0.0,0.0,0.0,0.10249671484888305,0.19230769230769232,0.26666666666666666,0.0,0.09594831362242663,0.1858974358974359,0.26666666666666666,0.0,"[78, 15, 4, 0]"
1020,0.001314060446780552,0.00018772292096865025,0.000328515111695138,0.08935611038107753,0.20588235294117646,0.35714285714285715,0.2,0.07999864422334857,0.20588235294117646,0.35714285714285715,0.2,"[68, 14, 5, 1]"
345,0.002628120893561104,0.0017520805957074025,0.0019710906701708277,0.10249671484888305,0.1794871794871795,0.5,0.2857142857142857,0.08302254760861857,0.17307692307692307,0.5,0.2857142857142857,"[78, 14, 7, 2]"
78,0.0,0.0,0.0,0.09461235216819974,0.18055555555555555,0.23076923076923078,0.0,0.08731201635275224,0.18055555555555555,0.19230769230769232,0.0,"[72, 13, 3, 0]"
