Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.09329829172141918,0.08032194480946124,0.08391005986275368,0.4664914586070959,0.6056338028169014,0.586046511627907,0.5634920634920635,0.4360542727822622,0.5954929577464789,0.568217054263566,0.5515873015873016,"[355, 215, 126, 71]"
123,0.08935611038107753,0.08059570740254052,0.08322382829610162,0.44940867279894875,0.6023391812865497,0.5825242718446602,0.5666666666666667,0.42341321986525654,0.5957602339181286,0.5622977346278317,0.5583333333333333,"[342, 206, 120, 68]"
47899,0.1011826544021025,0.09209373631187036,0.09491896627244852,0.46386333771353483,0.6345609065155807,0.59375,0.5789473684210527,0.43118129862545096,0.6281869688385269,0.5803571428571429,0.5701754385964912,"[353, 224, 133, 77]"
2025,0.06307490144546649,0.054697766097240474,0.05723463279310848,0.4336399474375821,0.5515151515151515,0.5164835164835165,0.5106382978723404,0.40713347099680863,0.5444444444444445,0.5018315018315019,0.4946808510638298,"[330, 182, 94, 48]"
1,0.08804204993429698,0.08004818221638195,0.08243539202803328,0.4375821287779238,0.5765765765765766,0.5625,0.6203703703703703,0.40091984231274647,0.57007007007007,0.546875,0.6111111111111112,"[333, 192, 108, 67]"
20,0.09592641261498029,0.08607095926412615,0.08913710030661409,0.4730617608409987,0.5833333333333334,0.5380952380952381,0.6460176991150443,0.4469260371691383,0.5777777777777777,0.5301587301587302,0.6460176991150443,"[360, 210, 113, 73]"
99,0.09329829172141918,0.08468389545919114,0.08720981165133597,0.4612352168199737,0.5811965811965812,0.5392156862745098,0.6454545454545455,0.435013974928561,0.5719373219373219,0.5204248366013072,0.6409090909090909,"[351, 204, 110, 71]"
1020,0.09461235216819974,0.08508541392904073,0.08791064388961892,0.4612352168199737,0.6011396011396012,0.5687203791469194,0.6,0.43702678180339144,0.5914055080721747,0.5576619273301738,0.5958333333333333,"[351, 211, 120, 72]"
345,0.09329829172141918,0.08096072419331289,0.08458169075777487,0.469119579500657,0.5742296918767507,0.5756097560975609,0.6016949152542372,0.4449001939803517,0.5641923436041084,0.5601626016260163,0.5720338983050848,"[357, 205, 118, 71]"
78,0.07227332457293036,0.06636005256241786,0.06784932106876916,0.5019710906701709,0.6020942408376964,0.46956521739130436,0.5092592592592593,0.465365121081284,0.5914048865619547,0.45942028985507244,0.5092592592592593,"[382, 230, 108, 55]"
