#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
13,128,256,2,3,4,0.0,0.0001,0.001,0.3547717842323654,0.6152777777777778,0.6971428571428572,0.567146282973621,0.4767058552328261,0.7247916666666666,0.7914285714285715,0.7482014388489209,"[240, 175, 139, 104]",0.4067981597767198
21,128,128,2,3,4,0.0,1e-05,0.0001,0.3084370677731673,0.6037344398340249,0.781437125748503,0.4833333333333334,0.4877247579529737,0.6908713692946058,0.8353293413173652,0.6321428571428571,"[241, 167, 140, 89]",0.37789401441394355
14,64,64,2,3,2,0.0,0.0001,0.001,0.3167358229598894,0.6249999999999999,0.7189349112426036,0.5472636815920399,0.4632203780544029,0.7230603448275862,0.7879684418145956,0.6753731343283582,"[232, 169, 134, 91]",0.3762223762412624
25,64,256,4,3,4,0.0,1e-05,0.001,0.3153526970954358,0.6089466089466089,0.7109053497942386,0.5385572139303484,0.4628284923928077,0.696969696969697,0.8209876543209876,0.6902985074626866,"[231, 162, 134, 94]",0.3751162719948818
40,128,256,4,4,2,0.0,0.0001,0.001,0.3008298755186721,0.6131191432396252,0.6974206349206348,0.5367647058823529,0.4977985246657446,0.6708835341365462,0.7946428571428571,0.6470588235294118,"[249, 168, 136, 89]",0.37502465019774944
12,128,128,2,3,2,0.0,0.0001,0.001,0.3201936376210234,0.6644245142002989,0.6656862745098038,0.5919117647058824,0.4488704472106962,0.7535874439461884,0.7970588235294118,0.7647058823529411,"[223, 170, 136, 105]",0.3737671909212018
20,64,128,2,4,2,0.1,0.0001,0.001,0.3118948824343013,0.5911111111111111,0.703579418344519,0.4545454545454545,0.4506569847856154,0.6588888888888889,0.8120805369127517,0.5991735537190083,"[225, 149, 121, 73]",0.36865061467974874
56,64,256,4,2,2,0.1,0.0001,0.0001,0.3084370677731672,0.5920289855072464,0.7149122807017544,0.4159779614325069,0.4580336560627017,0.6545652173913044,0.7960526315789473,0.5495867768595041,"[230, 152, 121, 68]",0.36863653998519963
33,64,64,4,4,4,0.1,0.0001,0.001,0.3049792531120334,0.6167400881057269,0.7059447983014863,0.4493333333333332,0.454230059935454,0.683920704845815,0.7866242038216561,0.584,"[227, 157, 125, 73]",0.3649342599976353
16,64,64,2,2,4,0.1,1e-05,0.001,0.3091286307053942,0.5540540540540541,0.7354312354312353,0.5027777777777779,0.444202397418165,0.6338588588588588,0.8251748251748252,0.6583333333333333,"[222, 143, 120, 80]",0.36455601520081965
19,128,256,2,4,2,0.0,0.0001,0.0001,0.3029045643153528,0.556047197640118,0.7262693156732893,0.5887978142076502,0.4518095896726603,0.6575958702064897,0.8079470198675497,0.7131147540983607,"[226, 151, 122, 88]",0.36266760386070385
28,128,64,2,3,4,0.1,1e-05,0.0001,0.3049792531120332,0.5795795795795795,0.6793103448275861,0.5014880952380953,0.4444329183955739,0.6475225225225225,0.7655172413793103,0.6607142857142857,"[222, 145, 112, 75]",0.3617310331056118
10,64,64,2,4,4,0.0,1e-05,0.001,0.3035961272475796,0.6536697247706422,0.6687763713080168,0.4650537634408602,0.4393614568925773,0.7135321100917432,0.7784810126582279,0.6008064516129032,"[218, 158, 124, 75]",0.3590741641834495
25,128,128,2,3,2,0.0,0.0001,0.0001,0.3008298755186722,0.6399371069182391,0.7574786324786326,0.5000000000000001,0.4251844167819271,0.7266509433962265,0.8333333333333334,0.6793893129770993,"[212, 156, 131, 90]",0.3523571823019352
18,128,64,4,3,4,0.0,1e-05,0.001,0.2959889349930843,0.60806697108067,0.6387096774193547,0.5160818713450293,0.4352120792992162,0.7011415525114155,0.7258064516129032,0.6491228070175439,"[219, 155, 114, 75]",0.3523462285472303
40,64,64,2,3,4,0.0,0.0001,0.0001,0.2876901798063623,0.5848214285714286,0.6744966442953019,0.481651376146789,0.450956662056247,0.661033163265306,0.7214765100671141,0.5779816513761468,"[224, 149, 109, 64]",0.35127965311457987
12,128,64,2,3,4,0.2,0.0001,0.001,0.3077455048409405,0.6163366336633664,0.6690140845070423,0.5104166666666667,0.4030544029506684,0.6957920792079209,0.7863849765258216,0.6919642857142857,"[202, 142, 112, 79]",0.34901012044245394
20,128,128,4,3,4,0.0,1e-05,0.0001,0.2890733056708162,0.6400304414003044,0.6666666666666666,0.5188172043010754,0.4355578607653296,0.719406392694064,0.765625,0.6330645161290323,"[219, 160, 124, 79]",0.3475096199396991
45,64,64,2,3,2,0.0,0.0001,0.0001,0.3008298755186722,0.5634146341463415,0.678205128205128,0.4294871794871794,0.4106615952051636,0.6295121951219512,0.7884615384615384,0.5913461538461539,"[205, 130, 104, 62]",0.3472684681383068
47,64,64,2,4,4,0.0,0.0001,0.0001,0.2876901798063624,0.6154434250764526,0.653927813163482,0.5206489675516225,0.4355578607653296,0.7158256880733945,0.7133757961783439,0.6415929203539823,"[218, 157, 113, 73]",0.3465082855408892
12,64,256,2,2,4,0.0,0.0001,0.001,0.2904564315352695,0.6137440758293838,0.7033333333333334,0.5430555555555557,0.4233402489626556,0.6994470774091627,0.7973333333333333,0.6680555555555555,"[211, 150, 120, 81]",0.3445291954935141
26,128,256,4,3,4,0.0,0.0001,0.0001,0.280774550484094,0.6485671191553545,0.7208067940552016,0.5613333333333334,0.4443176579068695,0.6974251238957121,0.7847133757961784,0.728,"[221, 157, 125, 91]",0.3441026926707257
19,128,64,2,3,4,0.0,0.0001,0.0001,0.2793914246196404,0.606060606060606,0.6677704194260485,0.4926253687315634,0.440053019824804,0.6806818181818182,0.7317880794701986,0.5973451327433629,"[220, 151, 113, 68]",0.34178327754540283
