Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.021024967148488845,0.04816396554241495,0.027821674602226506,0.05387647831800266,0.13868552239117285,0.0752143170014392,0.10490582566798062,0.2724391464864527,0.14866716726112267,0.2203241349102061,0.608108108108108,0.4642184557438795,0.36893203883495146,0.31333510627203137,0.6753539253539254,0.544256120527307,0.4288025889967638,"[259, 177, 103, 46]"
123,0.0543144984669295,0.13627901883486637,0.0752592567310044,0.10731493648707834,0.2812558663412803,0.1515111695137977,0.16688567674112928,0.42273324572930354,0.23260851427737117,0.3495400788436268,0.6820448877805485,0.5928270042194094,0.437984496124031,0.4983496026531506,0.7716126350789693,0.665084388185654,0.5348837209302325,"[401, 316, 215, 121]"
47899,0.02058694699956199,0.05091984231274638,0.028496339403041113,0.048182216381953545,0.13173455978975032,0.06949502534259432,0.09023215067893137,0.2346599086415118,0.12749202177585883,0.20061322820849772,0.5528120713305898,0.4956989247311829,0.4304029304029304,0.29556973906513984,0.6286008230452675,0.5623655913978495,0.5,"[243, 155, 91, 46]"
2025,0.06132282084975916,0.1588699080157687,0.08612727614041672,0.1141042487954444,0.30297853701270255,0.16208622739503156,0.17148488830486128,0.4465615418309242,0.24274033748409568,0.36268068331143255,0.6748251748251746,0.6106060606060605,0.4765051395007341,0.5287440293682082,0.7487956487956489,0.6717171717171717,0.5859030837004405,"[429, 330, 227, 138]"
1,0.014016644765659222,0.040516863775733686,0.02067455102934735,0.030661410424879524,0.08979413053000437,0.04551029347349978,0.070521243977223,0.15163318941242726,0.09451014746678339,0.12658782303985985,0.5963718820861679,0.4419475655430712,0.43283582089552236,0.18451598773543584,0.6020408163265306,0.7528089887640449,0.47761194029850745,"[147, 89, 67, 32]"
20,0.013140604467805518,0.036027157249233464,0.0188598961266504,0.051248357424441525,0.14148050810337273,0.07416306864401476,0.08344283837056526,0.22135348226018395,0.11877124919174856,0.20981165133596155,0.46347941567065093,0.5507246376811595,0.245,0.3099587009573869,0.5360557768924303,0.6992753623188406,0.295,"[251, 138, 100, 30]"
99,0.011826544021024964,0.02956636005256242,0.01638821100056317,0.04380201489268501,0.1219886114761279,0.06360678305487767,0.08497590889180925,0.2290845378887429,0.12107313040295956,0.20805957074025436,0.5031328320802004,0.43392504930966475,0.2712765957446808,0.3300617399828964,0.6181704260651629,0.5409270216962524,0.2872340425531915,"[266, 169, 94, 27]"
1020,0.024091108190976783,0.05665060592787269,0.03191517199401562,0.05562855891371006,0.14152743883361496,0.07667684921298586,0.11060008760402962,0.294437144108629,0.15689673153536496,0.24791940429259748,0.548158640226629,0.4776234567901235,0.4116809116809117,0.43791116534217717,0.5956900040469445,0.5081790123456791,0.43732193732193736,"[353, 216, 117, 52]"
345,0.07008322382829624,0.17601109651043942,0.09713637216922365,0.12176960140166421,0.32005193667480136,0.17212959328596653,0.17827420061322763,0.4410643889618923,0.24560832655445017,0.3771353482260183,0.6814194577352475,0.6447916666666665,0.49525745257452564,0.5233558600838496,0.747408293460925,0.7393229166666666,0.6138211382113821,"[418, 320, 246, 160]"
78,0.02365308804204994,0.058968462549277276,0.03254603477993754,0.06044678055190545,0.16477379388023278,0.0868406232400976,0.10884800700832228,0.2798072711344722,0.15306405523225505,0.23127463863337716,0.624087591240876,0.5072463768115943,0.35674931129476584,0.334427340800534,0.6648418491484186,0.6331521739130436,0.44214876033057854,"[274, 184, 121, 54]"
