#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
14,64,256,2,3,2,0.1,1e-05,0.001,0.32434301521438463,0.6218236173393122,0.590625,0.48538011695906436,0.4495159059474412,0.7152466367713004,0.7052083333333333,0.5994152046783625,"[223, 160, 114, 70]"
22,64,64,4,4,2,0.1,1e-05,0.001,0.3229598893499308,0.5943683409436835,0.6417233560090703,0.48456790123456783,0.44225449515905946,0.6689497716894978,0.7278911564625851,0.6450617283950616,"[219, 147, 108, 72]"
11,64,128,4,2,4,0.2,1e-05,0.001,0.22959889349930845,0.4913419913419913,0.4819277108433735,0.3148148148148148,0.31189488243430147,0.538961038961039,0.5421686746987951,0.5333333333333333,"[154, 83, 45, 24]"
12,128,128,2,3,4,0.1,0.0001,0.001,0.3326417704011065,0.5358255451713395,0.6165501165501166,0.45032051282051283,0.4284232365145228,0.6682242990654206,0.7202797202797203,0.592948717948718,"[214, 143, 104, 63]"
14,128,64,2,2,2,0.1,1e-05,0.001,0.3547717842323652,0.5644257703081234,0.7119205298013244,0.4813333333333334,0.4801175656984786,0.6323529411764706,0.8167770419426048,0.6506666666666666,"[238, 151, 125, 83]"
19,128,256,4,2,2,0.1,0.0001,0.001,0.14868603042876902,0.45454545454545453,0.22916666666666666,0.4117647058823529,0.15352697095435686,0.6233766233766234,0.34375,0.4117647058823529,"[77, 48, 17, 7]"
35,64,128,4,2,2,0.2,0.0001,0.001,0.21300138312586445,0.46614583333333326,0.345679012345679,0.35294117647058826,0.258298755186722,0.6328125,0.41975308641975306,0.38235294117647056,"[128, 81, 34, 13]"
24,64,256,4,3,2,0.1,0.0001,0.0001,0.2026279391424619,0.5435729847494554,0.6145833333333334,0.3055555555555556,0.30809128630705396,0.6274509803921569,0.7447916666666666,0.3611111111111111,"[153, 96, 72, 26]"
10,64,128,2,3,2,0.0,1e-05,0.001,0.26002766251728926,0.5663349917081262,0.6456692913385826,0.4432624113475177,0.40352697095435686,0.6318407960199005,0.7230971128608924,0.5673758865248226,"[201, 127, 94, 54]"
8,128,64,2,2,4,0.1,1e-05,0.001,0.3326417704011066,0.5862831858407083,0.717439293598234,0.4715447154471546,0.45435684647302904,0.6670353982300885,0.8057395143487859,0.6639566395663956,"[226, 151, 123, 83]"
38,128,128,4,4,2,0.1,1e-05,0.001,0.25103734439834025,0.4930139720558882,0.6039755351681957,0.46990740740740744,0.33298755186721996,0.6497005988023952,0.6529051987767583,0.5949074074074073,"[167, 109, 72, 44]"
29,64,64,2,4,2,0.1,0.0001,0.0001,0.15560165975103746,0.5825958702064896,0.5281385281385281,0.3431372549019608,0.22717842323651452,0.6814159292035398,0.6623376623376623,0.4117647058823529,"[113, 77, 51, 21]"
16,64,128,2,2,4,0.2,0.0001,0.001,0.2890733056708159,0.5972222222222223,0.6992481203007521,0.38785046728971956,0.4068118948824343,0.6495098039215687,0.7957393483709274,0.5404984423676013,"[204, 133, 107, 59]"
