Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.20249221183800623,0.15974818276220143,0.17189338871581866,0.4236760124610592,0.7867647058823529,0.8457943925233645,0.7182320441988951,0.38149446175147095,0.7729779411764706,0.7901090342679128,0.6795580110497238,"[272, 214, 181, 130]"
123,0.22274143302180685,0.17140817386144488,0.18441378628294522,0.4953271028037383,0.7641509433962265,0.8436213991769548,0.697560975609756,0.4469014241210503,0.740356394129979,0.7873799725651579,0.6902439024390243,"[318, 243, 205, 143]"
47899,0.2367601246105919,0.18718847352024923,0.20035355783019343,0.46105919003115264,0.7601351351351351,0.88,0.7676767676767676,0.4182892004153685,0.7389076576576578,0.8191851851851851,0.7365319865319865,"[296, 225, 198, 152]"
2025,0.29750778816199375,0.23355585224744105,0.2513833259160361,0.5155763239875389,0.7643504531722054,0.8814229249011858,0.8565022421524664,0.47213877762943174,0.7414400805639477,0.840250329380764,0.8172645739910314,"[331, 253, 223, 191]"
1,0.24143302180685358,0.19129394748553624,0.2046630074667459,0.46261682242990654,0.7171717171717171,0.8873239436619719,0.8201058201058201,0.427943430747169,0.6958072791406126,0.8356807511737088,0.7751322751322752,"[297, 213, 189, 155]"
20,0.2632398753894081,0.21020249221183798,0.2245660881174901,0.4672897196261682,0.7866666666666666,0.8347457627118644,0.8578680203045685,0.41979429362606935,0.7744444444444445,0.7907485875706214,0.8307952622673436,"[300, 236, 197, 169]"
99,0.2336448598130841,0.18228193146417446,0.19654106710181493,0.4672897196261682,0.7433333333333333,0.8789237668161435,0.7653061224489796,0.4227877911289126,0.73,0.8243647234678624,0.7363945578231291,"[300, 223, 196, 150]"
1020,0.26947040498442365,0.21360950403006476,0.22779879345299914,0.48909657320872274,0.7961783439490446,0.896,0.7723214285714286,0.4423620382732533,0.7751769285208776,0.8393333333333334,0.7496279761904763,"[314, 250, 224, 173]"
345,0.2757009345794392,0.2267004153686397,0.24012510507837614,0.4797507788161994,0.7987012987012987,0.9105691056910569,0.7901785714285714,0.44404205607476643,0.7808441558441559,0.8661924119241191,0.7652529761904762,"[308, 246, 224, 177]"
78,0.278816199376947,0.22167241507194785,0.2363660625205431,0.5093457943925234,0.7981651376146789,0.8467432950191571,0.8099547511312217,0.45578633464147483,0.7823794961409639,0.7941890166028098,0.788838612368024,"[327, 261, 221, 179]"
