#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
52,32,64,4,2,128,128,0.2,0.0001,0.001,0.38354978354978325,0.6176935229067931,0.8823529411764706,0.6405895691609976,0.5128354978354979,0.721958925750395,0.9275599128540304,0.768140589569161,"[211, 153, 147, 119]"
28,32,128,3,3,128,128,0.0,1e-05,0.001,0.3627705627705626,0.5833333333333334,0.8149509803921569,0.6598360655737704,0.4704978354978355,0.6819727891156464,0.877450980392157,0.8013661202185792,"[196, 136, 122, 102]"
55,128,64,3,2,128,64,0.1,0.0001,0.001,0.35584415584415563,0.6145299145299145,0.8356643356643357,0.6064102564102563,0.471969696969697,0.7183760683760684,0.8741258741258741,0.7443589743589744,"[195, 143, 130, 100]"
45,128,64,3,3,64,64,0.1,1e-05,0.001,0.3108225108225109,0.6489361702127658,0.8157894736842106,0.5925925925925927,0.4541991341991342,0.697695035460993,0.8502506265664161,0.7448717948717948,"[188, 133, 117, 91]"
80,128,64,2,3,128,64,0.0,0.0001,0.001,0.34805194805194783,0.5735815602836879,0.8110236220472442,0.5745614035087719,0.4558225108225109,0.6595744680851063,0.8628608923884515,0.7011695906432749,"[188, 127, 114, 82]"
36,32,64,4,2,64,128,0.0,0.0001,0.001,0.34805194805194806,0.6237623762376239,0.8538812785388127,0.6287878787878787,0.4901948051948052,0.7083333333333334,0.8789954337899544,0.7810606060606061,"[202, 146, 132, 106]"
46,64,64,4,3,128,128,0.0,0.0001,0.001,0.2796536796536796,0.5225806451612904,0.7096219931271477,0.47619047619047616,0.36534632034632036,0.6150537634408602,0.7646048109965635,0.5822510822510822,"[155, 97, 77, 48]"
57,32,128,2,3,64,128,0.0,0.0001,0.001,0.342857142857143,0.5760517799352751,0.808823529411765,0.60840108401084,0.4923160173160174,0.6521035598705502,0.869485294117647,0.7154471544715447,"[206, 136, 123, 92]"
52,32,128,4,3,128,64,0.2,1e-05,0.001,0.3038961038961038,0.6142131979695432,0.8236009732360097,0.6598915989159893,0.47350649350649354,0.6738578680203046,0.8637469586374696,0.7154471544715447,"[197, 137, 123, 94]"
29,128,64,3,3,128,64,0.0,1e-05,0.001,0.31082251082251083,0.5977312390924957,0.79328165374677,0.672566371681416,0.4566666666666667,0.662303664921466,0.8326873385012921,0.7772861356932155,"[191, 129, 113, 92]"
47,128,64,4,3,128,128,0.0,0.0001,0.001,0.3307359307359308,0.6155202821869488,0.8420398009950246,0.619241192411924,0.45417748917748924,0.7045855379188714,0.8706467661691543,0.7466124661246614,"[189, 134, 123, 96]"
52,64,128,4,2,64,64,0.2,0.0001,0.001,0.23290043290043277,0.5330882352941176,0.6899224806201552,0.5870646766169154,0.3201082251082251,0.6213235294117646,0.7403100775193798,0.6432835820895523,"[136, 86, 67, 47]"
57,128,64,2,3,64,128,0.2,0.0001,0.001,0.31774891774891784,0.57078853046595,0.7741935483870968,0.618380062305296,0.45071428571428573,0.660394265232975,0.8313172043010753,0.6876947040498442,"[186, 124, 107, 78]"
34,128,128,4,2,128,128,0.2,0.0001,0.001,0.3956709956709956,0.6720183486238533,0.8594961240310078,0.6917670682730922,0.5354112554112554,0.7782874617737003,0.9302325581395349,0.8102409638554217,"[218, 172, 166, 138]"
28,64,64,3,3,128,64,0.0,1e-05,0.001,0.21818181818181828,0.6428571428571429,0.7327327327327329,0.5465116279069767,0.38242424242424244,0.6801242236024845,0.734984984984985,0.6356589147286822,"[161, 111, 86, 58]"
59,32,128,2,2,128,64,0.2,0.0001,0.001,0.3861471861471861,0.6064356435643564,0.84,0.6229314420803782,0.48686147186147183,0.7318481848184819,0.9105555555555555,0.7239952718676123,"[202, 150, 141, 109]"
45,32,64,4,3,128,64,0.2,1e-05,0.001,0.17316017316017335,0.4385342789598109,0.753968253968254,0.66,0.33515151515151514,0.4408983451536643,0.7592592592592593,0.71,"[141, 63, 50, 39]"
59,128,128,2,3,64,64,0.1,0.0001,0.001,0.2926406926406926,0.6357677902621723,0.7994579945799459,0.5864197530864198,0.42679653679653684,0.6797752808988764,0.8495934959349594,0.715895061728395,"[178, 123, 108, 82]"
22,128,64,4,2,128,128,0.1,1e-05,0.001,0.4432900432900432,0.6723163841807906,0.8581560283687942,0.6428571428571428,0.5696320346320348,0.7923728813559322,0.9078014184397164,0.811047619047619,"[236, 188, 175, 147]"
48,64,64,3,3,128,128,0.0,0.0001,0.001,0.30909090909090914,0.516949152542373,0.7981651376146788,0.5572916666666666,0.4280735930735931,0.5998116760828626,0.8142201834862385,0.7118055555555557,"[177, 109, 96, 71]"
32,128,64,4,3,128,128,0.1,1e-05,0.001,0.4017316017316017,0.627887788778878,0.8179824561403509,0.5954106280193237,0.4888095238095238,0.7433993399339933,0.8865131578947368,0.7471014492753624,"[202, 152, 138, 108]"
26,32,64,4,2,64,128,0.0,1e-05,0.001,0.387878787878788,0.5984848484848483,0.8385744234800839,0.6247165532879817,0.5324242424242425,0.7106060606060607,0.8857442348008386,0.7312925170068029,"[220, 159, 147, 111]"
90,32,128,3,3,64,64,0.1,0.0001,0.001,0.28398268398268395,0.4928315412186381,0.7897897897897899,0.6168384879725086,0.44532467532467535,0.5842293906810037,0.8288288288288288,0.627147766323024,"[186, 111, 97, 66]"
57,64,128,4,3,128,128,0.1,0.0001,0.001,0.31255411255411253,0.5605263157894737,0.8456284153005466,0.6590909090909091,0.45558441558441565,0.6337719298245614,0.8688524590163934,0.7666666666666666,"[190, 122, 110, 89]"
25,64,128,4,3,128,128,0.0,1e-05,0.001,0.3116883116883118,0.6205128205128206,0.8506172839506172,0.627371273712737,0.47075757575757576,0.6811965811965812,0.8814814814814815,0.7127371273712737,"[195, 135, 123, 92]"
29,64,64,3,2,128,64,0.1,1e-05,0.001,0.406060606060606,0.6207951070336392,0.8260869565217391,0.6296296296296294,0.526991341991342,0.7324159021406729,0.8675983436853002,0.8027777777777778,"[218, 161, 144, 120]"
44,64,64,4,2,64,64,0.0,0.0001,0.001,0.36103896103896116,0.6181972789115648,0.7834467120181408,0.5787401574803148,0.4724025974025974,0.745748299319728,0.8367346938775511,0.7375328083989502,"[196, 147, 127, 98]"
45,64,64,2,2,128,128,0.2,0.0001,0.001,0.3731601731601731,0.6393939393939394,0.866869918699187,0.6545253863134656,0.5397619047619047,0.7363636363636362,0.8954268292682926,0.772075055187638,"[220, 164, 151, 121]"
25,32,64,3,2,128,128,0.2,1e-05,0.001,0.41904761904761895,0.6496296296296299,0.8509803921568627,0.6486199575371548,0.5533982683982684,0.745925925925926,0.9088235294117647,0.7941613588110403,"[225, 170, 157, 129]"
40,32,128,3,2,128,128,0.2,0.0001,0.001,0.33593073593073597,0.5888888888888888,0.803030303030303,0.6339031339031338,0.46404761904761904,0.6735042735042734,0.8667929292929293,0.7578347578347577,"[195, 132, 117, 94]"
40,32,128,2,3,64,64,0.1,1e-05,0.001,0.23116883116883122,0.6049382716049383,0.8364779874213836,0.557347670250896,0.3780952380952381,0.6450617283950617,0.8349056603773585,0.6379928315412186,"[162, 106, 93, 64]"
47,128,64,3,3,64,128,0.1,0.0001,0.001,0.323809523809524,0.5811965811965812,0.7883597883597884,0.5489296636085628,0.4695670995670996,0.6393162393162394,0.837962962962963,0.6451070336391437,"[195, 126, 109, 75]"
80,64,128,2,3,128,64,0.1,0.0001,0.001,0.2701298701298701,0.5761648745519714,0.8746438746438746,0.6090342679127725,0.4438961038961039,0.6218637992831542,0.8753561253561254,0.713239875389408,"[186, 117, 107, 80]"
56,64,64,3,3,128,128,0.2,0.0001,0.001,0.22337662337662337,0.3717026378896882,0.7545454545454545,0.5181159420289856,0.3215584415584416,0.3908872901678657,0.7984848484848486,0.5326086956521738,"[139, 55, 46, 28]"
29,64,64,3,3,128,128,0.0,1e-05,0.001,0.4095238095238096,0.6433021806853582,0.8496932515337422,0.6041666666666666,0.5221212121212121,0.7468847352024921,0.9054192229038855,0.7506578947368421,"[214, 163, 152, 119]"
31,128,128,2,2,128,64,0.1,1e-05,0.001,0.38874458874458856,0.5860215053763441,0.8582251082251083,0.6386946386946386,0.5254761904761905,0.7019969278033794,0.898809523809524,0.7885780885780885,"[217, 154, 143, 116]"
36,64,128,4,3,64,64,0.1,1e-05,0.001,0.213852813852814,0.5811111111111111,0.8044217687074829,0.6190476190476191,0.3590909090909092,0.6344444444444444,0.8163265306122449,0.6865079365079365,"[150, 98, 84, 59]"
49,32,128,2,3,64,128,0.1,0.0001,0.001,0.28571428571428575,0.5636200716845878,0.8005952380952381,0.6307189542483661,0.43945887445887444,0.5958781362007168,0.8839285714285714,0.7313725490196078,"[186, 112, 102, 80]"
47,128,128,3,3,64,128,0.2,0.0001,0.001,0.3688311688311689,0.5945736434108528,0.8211111111111109,0.612781954887218,0.5202813852813853,0.6868217054263566,0.86,0.7224310776942356,"[215, 150, 133, 103]"
51,64,128,4,3,64,64,0.2,1e-05,0.001,0.3004329004329005,0.5806159420289854,0.8111111111111111,0.5857142857142857,0.44558441558441564,0.6385869565217392,0.8479166666666667,0.7333333333333333,"[184, 120, 105, 78]"
40,32,128,4,3,128,64,0.0,1e-05,0.001,0.30389610389610383,0.6254385964912282,0.8224637681159419,0.6841397849462365,0.45774891774891774,0.7131578947368421,0.875,0.7681451612903226,"[190, 138, 124, 97]"
45,64,128,4,3,128,64,0.2,1e-05,0.001,0.28138528138528135,0.6137254901960784,0.7847222222222222,0.5801886792452831,0.4043722943722944,0.6970588235294117,0.8444444444444446,0.6839622641509434,"[170, 120, 106, 75]"
36,32,64,4,3,64,128,0.1,1e-05,0.001,0.35411255411255416,0.588888888888889,0.7953020134228188,0.6550387596899225,0.507987012987013,0.6944444444444445,0.8288590604026845,0.748062015503876,"[210, 149, 129, 99]"
26,128,128,2,2,64,64,0.0,1e-05,0.001,0.32554112554112546,0.6215277777777778,0.8112745098039216,0.5975609756097561,0.459025974025974,0.6987847222222223,0.8596813725490197,0.6929539295392952,"[192, 136, 123, 90]"
47,64,128,4,2,64,64,0.0,0.0001,0.001,0.3575757575757575,0.6283333333333334,0.8389261744966443,0.5717761557177615,0.4802380952380952,0.7358333333333335,0.8998881431767338,0.7026763990267639,"[200, 149, 137, 102]"
43,32,128,2,2,128,128,0.2,0.0001,0.001,0.36017316017316015,0.6623931623931625,0.8166666666666667,0.6268656716417911,0.4797402597402597,0.7529914529914531,0.8688888888888889,0.7482587064676617,"[195, 150, 134, 105]"
29,64,64,2,2,64,128,0.2,1e-05,0.001,0.3601731601731601,0.6274038461538463,0.8490990990990993,0.6642512077294686,0.5086363636363637,0.7011217948717948,0.9115990990990992,0.7807971014492754,"[208, 148, 138, 114]"
27,128,64,4,3,64,128,0.1,1e-05,0.001,0.31168831168831185,0.5869175627240144,0.8203125000000001,0.6014492753623188,0.44560606060606067,0.6720430107526881,0.8697916666666667,0.6820289855072464,"[186, 128, 115, 81]"
