Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 2
Decoder hidden units: 64
Decoder layers: 2
Dropout: 0.1
Trainable parameters: 236,514

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.4468 |     87.069 |   3.2582 |     77.214 |     0.0
    2 |   2.8598 |     78.197 |   2.5899 |     67.343 |     0.0
    3 |   2.4368 |     62.865 |   2.3151 |     59.317 |     0.0
    4 |   2.2340 |     58.284 |   2.1647 |     56.827 |     0.1
    5 |   2.1040 |     56.674 |   2.0501 |     56.704 |     0.1
    6 |   1.9964 |     55.164 |   1.9529 |     52.921 |     0.1
    7 |   1.9028 |     50.824 |   1.8635 |     49.108 |     0.1
    8 |   1.8186 |     48.610 |   1.7876 |     49.077 |     0.1
    9 |   1.7457 |     48.374 |   1.7224 |     49.077 |     0.1
   10 |   1.6817 |     48.325 |   1.6631 |     48.985 |     0.1
   11 |   1.6254 |     48.253 |   1.6112 |     48.954 |     0.1
   12 |   1.5770 |     47.100 |   1.5705 |     46.863 |     0.2
   13 |   1.5386 |     45.787 |   1.5368 |     46.894 |     0.2
   14 |   1.5055 |     45.770 |   1.5090 |     46.833 |     0.2
   15 |   1.4789 |     45.688 |   1.4845 |     46.863 |     0.2
   16 |   1.4551 |     45.517 |   1.4629 |     46.279 |     0.2
   17 |   1.4342 |     45.539 |   1.4440 |     46.310 |     0.2
   18 |   1.4161 |     45.517 |   1.4285 |     46.494 |     0.2
   19 |   1.4003 |     45.045 |   1.4130 |     46.279 |     0.2
   20 |   1.3847 |     44.891 |   1.4013 |     46.095 |     0.3
   21 |   1.3712 |     44.770 |   1.3897 |     45.387 |     0.3
   22 |   1.3568 |     44.216 |   1.3791 |     45.418 |     0.3
   23 |   1.3456 |     43.968 |   1.3690 |     45.141 |     0.3
   24 |   1.3342 |     43.754 |   1.3594 |     44.803 |     0.3
   25 |   1.3231 |     43.419 |   1.3514 |     44.373 |     0.3
   26 |   1.3124 |     43.095 |   1.3417 |     44.034 |     0.3
   27 |   1.3033 |     42.974 |   1.3358 |     44.127 |     0.3
   28 |   1.2943 |     42.342 |   1.3294 |     43.819 |     0.4
   29 |   1.2869 |     42.183 |   1.3247 |     43.788 |     0.4
   30 |   1.2768 |     41.606 |   1.3167 |     42.897 |     0.4
   31 |   1.2679 |     40.826 |   1.3122 |     42.835 |     0.4
   32 |   1.2601 |     40.661 |   1.3056 |     41.820 |     0.4
   33 |   1.2529 |     40.249 |   1.2977 |     41.882 |     0.4
   34 |   1.2458 |     39.931 |   1.2917 |     41.175 |     0.4
   35 |   1.2380 |     39.750 |   1.2886 |     41.113 |     0.4
   36 |   1.2307 |     39.420 |   1.2813 |     40.990 |     0.5
   37 |   1.2225 |     39.145 |   1.2759 |     41.021 |     0.5
   38 |   1.2148 |     38.695 |   1.2708 |     40.498 |     0.5
   39 |   1.2067 |     38.640 |   1.2669 |     40.621 |     0.5
   40 |   1.1997 |     38.184 |   1.2579 |     40.437 |     0.5
   41 |   1.1932 |     38.113 |   1.2580 |     40.221 |     0.5
   42 |   1.1867 |     37.970 |   1.2508 |     39.975 |     0.5
   43 |   1.1791 |     37.717 |   1.2446 |     40.437 |     0.5
   44 |   1.1711 |     37.376 |   1.2402 |     40.129 |     0.6
   45 |   1.1634 |     37.239 |   1.2395 |     39.914 |     0.6
   46 |   1.1567 |     37.080 |   1.2299 |     39.668 |     0.6
   47 |   1.1500 |     36.887 |   1.2254 |     39.483 |     0.6
   48 |   1.1434 |     36.767 |   1.2210 |     39.699 |     0.6
   49 |   1.1333 |     36.316 |   1.2149 |     39.053 |     0.6
   50 |   1.1285 |     36.421 |   1.2083 |     38.930 |     0.6
   51 |   1.1213 |     36.091 |   1.2047 |     39.606 |     0.7
   52 |   1.1163 |     35.871 |   1.2012 |     39.576 |     0.7
   53 |   1.1068 |     35.833 |   1.1975 |     39.330 |     0.7
   54 |   1.1001 |     35.673 |   1.1903 |     39.545 |     0.7
   55 |   1.0938 |     35.124 |   1.1913 |     39.145 |     0.7
   56 |   1.0884 |     35.377 |   1.1911 |     39.606 |     0.7
   57 |   1.0804 |     34.871 |   1.1765 |     39.084 |     0.7
   58 |   1.0715 |     34.328 |   1.1764 |     38.715 |     0.7
   59 |   1.0665 |     34.377 |   1.1683 |     38.438 |     0.8
   60 |   1.0595 |     34.179 |   1.1650 |     38.469 |     0.8
   61 |   1.0540 |     33.833 |   1.1637 |     38.530 |     0.8
   62 |   1.0461 |     33.652 |   1.1591 |     37.761 |     0.8
   63 |   1.0404 |     33.443 |   1.1522 |     37.915 |     0.8
