#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
122,128,64,2,2,32,64,0.1,0.0001,0.0001,0.42510822510822516,0.6933621933621933,0.7162921348314606,0.5844444444444444,0.5548113790970934,0.7537518037518036,0.7938202247191012,0.7044444444444444,"[231, 178, 150, 110]",0.10216450216450215,0.23586889301175015,0.13644815501958352
92,64,128,2,3,128,64,0.1,0.0001,0.0001,0.24848484848484834,0.6373056994818653,0.7025641025641025,0.5462046204620462,0.4645330859616573,0.6595854922279792,0.7371794871794871,0.5693069306930693,"[193, 130, 101, 60]",0.05454545454545454,0.1262152133580705,0.07274582560296845
62,128,64,4,3,128,128,0.1,0.0001,0.0001,0.35151515151515145,0.7001522070015221,0.7580321285140562,0.5856164383561643,0.5285590599876314,0.7400304414003044,0.8263052208835341,0.6655251141552512,"[219, 166, 146, 101]",0.09004329004328998,0.21543599257884977,0.1221191506905792
96,64,64,4,4,128,64,0.1,1e-05,0.0001,0.3471861471861471,0.3984375,0.5177993527508089,0.390625,0.4619356833642547,0.53125,0.6116504854368932,0.390625,"[192, 103, 64, 27]",0.02337662337662337,0.058379715522572664,0.03229437229437229
83,128,64,3,2,32,128,0.1,0.0001,0.0001,0.4415584415584415,0.7416666666666667,0.7803030303030303,0.6101851851851852,0.5842486085343229,0.8131944444444444,0.8628787878787877,0.7694444444444445,"[240, 198, 180, 143]",0.13939393939393957,0.31134817563388995,0.18340754483611618
100,64,64,2,4,128,64,0.2,1e-05,0.0001,0.17748917748917756,0.5231481481481483,0.4807692307692308,0.3875,0.3495547309833024,0.5277777777777778,0.5128205128205128,0.45833333333333337,"[144, 78, 40, 19]",0.016450216450216444,0.044094001236858374,0.023203463203463205
137,64,128,3,3,128,64,0.2,1e-05,0.0001,0.3567099567099566,0.6859799713876967,0.6764132553606237,0.5217948717948717,0.560321583178726,0.7227467811158798,0.7168615984405458,0.6461538461538462,"[233, 171, 130, 87]",0.0787878787878787,0.18786023500309218,0.10693259121830546
90,128,128,2,3,64,128,0.1,1e-05,0.0001,0.34112554112554105,0.7270642201834864,0.7869822485207101,0.620309050772627,0.5283549783549784,0.7603419516263553,0.8385601577909271,0.7295805739514348,"[218, 169, 151, 113]",0.10562770562770563,0.24606679035250467,0.14089878375592657
58,64,128,3,4,128,64,0.2,0.0001,0.001,0.41904761904761884,0.6228070175438596,0.6666666666666669,0.43243243243243257,0.5035497835497835,0.6702551834130781,0.7311032863849765,0.6336336336336337,"[209, 142, 111, 75]",0.07012987012987004,0.15450216450216453,0.09225726654298079
103,64,64,4,4,64,128,0.2,1e-05,0.0001,0.29264069264069237,0.6504273504273504,0.6393034825870646,0.57,0.4670748299319728,0.6746153846153847,0.6970149253731343,0.6383333333333333,"[195, 134, 100, 68]",0.05887445887445884,0.14097711811997532,0.0794227994227994
