#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
26,64,256,3,3,4,0.0,1e-05,0.0001,0.5108225108225107,0.7348484848484844,0.8103448275862065,0.5603603603603601,0.590952380952381,0.8298898071625345,0.885878489326765,0.8063963963963964,"[242, 203, 185, 157]",0.15151515151515182,0.34690476190476194,0.20148854031970917
18,64,256,4,3,2,0.1,0.0001,0.001,0.5307359307359306,0.7037760416666665,0.8276699029126213,0.5529100529100527,0.62504329004329,0.8001302083333334,0.8944174757281552,0.7654320987654322,"[256, 206, 189, 152]",0.15670995670995697,0.3476839826839827,0.2055846029872004
19,128,256,4,4,2,0.0,1e-05,0.001,0.4658008658008658,0.7079831932773111,0.8754295532646046,0.5138121546961325,0.5862987012987013,0.8091736694677871,0.900343642611684,0.70902394106814,"[238, 194, 181, 133]",0.14285714285714304,0.3085930735930736,0.18534753846442156
17,64,128,4,4,4,0.1,0.0001,0.001,0.48051948051948046,0.6843971631205673,0.8624338624338624,0.5425925925925923,0.5722510822510822,0.7985815602836879,0.9263668430335098,0.7435185185185185,"[235, 189, 180, 138]",0.1437229437229439,0.3201948051948052,0.1886520117688948
15,64,128,3,4,2,0.0,1e-05,0.001,0.4796536796536795,0.7438524590163933,0.8621495327102806,0.6419141914191419,0.5991774891774891,0.869535519125683,0.9147196261682243,0.7995049504950495,"[244, 214, 202, 166]",0.1679653679653682,0.3837012987012988,0.22322014205131083
15,128,256,4,3,2,0.0,1e-05,0.001,0.46493506493506515,0.6536885245901637,0.868371212121212,0.5277777777777778,0.5976190476190477,0.7127732240437159,0.8887310606060607,0.7454732510288066,"[244, 176, 162, 126]",0.1333333333333335,0.28220779220779224,0.1720758606472891
19,128,256,4,3,4,0.0,1e-05,0.0001,0.5333333333333335,0.7110682110682109,0.8349056603773585,0.5867346938775508,0.6419264069264069,0.8114543114543115,0.8997641509433963,0.8200680272108842,"[259, 212, 196, 168]",0.1705627705627708,0.3830519480519481,0.2253351698806244
24,64,256,4,4,2,0.1,1e-05,0.0001,0.48658008658008667,0.7390350877192978,0.8134715025906736,0.47988505747126414,0.5533333333333333,0.8373538011695906,0.8678756476683938,0.7159961685823755,"[228, 193, 174, 133]",0.1281385281385283,0.2904112554112554,0.16965180562583151
21,64,256,4,4,2,0.1,1e-05,0.001,0.5142857142857142,0.7252252252252251,0.8523809523809524,0.5648148148148145,0.6435714285714286,0.7972972972972971,0.9142857142857143,0.762962962962963,"[259, 210, 198, 158]",0.1645021645021648,0.36283549783549784,0.21561552444669324
18,64,128,4,3,2,0.1,1e-05,0.001,0.503896103896104,0.6733067729083663,0.8133680555555554,0.4689265536723163,0.6209523809523809,0.7539840637450199,0.884548611111111,0.6694915254237289,"[251, 192, 177, 124]",0.12554112554112565,0.2786580086580087,0.16520923520923508
24,64,256,4,3,4,0.1,1e-05,0.0001,0.4995670995670995,0.6980994152046783,0.819672131147541,0.4537037037037039,0.5595887445887445,0.7920321637426899,0.855191256830601,0.7313786008230454,"[228, 183, 162, 129]",0.12207792207792224,0.2799350649350649,0.1622038567493112
20,64,128,4,3,4,0.1,1e-05,0.001,0.47792207792207797,0.7291666666666666,0.8578680203045684,0.5668498168498166,0.5854329004329004,0.8121527777777778,0.9086294416243654,0.8128205128205128,"[240, 197, 182, 154]",0.1584415584415587,0.3532034632034632,0.20878581735724586
