#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
16,128,256,3,4,4,0.0,0.0001,0.0001,0.5593073593073592,0.7614622057001239,0.8107344632768364,0.65519877675841,0.6570088641517212,0.8544299876084261,0.8847861178369653,0.8723241590214067,"[269, 236, 218, 195]",0.1887445887445887,0.4370047412904555,0.2522057307771594,0.6042341387261603,0.7483301344157616,0.6762821365709609
15,128,256,3,4,2,0.0,1e-05,0.0001,0.5186147186147186,0.7256809338521398,0.8296130952380951,0.6829268292682927,0.6331869717584002,0.8465953307392996,0.8901466836734694,0.8536585365853657,"[257, 224, 205, 182]",0.1835497835497837,0.4069428983714697,0.2410307153164295,0.5702024678963822,0.7588075880758807,0.6645050279861314
17,64,128,3,3,4,0.0,1e-05,0.001,0.4909090909090908,0.7255266418835191,0.8579710144927537,0.6813953488372092,0.6689259946402805,0.8302044609665427,0.9056935817805384,0.8205426356589147,"[269, 230, 215, 182]",0.1852813852813855,0.4161822304679448,0.2444629973201401,0.56625611003788,0.744523330832708,0.6553897204352941
25,128,256,3,3,2,0.1,0.0001,0.001,0.5264069264069263,0.7556818181818178,0.8435672514619882,0.6449612403100772,0.6514862914862914,0.8437184343434344,0.9157268170426064,0.825968992248062,"[264, 228, 215, 183]",0.1878787878787879,0.4181220366934653,0.2461574933003504,0.5823055792968078,0.7243280121743214,0.6533167957355646
15,128,128,4,4,2,0.0,1e-05,0.0001,0.5636363636363633,0.7337092731829575,0.7916666666666663,0.6065705128205127,0.6530632859204288,0.843765664160401,0.8800125313283208,0.8100961538461539,"[266, 228, 208, 175]",0.1757575757575759,0.3966151309008452,0.2326324469181611,0.6050634038313228,0.6937135616080751,0.649388482719699
24,64,256,3,4,4,0.0,0.0001,0.0001,0.5142857142857142,0.7396640826873385,0.7944693572496264,0.6542288557213929,0.6282395382395384,0.8462855297157623,0.8673926969891094,0.8258706467661692,"[258, 223, 201, 172]",0.1705627705627708,0.3847639661925376,0.2245619459905174,0.5655798310837021,0.7300974120991679,0.647838621591435
15,64,256,3,3,4,0.0,0.0001,0.001,0.5012987012987011,0.7531806615776078,0.8275109170305678,0.6729264475743348,0.645153576582148,0.8561386768447837,0.8947286338116031,0.7985133020344287,"[262, 229, 213, 179]",0.1800865800865803,0.4036239950525664,0.2374933003504431,0.5642008068171076,0.7303604783298151,0.6472806425734614
18,64,128,3,3,2,0.0,1e-05,0.001,0.4878787878787878,0.765359477124183,0.8422222222222222,0.6666666666666666,0.6275963718820862,0.8605555555555555,0.906349206349206,0.8417065390749601,"[255, 225, 209, 184]",0.1839826839826841,0.4178272521129664,0.2437146980004123,0.5489874956186308,0.7440303110406203,0.6465089033296256
21,128,256,4,3,2,0.1,0.0001,0.0001,0.561038961038961,0.7692307692307693,0.7953869047619044,0.6053459119496855,0.6333230261801691,0.8479807692307691,0.9154443027210885,0.8219339622641509,"[260, 224, 212, 181]",0.1809523809523811,0.4013584827870543,0.236749123891981,0.594993639135272,0.6972064455449146,0.6461000423400933
21,128,128,4,3,4,0.1,1e-05,0.0001,0.5506493506493507,0.7401574803149605,0.758998435054773,0.6197916666666665,0.6214182642754071,0.8214238845144356,0.8739660183322154,0.8233506944444443,"[254, 213, 192, 165]",0.1662337662337664,0.3747680890538034,0.218476602762317,0.5838973099292849,0.7072149122807017,0.6455561111049932
21,128,128,4,4,4,0.0,0.0001,0.001,0.5108225108225111,0.7245283018867923,0.8117559523809524,0.6578099838969403,0.6409173366316224,0.8339308176100628,0.8901466836734694,0.7999194847020934,"[265, 224, 207, 172]",0.16969696969697,0.3849412492269635,0.2250072150072149,0.5685224903028806,0.7219378282260261,0.6452301592644534
14,64,128,3,4,4,0.0,1e-05,0.001,0.4779220779220778,0.750334672021419,0.8098591549295775,0.6884422110552764,0.6042939600082459,0.8442771084337349,0.9016879052090316,0.8350083752093802,"[249, 213, 199, 173]",0.1679653679653682,0.3876973819830963,0.2246237889095031,0.5337297081555468,0.7546749691282139,0.6442023386418803
26,128,128,3,4,2,0.1,1e-05,0.0001,0.5601731601731601,0.7551679586563307,0.810077519379845,0.5846023688663279,0.6313069470212328,0.8210917312661499,0.8830011074197118,0.8451776649746193,"[258, 215, 197, 175]",0.1714285714285716,0.3874623788909503,0.2268604411461554,0.5936166376875252,0.6911452857958127,0.6423809617416689
19,64,128,4,3,4,0.0,0.0001,0.001,0.4987012987012984,0.7366412213740459,0.8059259259259259,0.6570048309178741,0.6461183261183261,0.8495229007633588,0.8898941798941797,0.7922705314009661,"[262, 225, 207, 171]",0.1740259740259742,0.3895547309833024,0.2296392496392495,0.5629184569589932,0.7183252818035425,0.6406218693812679
16,128,256,3,4,2,0.0,0.0001,0.0001,0.5272727272727273,0.7567567567567569,0.8131313131313131,0.6248062015503877,0.6382766439909296,0.8742277992277993,0.8930839002267574,0.8038759689922481,"[259, 231, 215, 179]",0.1774891774891776,0.4001216244073386,0.234933003504432,0.577488822231026,0.7031188616470451,0.6403038419390356
25,64,256,4,4,4,0.0,1e-05,0.0001,0.5636363636363632,0.7503217503217504,0.8258928571428569,0.5881410256410253,0.633001443001443,0.8452059202059202,0.896471088435374,0.812900641025641,"[259, 224, 208, 174]",0.1766233766233768,0.3915749330035044,0.2318037518037517,0.5963084728408443,0.6824925027312786,0.6394004877860615
21,128,256,3,4,2,0.1,1e-05,0.0001,0.5419913419913417,0.7639429312581062,0.8189393939393939,0.6038647342995166,0.6267676767676769,0.844390402075227,0.9124134199134198,0.8235909822866344,"[257, 220, 207, 179]",0.1800865800865802,0.4016223459080602,0.2359431045145331,0.5813048691744906,0.6968167823509229,0.6390608257627068
19,64,256,3,3,4,0.1,0.0001,0.001,0.5212121212121212,0.7451361867704279,0.820216049382716,0.6194029850746268,0.6299216656359513,0.8210440985732815,0.8943452380952381,0.8192371475953566,"[257, 216, 201, 171]",0.1670995670995674,0.3772644815501959,0.2211523397237683,0.5704337954367055,0.7054410942406124,0.637937444838659
17,64,256,4,4,2,0.0,0.0001,0.001,0.5021645021645018,0.7222222222222222,0.8157894736842105,0.6564625850340136,0.5998969284683572,0.8322831978319783,0.8982683982683983,0.8188775510204083,"[246, 209, 196, 164]",0.162770562770563,0.3718058132343847,0.2148464234178519,0.5466971877626371,0.728730224078104,0.6377137059203706
19,128,128,4,3,4,0.0,1e-05,0.001,0.4874458874458873,0.7307692307692306,0.8434579439252337,0.6484245439469319,0.6313935271078128,0.8109294871794873,0.9084000890075656,0.8181592039800994,"[260, 214, 201, 171]",0.1714285714285716,0.383937332508761,0.2250711193568337,0.5501596996766954,0.7234697772515833,0.6368147384641394
