n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
500,40,2,1,balanced,0.3593073593073589,0.5125,0.6514161220043573,0.6525423728813559,0.5850711193568338,0.6163194444444444,0.7335511982570807,0.7203389830508474,"[240, 153, 118, 89]",0.44520362048160533,0.6847666875915462,0.5649851540365758
50,40,2,1,balanced,0.3367965367965365,0.5405982905982907,0.6318082788671023,0.6561561561561562,0.5630055658627088,0.643874643874644,0.6933551198257081,0.7282282282282282,"[234, 153, 111, 84]",0.4214667296716532,0.6903161295786024,0.5558914296251278
500,None,2,1,balanced,0.3636363636363635,0.4945799457994581,0.670045045045045,0.5914454277286135,0.6024860853432281,0.5850147819660014,0.7184684684684685,0.6887905604719764,"[246, 148, 113, 82]",0.4535364009957855,0.63641708467572,0.5449767428357528
500,20,2,1,None,0.406060606060606,0.4719029374201789,0.5729847494553376,0.5560747663551403,0.6366233766233766,0.572286079182631,0.6770152505446624,0.6292834890965732,"[261, 153, 107, 71]",0.495850475191171,0.5904184115833815,0.5431344433872762
50,40,2,1,None,0.3852813852813853,0.5191040843214757,0.6614255765199162,0.5487804878048781,0.6268274582560297,0.6138998682476943,0.7426624737945493,0.6558265582655826,"[253, 159, 123, 82]",0.4772311851464719,0.5975472578122857,0.5373892214793787
500,40,2,1,None,0.3844155844155842,0.4893333333333334,0.6260683760683761,0.5663716814159292,0.6188188002473717,0.6046666666666668,0.6768162393162394,0.6342182890855458,"[250, 156, 113, 74]",0.47423332848457506,0.5983779435106868,0.5363056359976309
50,40,5,1,None,0.3584415584415579,0.5501412429378532,0.5670859538784067,0.5865384615384616,0.575504019789734,0.6530367231638419,0.6394129979035639,0.6762820512820512,"[236, 159, 104, 75]",0.4417485612672969,0.6282213978914486,0.5349849795793727
500,None,2,1,None,0.3722943722943721,0.5209176788124157,0.6823899371069182,0.5623306233062331,0.6048979591836735,0.6192982456140351,0.7473794549266248,0.6463414634146342,"[247, 159, 123, 81]",0.4609125527536786,0.6014163841189981,0.5311644684363384
50,None,2,1,balanced,0.3471861471861471,0.5275423728813561,0.6169977924944813,0.5685358255451713,0.5676932591218307,0.6254237288135593,0.6832229580573951,0.690031152647975,"[236, 151, 107, 76]",0.4308660443313266,0.6234192344468091,0.5271426393890679
50,None,5,1,None,0.358441558441558,0.4965421853388659,0.6383219954648528,0.5725308641975309,0.5795238095238094,0.5922419212875645,0.7046485260770976,0.6481481481481481,"[241, 147, 108, 73]",0.4429276912223325,0.6079973779088823,0.5254625345656074
