Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.028037383177570093,0.022248182762201453,0.02372793354101765,0.29906542056074764,0.5104166666666666,0.4489795918367347,0.4090909090909091,0.26970374079018933,0.5016741071428571,0.39285714285714285,0.375,"[192, 98, 44, 18]"
123,0.04361370716510903,0.03190550363447559,0.03483904465212877,0.2398753894080997,0.5584415584415584,0.5581395348837209,0.5833333333333334,0.20698709390298173,0.5474025974025973,0.5290697674418605,0.5729166666666666,"[154, 86, 48, 28]"
47899,0.00778816199376947,0.0036863966770508826,0.004672897196261682,0.17289719626168223,0.45045045045045046,0.3,0.3333333333333333,0.15612668743509867,0.44594594594594594,0.28,0.3333333333333333,"[111, 50, 15, 5]"
2025,0.12149532710280374,0.09133103397122089,0.09920758542253867,0.3348909657320872,0.6093023255813953,0.8244274809160306,0.7222222222222222,0.30121458240617116,0.6007751937984496,0.7805343511450382,0.6944444444444444,"[215, 131, 108, 78]"
1,0.0794392523364486,0.049168335558522465,0.05611832479616977,0.32554517133956384,0.645933014354067,0.725925925925926,0.5204081632653061,0.2867137665034861,0.6279334700387332,0.65,0.47278911564625853,"[209, 135, 98, 51]"
20,0.056074766355140186,0.04162958018098204,0.04535306334371755,0.3068535825545171,0.48223350253807107,0.7157894736842105,0.5294117647058824,0.26646269099540126,0.467005076142132,0.6815789473684211,0.5196078431372548,"[197, 95, 68, 36]"
99,0.07476635514018691,0.058073727933541014,0.0628541759382881,0.3052959501557632,0.6275510204081632,0.7073170731707317,0.5517241379310345,0.2807001928497256,0.6224489795918368,0.6361788617886179,0.5172413793103449,"[196, 123, 87, 48]"
1020,0.07009345794392523,0.052516992353440956,0.056865944716412015,0.3364485981308411,0.5416666666666666,0.6410256410256411,0.6,0.3038027133821526,0.5354938271604939,0.6196581196581197,0.5455555555555556,"[216, 117, 75, 45]"
345,0.11838006230529595,0.08661734164070613,0.09507985956584085,0.338006230529595,0.663594470046083,0.8194444444444444,0.6440677966101694,0.3023494288681205,0.6505376344086022,0.7800925925925927,0.6193502824858756,"[217, 144, 118, 76]"
78,0.1261682242990654,0.09553664144785641,0.10295332047668493,0.3426791277258567,0.6636363636363637,0.8082191780821918,0.6864406779661016,0.2994638474194549,0.6515367965367964,0.7671232876712328,0.6560734463276835,"[220, 146, 118, 81]"
