#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
17,64,64,2,3,2,0.1,1e-05,0.001,0.3610389610389611,0.6113945578231293,0.732360097323601,0.4855072463768117,0.4782127396413111,0.6832251082251083,0.799756690997567,0.6130434782608696,"[196, 137, 115, 73]",0.41144612643798395
10,64,256,2,4,4,0.0,0.0001,0.001,0.3471861471861471,0.5700354609929078,0.6923076923076924,0.4631410256410256,0.4471614100185529,0.672695035460993,0.7455128205128205,0.5769230769230769,"[188, 130, 104, 61]",0.3908824184239533
28,128,128,2,2,4,0.2,1e-05,0.0001,0.3454545454545456,0.5833333333333333,0.5840108401084011,0.3731060606060605,0.4491403834260977,0.6465183752417795,0.6747967479674796,0.4602272727272727,"[188, 123, 88, 43]",0.39053253768008694
19,64,64,4,3,2,0.0,1e-05,0.001,0.3316017316017315,0.5455326460481099,0.7248062015503876,0.4830246913580248,0.4706555349412492,0.6418697282099344,0.7803617571059431,0.5601851851851852,"[194, 129, 108, 64]",0.3890776609527813
20,128,128,4,2,4,0.1,0.0001,0.0001,0.3324675324675326,0.5070175438596491,0.6386430678466077,0.3313253012048192,0.4577922077922078,0.5837719298245614,0.6865781710914454,0.4518072289156626,"[190, 113, 83, 41]",0.38519245750141395
17,128,128,2,4,2,0.0,1e-05,0.0001,0.3177489177489178,0.5975,0.6932367149758453,0.5298742138364779,0.4809338280766853,0.6788333333333333,0.7055555555555555,0.6132075471698113,"[200, 138, 106, 69]",0.38267060150959903
17,128,64,2,4,4,0.0,1e-05,0.0001,0.3194805194805193,0.5376068376068377,0.6426666666666667,0.5018939393939393,0.4699010513296227,0.6251903651903652,0.6522666666666667,0.6079545454545454,"[195, 125, 88, 55]",0.3803591001729559
49,64,128,2,3,2,0.1,1e-05,0.0001,0.322077922077922,0.4991273996509599,0.6588785046728972,0.3708333333333333,0.4585528756957328,0.5511343804537522,0.704361370716511,0.5291666666666667,"[191, 107, 80, 45]",0.3783856793458466
30,128,64,4,2,2,0.0,0.0001,0.0001,0.3264069264069263,0.6559714795008913,0.7047619047619047,0.5497076023391814,0.4486023500309214,0.7413547237076649,0.7608333333333333,0.6666666666666666,"[187, 140, 114, 81]",0.3778713847801535
13,64,64,2,3,4,0.0,1e-05,0.001,0.3160173160173161,0.6866319444444443,0.7256235827664398,0.5512820512820513,0.4686456400742114,0.7459832702020203,0.7558956916099774,0.6481481481481483,"[192, 147, 117, 81]",0.37748726683152917
34,128,128,2,2,4,0.1,0.0001,0.0001,0.3324675324675326,0.5847145488029466,0.7241379310344828,0.4660194174757282,0.4294557823129251,0.6314665996986439,0.8426724137931034,0.5889967637540453,"[181, 116, 103, 63]",0.3747886473079854
16,64,64,2,2,4,0.2,1e-05,0.001,0.3298701298701298,0.5462962962962963,0.7043478260869566,0.375,0.4317996289424861,0.6246296296296296,0.7775362318840578,0.4427083333333333,"[180, 115, 96, 46]",0.3740145857941931
18,128,128,2,4,4,0.1,0.0001,0.0001,0.3307359307359306,0.5423728813559323,0.6741741741741742,0.3390804597701149,0.4277365491651205,0.6134651600753296,0.73003003003003,0.5057471264367817,"[177, 111, 87, 46]",0.3730335627110871
28,128,256,2,2,4,0.2,0.0001,0.0001,0.3341991341991343,0.5918560606060607,0.6532258064516129,0.377659574468085,0.4198453927025355,0.6903409090909091,0.7103494623655914,0.5,"[176, 124, 94, 49]",0.3721583055982584
14,64,128,2,2,4,0.1,1e-05,0.001,0.3160173160173162,0.5973025048169555,0.7212389380530972,0.4421052631578947,0.4113852813852813,0.6411368015414258,0.7824483775811208,0.6157894736842106,"[173, 113, 95, 61]",0.35744956901893177
30,64,128,2,3,2,0.0,0.0001,0.0001,0.3004329004329004,0.5386740331491713,0.6490384615384616,0.4708333333333333,0.431447124304267,0.5676795580110497,0.7155448717948717,0.5625,"[181, 104, 80, 49]",0.35421355019141143
18,128,256,2,4,4,0.0,0.0001,0.0001,0.2961038961038962,0.6080586080586082,0.6883468834688348,0.4707903780068729,0.4342918985776129,0.6590659340659341,0.7472899728997289,0.5824742268041238,"[182, 123, 97, 59]",0.3521255849269059
9,64,128,2,2,2,0.0,1e-05,0.001,0.30995670995671,0.5151515151515151,0.6496598639455782,0.5585585585585585,0.3987816944959802,0.5844444444444444,0.6925170068027212,0.7376126126126127,"[165, 98, 74, 57]",0.34880305974779946
42,64,256,2,2,4,0.1,1e-05,0.0001,0.2961038961038962,0.5083798882681566,0.6015873015873017,0.4692982456140351,0.423995052566481,0.5777467411545624,0.6847619047619047,0.5263157894736842,"[179, 105, 76, 43]",0.3486925990532998
21,64,128,4,4,2,0.2,1e-05,0.001,0.2987012987012988,0.4980732177263971,0.601010101010101,0.359903381642512,0.4159431045145331,0.563102119460501,0.619023569023569,0.5289855072463768,"[173, 99, 69, 37]",0.34770508226262054
10,64,64,2,2,2,0.0,1e-05,0.001,0.3056277056277057,0.5109780439121757,0.6833333333333332,0.642570281124498,0.3975943104514533,0.5848303393213572,0.8,0.7771084337349398,"[167, 100, 83, 68]",0.34559736212874437
48,64,128,2,2,2,0.1,1e-05,0.0001,0.2978354978354979,0.5148809523809524,0.6280701754385964,0.3382352941176471,0.4011008039579467,0.5571428571428572,0.6657894736842105,0.4632352941176471,"[168, 95, 68, 34]",0.3418396134883774
25,64,64,4,2,2,0.1,1e-05,0.001,0.2831168831168831,0.5174418604651163,0.6388888888888888,0.5315315315315315,0.4121088435374149,0.572938689217759,0.6800653594771242,0.6396396396396395,"[172, 102, 74, 49]",0.3356462996520638
28,128,64,4,3,2,0.1,1e-05,0.0001,0.290909090909091,0.5467479674796748,0.7205882352941176,0.4244186046511627,0.3953927025355597,0.603150406504065,0.7990196078431374,0.5755813953488372,"[164, 102, 86, 52]",0.3351975260603331
49,64,128,2,2,4,0.2,0.0001,0.0001,0.2735930735930736,0.5707364341085271,0.6666666666666666,0.2585470085470085,0.4165924551638836,0.5935077519379844,0.6855555555555556,0.3525641025641026,"[172, 105, 78, 30]",0.33027875982635263
17,128,64,4,2,2,0.1,0.0001,0.0001,0.2831168831168832,0.5424242424242425,0.5454545454545454,0.3177083333333333,0.395021645021645,0.5904761904761905,0.6316498316498317,0.453125,"[165, 99, 64, 31]",0.32983613896476977
32,64,128,4,3,4,0.0,0.0001,0.0001,0.2831168831168831,0.480691056910569,0.7347670250896058,0.3603603603603604,0.3936549165120592,0.5528455284552846,0.7616487455197132,0.4662162162162162,"[164, 93, 74, 36]",0.329358738196942
57,64,128,2,4,2,0.1,0.0001,0.0001,0.2753246753246754,0.5748502994011976,0.6739766081871345,0.3710317460317459,0.3978664192949906,0.6713572854291417,0.6789473684210526,0.4583333333333333,"[167, 114, 84, 41]",0.32544234048988085
42,64,128,4,3,2,0.0,0.0001,0.0001,0.2623376623376623,0.5914634146341463,0.6620370370370371,0.4497991967871485,0.3913481756338899,0.6409552845528456,0.7075617283950618,0.5240963855421686,"[164, 108, 83, 46]",0.31411225268237025
43,64,128,2,4,4,0.1,0.0001,0.0001,0.2692640692640691,0.5397350993377484,0.6666666666666667,0.3577777777777777,0.3556277056277057,0.6142384105960265,0.7462765957446809,0.42,"[151, 94, 75, 35]",0.30647791188144485
31,64,256,4,4,4,0.2,0.0001,0.0001,0.2675324675324675,0.5900243309002432,0.5975177304964538,0.3119047619047619,0.3304205318491033,0.6788321167883211,0.7216312056737589,0.3785714285714285,"[137, 94, 70, 29]",0.2956694599756375
31,64,256,4,4,4,0.2,1e-05,0.001,0.2441558441558442,0.3501118568232662,0.4732142857142857,0.3924731182795699,0.3650711193568335,0.3646532438478747,0.5446428571428571,0.4354838709677419,"[149, 56, 31, 16]",0.2926142559730346
20,128,64,4,3,4,0.2,0.0001,0.0001,0.2536796536796538,0.5870098039215687,0.5823970037453183,0.3232323232323231,0.3337291280148423,0.6544117647058824,0.7031835205992509,0.4015151515151515,"[136, 89, 66, 30]",0.2882499964450609
14,128,128,4,2,4,0.1,1e-05,0.001,0.2346320346320346,0.4634703196347033,0.5675105485232067,0.3611111111111111,0.3444279529993816,0.5325342465753424,0.5462025316455696,0.4479166666666667,"[146, 79, 48, 24]",0.27912075820314286
