#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
19,128,64,4,3,4,0.0,0.0001,0.0001,0.2571428571428571,0.6050228310502285,0.6581632653061225,0.41324200913242004,0.3497619047619048,0.6712328767123288,0.715986394557823,0.5105022831050228,"[146, 98, 73, 42]"
39,64,64,2,4,4,0.0,1e-05,0.0001,0.2831168831168831,0.5575396825396824,0.7403846153846155,0.430232558139535,0.4015584415584416,0.6160714285714286,0.8012820512820513,0.532751937984496,"[168, 104, 86, 50]"
19,128,256,2,4,2,0.2,1e-05,0.001,0.2484848484848486,0.5166666666666667,0.7254901960784313,0.4079601990049751,0.35718614718614705,0.56,0.76078431372549,0.48880597014925375,"[150, 85, 67, 38]"
20,128,128,4,3,2,0.0,0.0001,0.001,0.21991341991341984,0.4005847953216373,0.7,0.3333333333333333,0.27714285714285714,0.5263157894736842,0.7,0.3659420289855073,"[114, 60, 46, 19]"
28,64,128,4,2,2,0.0,0.0001,0.0001,0.2562770562770562,0.4308641975308643,0.5438596491228072,0.3469387755102041,0.323982683982684,0.5518518518518518,0.606359649122807,0.39115646258503395,"[135, 76, 49, 22]"
23,128,128,2,3,4,0.1,0.0001,0.0001,0.26580086580086576,0.566225165562914,0.6421052631578948,0.3986486486486486,0.3603679653679654,0.6225165562913907,0.7552631578947369,0.4774774774774775,"[151, 95, 74, 40]"
35,64,256,4,4,4,0.1,1e-05,0.0001,0.25281385281385277,0.5277777777777778,0.6925925925925926,0.3726851851851851,0.36965367965367973,0.5769230769230769,0.7731481481481481,0.4476851851851852,"[156, 90, 72, 38]"
23,128,256,2,2,4,0.2,0.0001,0.001,0.3445887445887445,0.5503472222222222,0.6888888888888889,0.49122807017543857,0.467034632034632,0.6115451388888888,0.7472222222222223,0.6070175438596491,"[192, 120, 95, 64]"
20,128,128,4,2,4,0.1,1e-05,0.001,0.21558441558441566,0.5224586288416077,0.6931818181818182,0.4444444444444444,0.3366450216450217,0.6217494089834515,0.6714015151515151,0.47883597883597884,"[141, 88, 63, 32]"
37,64,128,2,3,4,0.1,0.0001,0.0001,0.23463203463203466,0.5298850574712644,0.6336996336996337,0.3666666666666667,0.3429437229437229,0.6206896551724138,0.6538461538461539,0.4151282051282051,"[145, 91, 65, 31]"
18,128,256,4,2,4,0.1,1e-05,0.0001,0.28398268398268406,0.6244725738396624,0.7252252252252254,0.4645390070921985,0.36976190476190474,0.6972573839662447,0.8123123123123124,0.5542553191489362,"[158, 111, 94, 58]"
31,128,128,2,4,2,0.2,0.0001,0.0001,0.23809523809523803,0.4683098591549297,0.6646090534979424,0.42105263157894735,0.3387229437229437,0.5657276995305164,0.6646090534979423,0.4587719298245614,"[142, 81, 57, 30]"
24,128,64,4,2,2,0.2,0.0001,0.0001,0.2502164502164502,0.5120772946859905,0.7151162790697674,0.3194444444444444,0.3282251082251082,0.6231884057971014,0.8071705426356588,0.37129629629629624,"[138, 86, 72, 30]"
19,64,64,2,4,4,0.1,1e-05,0.001,0.30909090909090897,0.6034798534798536,0.7899728997289973,0.5327102803738317,0.4361688311688312,0.6639194139194139,0.8163956639566397,0.6509345794392524,"[182, 123, 107, 74]"
