model,precision,recall,f1
BiLSTM,0.2137976346911958,0.1855668189308136,0.1935932252883632
BiLSTM,0.154993429697766,0.2662086227395032,0.1901854854154461
BiLSTM,0.1260621988611472,0.3219687441336587,0.1758076352031674
BiLSTM,0.1051248357424441,0.3562549277266754,0.1576996423054249
BiLSTM,0.0912746386333776,0.3852677137434036,0.143621223279567
BiLSTM,0.0810337275514669,0.4081200592370105,0.131738023985068
BiLSTM,0.0727614041674493,0.4256194334939406,0.1211785064840255
BiLSTM,0.0665735873850197,0.4437435600609056,0.1130064093705206
BiLSTM,0.0613374215213903,0.4584998331351814,0.1057168961731463
BiLSTM,0.0568331143232592,0.4714719562814175,0.0992360339586778
Transformer,0.1038107752956635,0.0859871618380159,0.090955613958242
Transformer,0.0852168199737188,0.1404613812235363,0.1020752105246192
Transformer,0.0710906701708279,0.1753105771436914,0.0974961744344135
Transformer,0.0624178712220762,0.2054786413032142,0.0925440291931751
Transformer,0.0556636005256242,0.2287508082514653,0.0867207292634362
Transformer,0.0506132282084975,0.248870429468327,0.0815924460996734
Transformer,0.0464989675239347,0.2666175458356798,0.0769597988520458
Transformer,0.0432654402102496,0.2824234507644494,0.0730050198742707
Transformer,0.040589867133888,0.2977311599190705,0.0696326822327829
Transformer,0.0382654402102498,0.3114653859791836,0.0665029137464785
Multimodal BiLSTM,0.2800262812089356,0.2450110547942348,0.2548817345597897
Multimodal BiLSTM,0.1919185282522995,0.329848361596062,0.2354577310556281
Multimodal BiLSTM,0.1481384143670602,0.3789526625367624,0.2065968963143734
Multimodal BiLSTM,0.1212220762155059,0.4114903635567237,0.1818356216713651
Multimodal BiLSTM,0.1038633377135355,0.4393932378032247,0.1633320016237223
Multimodal BiLSTM,0.091130091984231,0.461776015268131,0.148206432201177
Multimodal BiLSTM,0.0815280645766854,0.4800981895167178,0.1358459761876319
Multimodal BiLSTM,0.0735709592641261,0.4939024988006592,0.124939113667761
Multimodal BiLSTM,0.0673382975616883,0.5065552322549693,0.1160651493688527
Multimodal BiLSTM,0.0622207621550595,0.5180769351104437,0.108562255612536
Multimodal Transformer,0.264257555847569,0.232468764991761,0.2416184844502847
Multimodal Transformer,0.1896846254927726,0.3272638341363702,0.233347687500118
Multimodal Transformer,0.1505037231712651,0.3861175771228333,0.2104146969981399
Multimodal Transformer,0.1261169513797634,0.4270560874371649,0.1890460058265588
Multimodal Transformer,0.1083048620236538,0.4552456563001898,0.1700161409622637
Multimodal Transformer,0.095597897503285,0.4805998790230064,0.1551751015811474
Multimodal Transformer,0.0859583255115455,0.5023208810462424,0.143000243660559
Multimodal Transformer,0.0783837056504599,0.5209282376989341,0.1328493278255599
Multimodal Transformer,0.0717477003942187,0.5341578541184322,0.1234565236795283
Multimodal Transformer,0.0663994743758217,0.5476159710489539,0.1157049589647651
Random Classifier,0.0010512483574244,0.0008869908015768,0.0009286027157249
Random Classifier,0.0009855453350854,0.0015440210249671,0.0011607533946561
Random Classifier,0.0007884362680683,0.0018725361366622,0.0010756523371503
Random Classifier,0.0008212877792378,0.0026609724047306,0.0012242663162505
Random Classifier,0.0008672798948751,0.0033837056504599,0.0013390901695763
Random Classifier,0.0008541392904073,0.0041721419185282,0.0013835179275389
Random Classifier,0.0008447531443589,0.0048291721419185,0.0014076374785967
Random Classifier,0.0007884362680683,0.0050122019898629,0.0013257409840852
Random Classifier,0.0007884362680683,0.0055816281834678,0.0013472412388312
Random Classifier,0.0007898963352314,0.0061401038733496,0.0013654017518901
Random Forest,0.0888304862023653,0.0794860563585924,0.08223536282669
Random Forest,0.0717477003942181,0.1271801931460275,0.0896637863523539
Random Forest,0.0606000876040298,0.1586980893978265,0.0856205949110022
Random Forest,0.0530770915462111,0.1831323133721294,0.0803316241358289
Random Forest,0.0473149364870783,0.2024878501553929,0.0749129655568553
Random Forest,0.043066141042488,0.2190669127922741,0.0703205248540332
Random Forest,0.0399468118390588,0.2347535093757169,0.0667222914331981
Random Forest,0.0373750078217883,0.2481975992324218,0.0634927447266087
Random Forest,0.0356156268902654,0.2619866299564065,0.0612600126934981
Random Forest,0.0339117285109401,0.2710572972071001,0.0588562980373902
Neural Network,0.022996057818659658,0.019023371503660597,0.020140896481238138
Neural Network,0.02266754270696452,0.0379940241536825,0.027447385436872952
Neural Network,0.022076215505913276,0.05639869219698392,0.030820377607499817
Neural Network,0.020499342969776606,0.0702729804142419,0.030950209813547506
Neural Network,0.019816031537450696,0.0840888137997205,0.03126101668808631
Neural Network,0.019601401664476544,0.09995061844273408,0.032011405881313876
Neural Network,0.018715975220574416,0.1114486473520639,0.031361906089238535
Neural Network,0.01823258869908016,0.12329709238053521,0.031126088210999648
Neural Network,0.017608409986859357,0.13441623386104334,0.030565774009385305
Neural Network,0.01703314352460209,0.14411029764512023,0.029921015262976157
