model,precision,recall,f1
BiLSTM,0.2523364485981308,0.1999219020422291,0.2139661814881716
BiLSTM,0.1866043613707165,0.2811973062849231,0.2127418488399799
BiLSTM,0.1473001038421597,0.3252429782920437,0.1919559377060607
BiLSTM,0.1216900311526479,0.3526923917636534,0.1714823805023023
BiLSTM,0.1047352024922122,0.37604297031283,0.1556088858806247
BiLSTM,0.0917445482866041,0.3918866625759149,0.1415311058741519
BiLSTM,0.0821539830885628,0.4073662582657909,0.1304521982562413
BiLSTM,0.0746690031152647,0.4217863801567073,0.1213333746388269
BiLSTM,0.0685704395984771,0.4348281884263192,0.1135429908087966
BiLSTM,0.0632242990654208,0.4446541600922442,0.1063238621163521
Multimodal BiLSTM,0.331619937694704,0.2654485357581152,0.2831812423827266
Multimodal BiLSTM,0.2287383177570093,0.3493917619676966,0.2627059129354345
Multimodal BiLSTM,0.1747663551401864,0.391219142358161,0.2290855667441994
Multimodal BiLSTM,0.1418613707165109,0.4173869339815601,0.2009650784441742
Multimodal BiLSTM,0.1199688473520255,0.4366141443361069,0.1790151921272396
Multimodal BiLSTM,0.1045430944963653,0.4538882258274781,0.162020686946471
Multimodal BiLSTM,0.0925233644859817,0.4662190552611114,0.1475495217530976
Multimodal BiLSTM,0.0835475077881619,0.4795680323484061,0.1363029985177032
Multimodal BiLSTM,0.0762028383523714,0.4899116133520339,0.1265374460003383
Multimodal BiLSTM,0.0698286604361374,0.4976392990878972,0.1177202065857632
Multimodal Transformer,0.3038940809968847,0.2418563949463482,0.2584430928735926
Multimodal Transformer,0.2183021806853582,0.3315393729237187,0.2498038609019917
Multimodal Transformer,0.1715472481827617,0.3821286828004117,0.2245240650479215
Multimodal Transformer,0.1437694704049844,0.4195032377625836,0.2031894339924353
Multimodal Transformer,0.1227725856697825,0.4442700002921966,0.1829419204698557
Multimodal Transformer,0.10708722741433,0.4628190954943291,0.1658008452565909
Multimodal Transformer,0.0955273698264357,0.4800972255937209,0.152285337489726
Multimodal Transformer,0.086351246105919,0.4937658825684526,0.1407930589835747
Multimodal Transformer,0.0790065766701284,0.5069790978319015,0.1312120601708752
Multimodal Transformer,0.0725389408099692,0.5151782708032707,0.1222663254286039
Transformer,0.0722741433021806,0.0530766695661555,0.0579491464290804
Transformer,0.0595794392523364,0.0840067677217209,0.0652877833485309
Transformer,0.0512980269989615,0.1070051791839175,0.0650126188689887
Transformer,0.045911214953271,0.1274976006167595,0.0634763811091897
Transformer,0.0415264797507787,0.1440497627588749,0.0608244298329629
Transformer,0.0375129802699896,0.1561190341330528,0.0572936878750511
Transformer,0.0346239430351579,0.1676744413426656,0.0545675957900662
Transformer,0.0327102803738317,0.1807827524241075,0.0528489940934697
Transformer,0.0307026652821044,0.1909282241642054,0.0506098001134193
Transformer,0.0291744548286604,0.2017661005920351,0.0489161581283988
Random Classifier,0.0007788161993769,0.0005503634475597,0.0005970924195223
Random Classifier,0.0007009345794392,0.0010955347871235,0.0008077436582109
Random Classifier,0.0008307372793354,0.0020690550363447,0.0011322504079513
Random Classifier,0.0009735202492211,0.003039979231568,0.0013948227265984
Random Classifier,0.0010280373831775,0.0038291796469366,0.0015126453677855
Random Classifier,0.0009605399792315,0.0042315680166147,0.0014669278454325
Random Classifier,0.0010235870048954,0.005438733125649,0.0016322583612303
Random Classifier,0.0009957721406319,0.0061396677050882,0.0016358190322026
Random Classifier,0.0010059709241952,0.0066867860851505,0.0016581146440959
Random Classifier,0.0009847698165455,0.0071735462097611,0.0016428332372532
Neural Network,0.0305295950155763,0.0231800481450014,0.0250917272412599
Neural Network,0.0287383177570093,0.0441550518536499,0.0330358806994321
Neural Network,0.02803738317757,0.0643291729039392,0.0371750212404418
Neural Network,0.0274143302180685,0.0826278303731574,0.0392160366459431
Neural Network,0.0258255451713395,0.0966499524618683,0.0389242831415728
Neural Network,0.0250778816199376,0.111572323704333,0.039151678447995
Neural Network,0.0241655540720961,0.1253887085137085,0.0388651185075402
Neural Network,0.0231308411214953,0.1378517147442381,0.038136399303073
Neural Network,0.0223606784354447,0.1495131893029089,0.0375297626141496
Neural Network,0.0216545517480096,0.1610018099328847,0.0369060446236526
Random Forest,0.12990654205607474,0.10698486871384068,0.11307219892930662
Random Forest,0.10669781931464176,0.17007287494437026,0.1254440891810326
Random Forest,0.08984942886812061,0.21025380642203073,0.12023140724936102
Random Forest,0.07708982346832813,0.23744104934525495,0.11124667070190922
Random Forest,0.06738577362409146,0.25721213301236673,0.10223633438739096
Random Forest,0.060734683281412224,0.27473005814711426,0.09536686655433206
Random Forest,0.055123497997329754,0.2879564896854616,0.08883510242297317
Random Forest,0.05042834890965732,0.29871129238535776,0.08298042302019501
Random Forest,0.0469712703357562,0.31000088220882616,0.0785586648621743
Random Forest,0.04394080996884748,0.3194829694362405,0.07448470893151309
