Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 47 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 64
Encoder layers: 4
Decoder hidden units: 32
Decoder layers: 3
Dropout: 0.1
Trainable parameters: 825,442

Training started
X_train.shape: torch.Size([3076, 702])
Y_train.shape: torch.Size([3076, 7])
X_dev.shape: torch.Size([544, 337])
Y_dev.shape: torch.Size([544, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 1e-05
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.5081 |     93.487 |   3.4099 |     82.445 |     0.0
    2 |   3.2564 |     82.017 |   3.0752 |     82.445 |     0.1
    3 |   2.9257 |     81.838 |   2.8126 |     81.893 |     0.1
    4 |   2.7287 |     76.940 |   2.6650 |     67.341 |     0.1
    5 |   2.6002 |     66.661 |   2.5500 |     66.912 |     0.2
    6 |   2.4914 |     60.685 |   2.4480 |     58.824 |     0.2
    7 |   2.4045 |     59.157 |   2.3668 |     58.824 |     0.3
    8 |   2.3314 |     58.761 |   2.3030 |     58.824 |     0.3
    9 |   2.2740 |     58.155 |   2.2504 |     58.824 |     0.3
   10 |   2.2253 |     57.363 |   2.2028 |     58.824 |     0.4
   11 |   2.1827 |     57.065 |   2.1572 |     58.272 |     0.4
   12 |   2.1379 |     56.513 |   2.1157 |     56.587 |     0.4
   13 |   2.0970 |     56.166 |   2.0762 |     54.381 |     0.5
   14 |   2.0599 |     55.960 |   2.0388 |     54.075 |     0.5
   15 |   2.0218 |     55.521 |   2.0035 |     53.799 |     0.5
   16 |   1.9873 |     55.353 |   1.9691 |     53.830 |     0.6
   17 |   1.9530 |     55.050 |   1.9359 |     53.799 |     0.6
   18 |   1.9193 |     54.302 |   1.9038 |     53.554 |     0.7
   19 |   1.8914 |     52.281 |   1.8727 |     48.805 |     0.7
   20 |   1.8577 |     49.973 |   1.8426 |     48.346 |     0.7
   21 |   1.8294 |     49.285 |   1.8138 |     48.346 |     0.8
   22 |   1.8022 |     49.025 |   1.7859 |     48.346 |     0.8
   23 |   1.7763 |     48.797 |   1.7587 |     48.346 |     0.8
   24 |   1.7495 |     48.727 |   1.7329 |     48.346 |     0.9
   25 |   1.7241 |     48.082 |   1.7083 |     47.181 |     0.9
   26 |   1.6999 |     47.058 |   1.6854 |     45.466 |     0.9
   27 |   1.6783 |     46.402 |   1.6636 |     45.466 |     1.0
   28 |   1.6585 |     46.299 |   1.6429 |     45.466 |     1.0
   29 |   1.6367 |     46.240 |   1.6238 |     45.466 |     1.0
   30 |   1.6200 |     46.218 |   1.6066 |     45.466 |     1.1
