#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
154,128,64,4,3,64,32,0.1,1e-05,0.0001,39.52205882352941,65.11627906976744,55.714285714285715,56.41025641025641,0.3074935400516796,0.5437616387337058,0.5106666666666668,0.5666666666666667,0.4315676141257536,0.6899441340782123,0.576,0.58,"[179, 125, 75, 44]"
50,32,128,4,3,32,64,0.1,1e-05,0.001,65.625,75.91036414565826,84.13284132841329,76.75438596491229,0.5391903531438417,0.7276119402985074,0.7139534883720927,0.6404886561954624,0.6550100488084983,0.7773528192371478,0.8592137320044297,0.7933682373472949,"[268, 215, 191, 158]"
68,64,32,4,3,128,64,0.1,1e-05,0.001,56.61764705882353,66.88311688311688,70.3883495145631,60.0,0.46167097329888024,0.6001461988304094,0.7201257861635222,0.4107611548556431,0.5459230548377835,0.6645346003898636,0.7543126684636119,0.5984251968503937,"[228, 159, 127, 79]"
87,128,64,4,2,128,64,0.0,0.0001,0.0001,60.47794117647059,83.58662613981764,76.0,70.33492822966507,0.4913867355727821,0.7450199203187251,0.7256289308176098,0.576427255985267,0.6056129773184036,0.83244798583444,0.8123090745732254,0.7237569060773481,"[251, 212, 181, 140]"
88,128,32,2,4,64,32,0.1,1e-05,0.001,53.125,73.01038062283737,72.51184834123224,67.3202614379085,0.43755383290266997,0.6574074074074074,0.6782700421940929,0.5118110236220472,0.5208153890324433,0.7081147119341563,0.768128390596745,0.6916010498687665,"[216, 158, 127, 95]"
49,32,64,2,2,128,32,0.2,0.0001,0.001,55.69852941176471,79.53795379537954,72.19917012448133,59.195402298850574,0.48923341946597765,0.7088698140200286,0.7043859649122808,0.41883116883116894,0.559230548377835,0.791070577014783,0.7713408521303258,0.5974025974025974,"[233, 190, 154, 97]"
51,64,128,2,4,64,32,0.0,1e-05,0.001,44.85294117647059,63.114754098360656,71.42857142857143,44.54545454545455,0.3428079242032731,0.5569514237855948,0.6391076115485564,0.39236111111111116,0.48156761412575366,0.6222780569514238,0.7276902887139107,0.48090277777777785,"[199, 127, 96, 49]"
67,64,128,2,3,128,64,0.1,1e-05,0.001,62.31617647058824,77.5811209439528,82.12927756653993,70.83333333333334,0.500430663221361,0.7177954847277555,0.7587939698492464,0.543560606060606,0.6213321848980763,0.7693116423196105,0.8549413735343384,0.7287878787878787,"[251, 199, 176, 135]"
42,128,64,4,4,64,128,0.0,1e-05,0.001,54.96323529411765,70.23411371237458,79.52380952380952,62.874251497005986,0.5202411714039622,0.6364942528735632,0.7425149700598804,0.4097222222222225,0.5606804478897501,0.700191570881226,0.8292985457656116,0.6388888888888888,"[232, 167, 144, 99]"
66,128,128,4,4,128,64,0.0,1e-05,0.001,52.20588235294118,69.01408450704226,73.9795918367347,58.620689655172406,0.48320413436692505,0.603318250377074,0.6527777777777777,0.4380165289256199,0.5297301177146138,0.6950100553041729,0.7456501831501832,0.6013774104683196,"[221, 156, 121, 77]"
