n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
50,20,10,4,balanced,0.20327304048234301,0.37058823529411755,0.3917748917748918,0.2222222222222222,0.40766580534022395,0.4211111111111111,0.42207792207792205,0.2222222222222222,"[170, 77, 36, 8]"
500,20,10,4,balanced,0.21533161068044765,0.40037243947858475,0.39837398373983735,0.3108108108108108,0.424978466838932,0.42737430167597756,0.4146341463414634,0.35135135135135137,"[179, 82, 37, 13]"
50,20,2,4,balanced,0.22049956933677853,0.42602495543672014,0.46099290780141844,0.26595744680851063,0.43996554694229123,0.4746286393345217,0.4485815602836879,0.2872340425531915,"[187, 94, 47, 14]"
100,20,5,4,balanced,0.22049956933677858,0.393854748603352,0.5325670498084292,0.20588235294117646,0.42693080677576795,0.44674115456238356,0.5680076628352491,0.23529411764705882,"[179, 87, 51, 12]"
500,20,2,4,balanced,0.22222222222222218,0.39336917562724016,0.4578544061302681,0.34848484848484845,0.4368791271892047,0.43201911589008357,0.47701149425287354,0.3977272727272727,"[186, 87, 44, 18]"
500,20,5,4,balanced,0.22394487510766575,0.3745519713261649,0.575,0.29,0.44074074074074066,0.4112903225806452,0.5624999999999999,0.34,"[186, 80, 50, 18]"
100,20,10,4,balanced,0.23083548664944012,0.37027491408934704,0.492063492063492,0.17391304347826086,0.4631352282515074,0.4006872852233677,0.5138888888888888,0.17391304347826086,"[194, 84, 46, 9]"
500,20,10,1,balanced,0.23255813953488358,0.4080756013745704,0.4670138888888889,0.22549019607843138,0.4612115991960953,0.4739977090492555,0.4696180555555556,0.24509803921568626,"[194, 96, 51, 13]"
100,20,10,2,balanced,0.23255813953488383,0.4015151515151515,0.4403508771929825,0.30851063829787234,0.4765001435544072,0.45179573512906845,0.4403508771929825,0.2943262411347518,"[198, 95, 47, 16]"
50,20,5,4,balanced,0.23341946597760538,0.3637992831541218,0.49404761904761907,0.2777777777777778,0.44018087855297156,0.40232974910394265,0.48849206349206353,0.28888888888888886,"[186, 84, 45, 15]"
100,20,2,4,balanced,0.23600344530577091,0.3980099502487563,0.4734042553191489,0.2765957446808511,0.4796583405110537,0.43394140409065785,0.4787234042553192,0.30851063829787234,"[201, 94, 47, 15]"
50,20,10,1,balanced,0.23772609819121426,0.393097643097643,0.47802197802197804,0.20486111111111113,0.47529428653459654,0.42150673400673405,0.4934065934065934,0.22916666666666666,"[198, 91, 48, 13]"
100,40,10,4,balanced,0.23772609819121443,0.3506944444444445,0.5270833333333333,0.40625,0.4578380706287684,0.38342013888888893,0.56875,0.39236111111111116,"[192, 80, 48, 20]"
50,20,10,2,balanced,0.23858742463393603,0.4021558872305141,0.4771929824561404,0.29,0.4804909560723513,0.44400221116639027,0.4807017543859649,0.3,"[201, 95, 50, 15]"
500,20,10,2,balanced,0.24892334194659738,0.40488215488215484,0.421875,0.2717391304347826,0.48515647430376113,0.44556677890011226,0.42534722222222215,0.29347826086956524,"[198, 96, 46, 14]"
50,None,10,4,balanced,0.24892334194659757,0.42314335060449054,0.4433656957928802,0.45098039215686275,0.46663795578524264,0.49467472654001154,0.4524271844660194,0.46078431372549017,"[193, 103, 51, 25]"
500,40,10,4,balanced,0.25064599483204125,0.4207920792079208,0.49333333333333335,0.5363636363636364,0.4857594028136664,0.4644526952695269,0.5128571428571429,0.5636363636363636,"[202, 100, 55, 32]"
500,40,2,4,balanced,0.2506459948320414,0.3795379537953796,0.480072463768116,0.30612244897959184,0.487467700258398,0.4282178217821782,0.48641304347826086,0.3231292517006803,"[202, 92, 49, 17]"
50,None,2,4,balanced,0.2532299741602065,0.4021035598705502,0.4931972789115647,0.3999999999999999,0.4944587998851564,0.4408710895361381,0.5269679300291544,0.4727272727272727,"[206, 98, 55, 26]"
100,20,10,1,balanced,0.25409130060292817,0.38915857605178,0.49149659863945583,0.2830188679245283,0.4869078380706289,0.4398597626752967,0.49489795918367346,0.29245283018867924,"[206, 98, 53, 16]"
100,40,10,2,balanced,0.2540913006029283,0.4373983739837398,0.5628930817610063,0.41798941798941797,0.49259259259259264,0.47815718157181575,0.5485849056603773,0.47354497354497355,"[205, 106, 63, 31]"
100,None,5,4,balanced,0.25495262704565014,0.38467614533965233,0.45035460992907805,0.41836734693877553,0.5143123743898937,0.41120326487625064,0.48138297872340424,0.46938775510204084,"[211, 94, 49, 24]"
100,None,10,4,balanced,0.2558139534883717,0.34558823529411764,0.4887640449438202,0.3333333333333333,0.48842951478610397,0.39222494553376913,0.5016051364365971,0.3541666666666667,"[204, 89, 48, 18]"
100,40,5,4,balanced,0.2583979328165371,0.3985849056603774,0.5980392156862746,0.36764705882352944,0.5131926500143554,0.43968815513626835,0.6198646125116714,0.3897058823529412,"[212, 102, 68, 27]"
50,None,5,4,balanced,0.2583979328165372,0.4137931034482758,0.470873786407767,0.3425925925925926,0.4841946597760552,0.46020799124247397,0.5024271844660194,0.35802469135802467,"[203, 103, 54, 21]"
50,40,5,4,balanced,0.2583979328165372,0.4234006734006733,0.4355345911949686,0.3113207547169811,0.4786821705426358,0.48956228956228953,0.4732704402515724,0.35377358490566035,"[198, 106, 53, 20]"
500,20,2,2,balanced,0.25925925925925897,0.45102685624012645,0.6376146788990824,0.3092105263157895,0.5047085845535458,0.49216692996313854,0.6681957186544342,0.34736842105263155,"[211, 109, 76, 28]"
500,None,2,4,balanced,0.259259259259259,0.3950320512820513,0.49019607843137253,0.4515151515151515,0.49862187769164523,0.44631410256410253,0.511764705882353,0.4818181818181818,"[208, 102, 55, 28]"
100,None,2,4,balanced,0.2601205857019808,0.3472906403940886,0.4777777777777778,0.3298611111111111,0.4901521676715475,0.4022441160372195,0.487037037037037,0.375,"[203, 90, 48, 19]"
100,40,2,4,balanced,0.26098191214470245,0.42417061611374407,0.5061728395061729,0.31666666666666665,0.5068619006603504,0.4701421800947867,0.5257716049382716,0.375,"[211, 108, 60, 23]"
50,20,5,1,balanced,0.2618432385874244,0.46534653465346526,0.5292397660818713,0.373134328358209,0.4820987654320988,0.5275027502750276,0.5614035087719298,0.43781094527363185,"[202, 114, 67, 31]"
500,40,10,2,balanced,0.2644272179155897,0.42845911949685533,0.5045871559633028,0.5364583333333334,0.5001866207292563,0.4960691823899371,0.5447247706422018,0.5572916666666667,"[212, 109, 64, 40]"
