#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
12,128,256,4,2,4,0.0,0.0001,0.001,8.823529411764707,75.0,77.77777777777779,28.57142857142857,0.09819121447028424,0.7894736842105263,0.3,0.3409090909090909,0.09409991386735572,0.7719298245614036,0.7333333333333333,0.3181818181818182,"[38, 30, 22, 8]"
23,128,256,4,3,4,0.1,0.0001,0.001,24.080882352941178,51.14503816793893,35.82089552238806,54.166666666666664,0.13781223083548674,0.4764150943396227,0.37719298245614036,0.45454545454545453,0.24707149009474594,0.5157232704402516,0.35964912280701755,0.5909090909090909,"[106, 57, 22, 13]"
28,64,256,4,2,2,0.2,1e-05,0.001,27.941176470588236,32.23684210526316,69.38775510204081,14.705882352941178,0.1645133505598623,0.3142857142857143,0.6590909090909091,0.1206896551724138,0.3338501291989664,0.30714285714285716,0.6590909090909091,0.11494252873563217,"[140, 44, 29, 5]"
21,128,256,3,4,2,0.2,0.0001,0.001,20.772058823529413,69.02654867256636,60.256410256410255,55.319148936170215,0.1670973298880275,0.629251700680272,0.5,0.4349593495934959,0.23802756244616713,0.6768707482993198,0.5735294117647058,0.573170731707317,"[98, 68, 41, 25]"
51,32,128,2,3,4,0.1,1e-05,0.0001,19.852941176470587,61.111111111111114,65.15151515151516,53.48837209302325,0.16968130921619298,0.6217228464419475,0.4385964912280703,0.4722222222222222,0.2140396210163652,0.6217228464419475,0.631578947368421,0.5277777777777778,"[89, 57, 36, 22]"
38,32,256,2,4,4,0.0,0.0001,0.0001,22.24264705882353,59.50413223140496,59.72222222222222,30.23255813953488,0.17312661498708004,0.5714285714285715,0.4946236559139785,0.26576576576576577,0.2459517657192076,0.580952380952381,0.5806451612903226,0.32432432432432434,"[105, 62, 37, 13]"
9,128,128,4,2,2,0.1,1e-05,0.001,31.433823529411764,18.128654970760234,58.06451612903226,61.111111111111114,0.17312661498708007,0.20833333333333334,0.4611111111111111,0.6111111111111112,0.3535745047372954,0.2013888888888889,0.5833333333333334,0.6111111111111112,"[144, 30, 18, 11]"
19,64,64,4,4,4,0.0,0.0001,0.0001,26.286764705882355,62.23776223776224,64.04494382022472,43.859649122807014,0.1731266149870801,0.550287356321839,0.6148648648648648,0.37152777777777773,0.27687338501291986,0.6149425287356323,0.6238738738738739,0.46875,"[116, 74, 48, 25]"
36,32,256,4,2,4,0.2,1e-05,0.0001,19.669117647058822,61.6822429906542,59.09090909090909,38.46153846153847,0.17571059431524552,0.5659340659340658,0.4356725146198831,0.2708333333333333,0.2269595176571921,0.6190476190476191,0.5526315789473685,0.359375,"[91, 57, 32, 15]"
28,64,256,4,2,2,0.0,0.0001,0.001,31.433823529411764,50.29239766081871,43.02325581395349,48.64864864864865,0.18087855297157626,0.5275689223057644,0.40410958904109595,0.4068627450980392,0.31963824289405685,0.530701754385965,0.4223744292237443,0.4852941176470588,"[133, 73, 34, 18]"
23,32,256,4,3,4,0.0,1e-05,0.0001,28.308823529411764,62.33766233766234,58.333333333333336,42.857142857142854,0.181739879414298,0.5120967741935484,0.5735930735930735,0.40972222222222227,0.2924633936261843,0.6034946236559141,0.577922077922078,0.4305555555555555,"[124, 77, 48, 24]"
27,64,64,4,2,2,0.1,0.0001,0.001,21.875,55.46218487394958,51.515151515151516,47.05882352941176,0.1834625322997416,0.4379084967320262,0.45762711864406774,0.41111111111111115,0.24298018949181743,0.5669934640522876,0.4915254237288136,0.48333333333333334,"[102, 59, 30, 16]"
10,128,64,4,2,4,0.2,1e-05,0.001,25.551470588235293,60.431654676258994,51.19047619047619,44.18604651162791,0.18518518518518512,0.5175438596491229,0.4142857142857143,0.42857142857142855,0.2689922480620155,0.5903508771929824,0.4785714285714286,0.4523809523809524,"[114, 70, 35, 18]"
33,32,64,3,3,4,0.0,0.0001,0.0001,24.63235294117647,54.47761194029851,63.013698630136986,36.95652173913043,0.1851851851851852,0.5113960113960113,0.5,0.3076923076923077,0.2885443583118002,0.5327635327635327,0.609375,0.34615384615384615,"[117, 64, 39, 16]"
10,32,128,3,2,2,0.2,0.0001,0.001,18.198529411764707,58.58585858585859,58.620689655172406,35.294117647058826,0.1877691645133505,0.5057471264367817,0.3942307692307693,0.3225806451612903,0.20701981050818263,0.5919540229885057,0.5769230769230769,0.3870967741935484,"[87, 52, 31, 12]"
19,128,64,4,3,2,0.1,0.0001,0.001,25.0,16.911764705882355,52.17391304347826,83.33333333333334,0.18863049095607232,0.18253968253968253,0.5217391304347826,0.4583333333333333,0.3068475452196383,0.17857142857142858,0.5217391304347826,0.8333333333333334,"[126, 23, 12, 10]"
